Country,Date,New Cases,New Deaths
Australia,2020-01-01,9.0,0.0
Australia,2020-02-01,16.0,0.0
Australia,2020-03-01,4334.0,21.0
Australia,2020-04-01,2387.0,74.0
Australia,2020-05-01,439.0,12.0
Australia,2020-06-01,582.0,1.0
Australia,2020-07-01,8536.0,131.0
Australia,2020-08-01,9367.0,494.0
Australia,2020-09-01,1393.0,165.0
Australia,2020-10-01,519.0,16.0
Australia,2020-11-01,311.0,5.0
Australia,2020-12-01,488.0,1.0
Australia,2021-01-01,430.0,3.0
Australia,2021-02-01,159.0,1.0
Australia,2021-03-01,334.0,2.0
Australia,2021-04-01,497.0,2.0
Australia,2021-05-01,305.0,0.0
Australia,2021-06-01,729.0,0.0
Australia,2021-07-01,2960.0,18.0
Australia,2021-08-01,21866.0,102.0
Australia,2021-09-01,48489.0,333.0
Australia,2021-10-01,69834.0,485.0
Australia,2021-11-01,37441.0,311.0
Australia,2021-12-01,155182.0,266.0
Australia,2022-01-01,1956529.0,2113.0
Australia,2022-02-01,693697.0,1529.0
Australia,2022-03-01,1150567.0,661.0
Australia,2022-04-01,1351213.0,1106.0
Australia,2022-05-01,1478635.0,1444.0
Australia,2022-06-01,779787.0,1426.0
Australia,2022-07-01,1138110.0,2190.0
Australia,2022-08-01,782078.0,1998.0
Australia,2022-09-01,195644.0,706.0
Australia,2022-10-01,165747.0,477.0
Australia,2022-11-01,307187.0,559.0
Australia,2022-12-01,419758.0,1164.0
Australia,2023-01-01,182324.0,1262.0
Australia,2023-02-01,71052.0,598.0
Australia,2023-03-01,89843.0,307.0
Australia,2023-04-01,113672.0,630.0
Australia,2023-05-01,181217.0,729.0
Australia,2023-06-01,85167.0,343.0
Australia,2023-07-01,0.0,232.0
Austria,2020-01-01,0.0,0.0
Austria,2020-02-01,3.0,0.0
Austria,2020-03-01,6097.0,91.0
Austria,2020-04-01,6095.0,467.0
Austria,2020-05-01,1201.0,100.0
Austria,2020-06-01,1018.0,66.0
Austria,2020-07-01,3242.0,36.0
Austria,2020-08-01,6252.0,52.0
Austria,2020-09-01,17096.0,90.0
Austria,2020-10-01,57213.0,434.0
Austria,2020-11-01,176974.0,2649.0
Austria,2020-12-01,77466.0,3394.0
Austria,2021-01-01,52901.0,1899.0
Austria,2021-02-01,43040.0,1031.0
Austria,2021-03-01,84226.0,966.0
Austria,2021-04-01,73789.0,1016.0
Austria,2021-05-01,27907.0,507.0
Austria,2021-06-01,6210.0,148.0
Austria,2021-07-01,8305.0,69.0
Austria,2021-08-01,28375.0,92.0
