Date,Japan,Korea (ROK),Chile,Maldives,Cambodia,Singapore,USA,Chinese Taipei,Thailand,Indonesia,Turkey,"Macao, China",Australia,New Zealand,Czech,Hawaii,Mexico,Hong Kong SAR,Canada,Austria
1989-01-01,34.042108,183.685626,73.320847,2.483129,,0.520095,0.267982,7.465791,6.784561,486.159251,,2.206563,0.308221,0.429202,,0.267982,0.676061,2.212141,0.319117,0.239173
1989-02-01,34.215966,182.296189,74.181798,2.512286,,0.516736,0.267937,7.426573,6.802541,491.867848,,2.232473,0.314071,0.434895,,0.267937,0.683999,2.211971,0.318345,0.241942
1989-03-01,34.920539,181.056747,74.823001,2.534002,,0.52011,0.267996,7.395488,6.830051,496.119389,,2.25177,0.328089,0.435435,,0.267996,0.689912,2.213151,0.319997,0.243606
1989-04-01,35.394164,179.609012,75.045202,2.541527,,0.522518,0.267996,7.238442,6.840328,497.592711,,2.258457,0.333576,0.438143,,0.267996,0.69196,2.208777,0.318466,0.244129
1989-05-01,36.901598,179.370299,77.957804,2.640167,,0.52455,0.267731,6.921602,6.901245,516.90493,,2.34611,0.347097,0.442048,,0.267731,0.718816,2.199792,0.319163,0.253504
1989-06-01,38.593725,179.547581,79.800636,2.702577,,0.524526,0.267995,6.989926,6.943375,529.123966,,2.40157,0.354518,0.467191,,0.267995,0.735808,2.211494,0.321209,0.258558
1989-07-01,37.674601,179.513881,76.314342,2.584508,,0.52501,0.268081,6.921657,6.920931,506.007838,,2.296651,0.354053,0.465951,,0.268081,0.703663,2.213457,0.318833,0.247257
1989-08-01,37.854352,179.896095,77.453559,2.62309,,0.525371,0.267996,6.888555,6.932705,513.561497,,2.330935,0.351046,0.452593,,0.267996,0.714167,2.214497,0.31504,0.250921
1989-09-01,38.897496,180.30867,78.538202,2.659823,,0.529726,0.267937,6.896388,6.97121,520.753301,,2.363577,0.347167,0.45301,,0.267937,0.724168,2.174002,0.316713,0.254403
1989-10-01,38.094362,180.628922,75.741209,2.565098,,0.525942,0.268042,6.888378,6.932811,502.20764,,2.279403,0.346009,0.456412,,0.268042,0.698378,2.088345,0.314841,0.244608
1989-11-01,38.479126,180.881414,74.543949,2.524551,,0.52498,0.267998,6.976908,6.934882,494.269116,,2.243372,0.342432,0.456153,,0.267998,0.687339,2.089133,0.31347,0.24001
1989-12-01,34.614737,163.265656,64.278459,2.176894,,0.462514,0.24097,6.294048,6.212466,426.203034,,1.934436,0.306735,0.405321,,0.24097,0.592685,1.876779,0.279976,0.206245
1990-01-01,30.618776,144.854771,64.072884,2.007219,89.572871,0.398865,0.21125,5.511288,5.440508,387.251801,,1.685544,0.270163,0.350467,,0.21125,0.591044,1.648156,0.247227,0.175666
1990-02-01,30.769422,146.284091,63.237985,1.981064,88.405695,0.393832,0.211357,5.518276,5.435793,382.205731,,1.663581,0.278529,0.356835,,0.211357,0.583343,1.649881,0.25295,0.173641
1990-03-01,32.361914,148.012582,64.314957,2.014802,89.911285,0.396652,0.211242,5.566048,5.476553,388.714872,,1.691912,0.279653,0.361427,,0.211242,0.593277,1.650412,0.249397,0.176038
1990-04-01,33.459207,149.772808,63.516275,1.989782,88.794739,0.396917,0.211244,5.567763,5.49691,383.887694,,1.670902,0.276484,0.36404,,0.211244,0.58591,1.647544,0.246027,0.173729
1990-05-01,32.492989,150.508369,62.532221,1.958954,87.419049,0.392913,0.211253,5.704794,5.476916,377.94015,,1.645015,0.277385,0.368497,,0.211253,0.576832,1.646474,0.248058,0.1712
1990-06-01,32.486108,151.962035,62.995701,1.973474,88.066986,0.390895,0.211243,5.7861,5.466073,380.741386,,1.657207,0.27146,0.363142,,0.211243,0.581108,1.647607,0.247788,0.173005
1990-07-01,31.516964,151.908076,61.058196,1.912777,85.358385,0.384729,0.211302,5.736167,5.430914,369.031248,,1.606238,0.266657,0.357598,,0.211302,0.563235,1.642809,0.24452,0.168185
1990-08-01,31.162465,152.301929,58.520776,1.833287,81.811112,0.379629,0.211242,5.763766,5.403395,353.695267,,1.539487,0.261384,0.345335,,0.211242,0.539828,1.647544,0.241849,0.161341
1990-09-01,29.283993,152.130684,58.598752,1.83573,81.920122,0.374491,0.21111,5.766446,5.361414,354.166552,,1.541538,0.255964,0.341566,,0.21111,0.540548,1.645595,0.244462,0.1614
1990-10-01,27.422972,151.927604,56.956241,1.784275,79.623917,0.366251,0.211274,5.761874,5.308908,344.239333,,1.498329,0.263482,0.346293,,0.211274,0.525396,1.648467,0.244994,0.156948
1990-11-01,26.067172,145.437892,53.346578,1.671194,74.577666,0.346844,0.202081,5.504339,5.066818,322.422797,,1.403371,0.261079,0.332236,,0.202081,0.492099,1.580911,0.235156,0.146775
1990-12-01,25.568408,137.677997,51.073048,1.599971,71.399307,0.331116,0.191015,5.201971,4.815662,308.681748,,1.343562,0.248152,0.322248,,0.191015,0.471126,1.495058,0.221624,0.140355
1991-01-01,25.552643,138.574569,67.019217,1.967625,137.857831,0.335669,0.191096,5.159905,4.824308,374.292168,,1.536123,0.24538,0.323101,,0.191096,0.579277,1.49932,0.220881,0.141176
1991-02-01,24.896721,138.922528,65.70046,1.928907,135.145161,0.329274,0.190965,5.236438,4.806826,366.927109,,1.505897,0.243665,0.318894,,0.190965,0.567879,1.494146,0.220546,0.138335
1991-03-01,26.179442,138.820049,71.196693,2.090272,146.450857,0.335291,0.190655,5.363577,4.8568,397.622742,,1.631874,0.247033,0.322376,,0.190655,0.615385,1.485107,0.220567,0.150018
1991-04-01,26.029352,138.392457,74.645385,2.191522,153.54478,0.335961,0.189658,5.185603,4.85201,416.883163,,1.71092,0.243495,0.322323,,0.189658,0.645194,1.4803,0.218776,0.157493
1991-05-01,25.924361,136.298959,74.551242,2.188758,153.351129,0.331255,0.187766,5.121966,4.819489,416.357389,,1.708762,0.242718,0.320296,,0.187766,0.64438,1.456812,0.215867,0.157209
1991-06-01,26.059615,135.870254,77.057523,2.26234,158.506523,0.331749,0.18632,5.061806,4.80062,430.354589,,1.766208,0.245298,0.323386,,0.18632,0.666043,1.442904,0.213121,0.162375
1991-07-01,25.683427,136.411162,77.2018,2.266576,158.8033,0.3274,0.186243,5.026536,4.796209,431.160354,,1.769515,0.241467,0.32831,,0.186243,0.66729,1.446962,0.213872,0.162731
1991-08-01,25.467946,136.708412,75.344633,2.212052,154.983126,0.321685,0.186135,4.97531,4.787293,420.788357,,1.726947,0.237888,0.324578,,0.186135,0.651238,1.446373,0.213177,0.158755
1991-09-01,24.984369,138.166941,73.205236,2.149241,150.582409,0.316158,0.185689,4.930814,4.755329,408.840149,,1.677911,0.234178,0.320451,,0.185689,0.632746,1.440873,0.211146,0.154201
1991-10-01,24.238541,139.778372,72.883712,2.139801,149.921037,0.314303,0.185438,4.891912,4.737297,407.044486,,1.670541,0.23389,0.329036,,0.185438,0.629967,1.43864,0.209239,0.15344
1991-11-01,24.044815,140.58241,70.213523,2.061407,144.428485,0.310193,0.185487,4.818005,4.730061,392.131881,,1.609339,0.235826,0.329367,,0.185487,0.606887,1.440069,0.20963,0.1477
1991-12-01,23.61409,140.228106,67.345568,1.977206,138.529132,0.302757,0.184386,4.749483,4.632076,376.114789,,1.543603,0.239238,0.331978,,0.184386,0.582098,1.431023,0.211382,0.141521
1992-01-01,22.937913,140.141333,68.763499,2.004471,240.210995,0.298463,0.183284,4.622138,4.632393,384.98004,,1.511976,0.244956,0.337488,,0.183284,0.586956,1.41815,0.211892,0.141465
1992-02-01,23.287607,140.550242,70.302428,2.049332,245.586925,0.298771,0.182556,4.558592,4.63796,393.595906,,1.545814,0.242896,0.337159,,0.182556,0.600092,1.416683,0.215832,0.144721
1992-03-01,24.215743,141.396086,72.013727,2.099216,251.564991,0.302608,0.182245,4.627708,4.67069,403.176801,,1.583443,0.240267,0.332989,,0.182245,0.614699,1.411996,0.217259,0.148168
1992-04-01,24.218168,142.120836,71.060359,2.071425,248.234598,0.30079,0.181499,4.592887,4.654379,397.839264,,1.56248,0.237944,0.335357,,0.181499,0.606562,1.405091,0.215543,0.146361
1992-05-01,23.711279,142.682236,69.60308,2.028945,243.143896,0.297375,0.18125,4.533115,4.63049,389.680526,,1.530437,0.239751,0.338678,,0.18125,0.594122,1.403358,0.217295,0.143523
