Country,Year,FSI Index
Cambodia,2008-01-01,85.8
Indonesia,2008-01-01,83.3
Maldives,2008-01-01,80.4
China,2008-01-01,80.3
Thailand,2008-01-01,75.6
Turkey,2008-01-01,75.4
Mexico,2008-01-01,72.2
Czech,2008-01-01,42.1
Korea (ROK),2008-01-01,40.6
Chile,2008-01-01,36.3
Singapore,2008-01-01,33.3
USA,2008-01-01,32.8
Japan,2008-01-01,29.7
Canada,2008-01-01,26.3
Austria,2008-01-01,25.9
Australia,2008-01-01,24.6
New Zealand,2008-01-01,21.4
Turkey,2023-01-01,81.19999999999999
Cambodia,2023-01-01,80.30000000000001
Mexico,2023-01-01,69.8
Thailand,2023-01-01,68.0
Indonesia,2023-01-01,65.60000000000001
China,2023-01-01,65.1
Maldives,2023-01-01,62.9
USA,2023-01-01,45.300000000000004
Chile,2023-01-01,42.2
Czech,2023-01-01,40.199999999999996
Korea (ROK),2023-01-01,31.5
Japan,2023-01-01,30.500000000000004
Singapore,2023-01-01,25.499999999999996
Austria,2023-01-01,24.399999999999995
Australia,2023-01-01,22.0
Canada,2023-01-01,18.9
New Zealand,2023-01-01,16.7
Cambodia,2020-01-01,80.30838110384798
Turkey,2020-01-01,79.14739400388918
Thailand,2020-01-01,70.81357974524154
China,2020-01-01,69.85878789983346
Indonesia,2020-01-01,67.84550475118697
Mexico,2020-01-01,67.19999999999999
Maldives,2020-01-01,66.2
Chile,2020-01-01,42.51352691171396
USA,2020-01-01,38.27275827818653
Czech,2020-01-01,35.74161611006048
Japan,2020-01-01,32.332289117028274
Korea (ROK),2020-01-01,32.01527342958986
Singapore,2020-01-01,26.3261946557654
Austria,2020-01-01,24.108703082430992
Australia,2020-01-01,19.746408857575208
Canada,2020-01-01,18.668898507980952
New Zealand,2020-01-01,17.879896291384675
Cambodia,2013-01-01,88.0
China,2013-01-01,80.9
Indonesia,2013-01-01,78.2
Turkey,2013-01-01,75.9
Maldives,2013-01-01,75.4
Thailand,2013-01-01,75.1
Mexico,2013-01-01,73.1
Chile,2013-01-01,42.3
Czech,2013-01-01,39.9
Japan,2013-01-01,36.1
Korea (ROK),2013-01-01,35.4
Singapore,2013-01-01,34.0
USA,2013-01-01,33.5
Austria,2013-01-01,26.9
Canada,2013-01-01,26.0
Australia,2013-01-01,25.4
New Zealand,2013-01-01,22.7
Cambodia,2017-01-01,85.7
Turkey,2017-01-01,80.8
Thailand,2017-01-01,76.2
China,2017-01-01,74.7
Maldives,2017-01-01,74.4
Mexico,2017-01-01,74.3
Indonesia,2017-01-01,72.9
Chile,2017-01-01,41.1
Czech,2017-01-01,40.1
Korea (ROK),2017-01-01,38.1
Japan,2017-01-01,37.4
USA,2017-01-01,35.6
Singapore,2017-01-01,32.5
Austria,2017-01-01,27.7
Canada,2017-01-01,22.6
New Zealand,2017-01-01,22.6
Australia,2017-01-01,22.3
Cambodia,2016-01-01,87.4
Thailand,2016-01-01,78.8
Turkey,2016-01-01,77.3
China,2016-01-01,74.9
Indonesia,2016-01-01,74.9
Maldives,2016-01-01,74.0
Mexico,2016-01-01,70.4
Chile,2016-01-01,41.9
Czech,2016-01-01,40.8
Korea (ROK),2016-01-01,36.1
Japan,2016-01-01,35.1
USA,2016-01-01,34.0
Singapore,2016-01-01,32.9
Austria,2016-01-01,27.5
Canada,2016-01-01,23.8
Australia,2016-01-01,22.5
New Zealand,2016-01-01,21.3
Cambodia,2015-01-01,87.9
Thailand,2015-01-01,79.1
China,2015-01-01,76.5
Indonesia,2015-01-01,75.0
Turkey,2015-01-01,74.6
Maldives,2015-01-01,74.3
Mexico,2015-01-01,71.9
Chile,2015-01-01,41.5
Czech,2015-01-01,37.4
Korea (ROK),2015-01-01,36.3
Japan,2015-01-01,36.0
USA,2015-01-01,35.4
Singapore,2015-01-01,34.4
Austria,2015-01-01,25.8
Canada,2015-01-01,25.6
Australia,2015-01-01,24.3
New Zealand,2015-01-01,22.6
Cambodia,2021-01-01,80.60000000000001
Turkey,2021-01-01,79.7
Thailand,2021-01-01,70.89999999999999
Mexico,2021-01-01,69.89999999999999
China,2021-01-01,68.89999999999999
Indonesia,2021-01-01,67.6
Maldives,2021-01-01,67.6
USA,2021-01-01,44.6
Chile,2021-01-01,44.099999999999994
Korea (ROK),2021-01-01,32.50000000000001
Japan,2021-01-01,32.2
Singapore,2021-01-01,26.6
Austria,2021-01-01,26.1
Australia,2021-01-01,21.799999999999997
Canada,2021-01-01,21.7
New Zealand,2021-01-01,18.400000000000002
Cambodia,2011-01-01,88.5
Indonesia,2011-01-01,81.6
China,2011-01-01,80.1
Thailand,2011-01-01,78.3
