Country,GDP Per Capita,GDP total,GDP per capita growth (%),Year
Australia,22092.0,282623651510.0,3.92,1970
Australia,22562.0,294047879285.0,2.13,1971
Australia,22752.0,301329035358.0,0.84,1972
Australia,23601.0,316997544449.0,3.73,1973
Australia,23777.0,323498387144.0,0.75,1974
Australia,24095.0,331870841710.0,1.34,1975
Australia,24786.0,345407006070.0,2.87,1976
Australia,24741.0,348656941466.0,-0.18,1977
Australia,25127.0,358044261927.0,1.56,1978
Australia,26110.0,376320713044.0,3.91,1979
Australia,26254.0,383008825900.0,0.55,1980
Australia,26684.0,394316855444.0,1.64,1981
Australia,26209.0,392595906594.0,-1.78,1982
Australia,25873.0,393137735963.0,-1.28,1983
Australia,27346.0,421755000754.0,5.69,1984
Australia,28367.0,444327674749.0,3.73,1985
Australia,28557.0,454562721722.0,0.67,1986
Australia,29504.0,477468235107.0,3.32,1987
Australia,30308.0,498640674848.0,2.73,1988
Australia,31082.0,519500028539.0,2.55,1989
Australia,31016.0,526057013825.0,-0.21,1990
Australia,30503.0,524316460351.0,-1.66,1991
Australia,30259.0,526579809664.0,-0.8,1992
Australia,31173.0,548753235747.0,3.02,1993
Australia,32073.0,570852599104.0,2.89,1994
Australia,32903.0,592022266767.0,2.59,1995
Australia,33725.0,613432756539.0,2.5,1996
Australia,34653.0,637175331475.0,2.75,1997
Australia,35876.0,666832332463.0,3.53,1998
Australia,37220.0,699289577325.0,3.74,1999
Australia,38217.0,725804168772.0,2.68,2000
Australia,38474.0,738498907581.0,0.67,2001
Australia,39533.0,766998537577.0,2.75,2002
Australia,40263.0,790125988402.0,1.85,2003
Australia,41473.0,824459721717.0,3.0,2004
Australia,42222.0,851983945719.0,1.81,2005
Australia,42738.0,877262570276.0,1.22,2006
Australia,44073.0,921843382990.0,3.12,2007
Australia,44744.0,954484862761.0,1.52,2008
Australia,44649.0,971157287842.0,-0.21,2009
Australia,44915.0,995077350389.0,0.6,2010
Australia,45389.0,1022981208155.0,1.06,2011
Australia,46351.0,1061619199387.0,2.12,2012
Australia,46745.0,1087042316246.0,0.85,2013
Australia,47233.0,1114527048833.0,1.04,2014
Australia,47569.0,1138452095481.0,0.71,2015
Australia,48116.0,1167425308510.0,1.15,2016
Australia,48399.0,1189859904564.0,0.59,2017
Australia,49029.0,1220734175447.0,1.3,2018
Australia,49309.0,1242747421613.0,0.57,2019
Australia,47999.0,1223958513705.0,-2.66,2020
Australia,50201.0,1294594705187.0,4.59,2021
Australia,51875.0,1352316778084.0,3.33,2022
Australia,52518.0,1383493867683.0,1.24,2023
Australia,53208.66097567191,1419109327522.6968,,2024
Australia,53903.17041892137,1455430071267.96,,2025
Austria,19251.0,144697691859.0,7.41,1970
Austria,20271.0,153049298702.0,5.29,1971
Austria,21537.0,163271423291.0,6.25,1972
Austria,22601.0,171925650955.0,4.94,1973
Austria,23595.0,179942616199.0,4.4,1974
Austria,23713.0,181113561611.0,0.5,1975
Austria,24991.0,190952756265.0,5.39,1976
Austria,26306.0,200890451013.0,5.26,1977
Austria,26388.0,201282569092.0,0.31,1978
Austria,28039.0,213595526564.0,6.25,1979
Austria,28856.0,219583225634.0,2.91,1980
Austria,28936.0,220045720856.0,0.28,1981
Austria,29620.0,225177730316.0,2.36,1982
Austria,30714.0,233524238899.0,3.69,1983
Austria,30987.0,235727808364.0,0.89,1984
Austria,31838.0,242440042341.0,2.75,1985
Austria,32733.0,249599903734.0,2.81,1986
Austria,33424.0,255334164083.0,2.11,1987
Austria,34579.0,264832262725.0,3.46,1988
Austria,36109.0,277550475566.0,4.42,1989
Austria,37495.0,289606259880.0,3.84,1990
Austria,38400.0,298469069474.0,2.41,1991
Austria,38774.0,303640629213.0,0.98,1992
Austria,38659.0,305097504684.0,-0.3,1993
Austria,39435.0,313400092637.0,2.01,1994
Austria,40425.0,323003463885.0,2.51,1995
