Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,Location,StartDate,EndDate,Total Deaths,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)"
Natural,Climatological,Drought,Drought,,,Hong Kong SAR,,1979-10-01,1979-12-01,,,,
Natural,Climatological,Drought,Drought,,,China,Tibet,1983-01-01,1983-08-01,,,,
Natural,Climatological,Drought,Drought,,,Hong Kong SAR,,1983-10-01,1983-12-01,,,,
Natural,Climatological,Drought,Drought,,,Canada,"Quebec, Prince Edouard Islands, Alberta, Saskatchewan, Manitoba, Ontario provinces",1984-01-01,1985-03-01,,30000.0,1000000.0,2817149.0
Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,Ontario Central,1985-05-01,1985-06-01,12.0,1000.0,117000.0,318320.0
Natural,Climatological,Drought,Drought,,,Indonesia,"Irian Jaya, East Timor",1982-01-01,1982-12-01,280.0,,,
Natural,Meteorological,Storm,,,,Japan,,1983-12-01,1984-01-01,131.0,,,
Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Irma,Japan,Central,1985-06-01,1985-07-01,19.0,30000.0,,
Natural,Meteorological,Storm,Convective storm,Tornado,,USA,"Pennsylvania, Ohio, Missouri, New York",1985-05-01,1985-06-01,104.0,500.0,231600.0,630110.0
Natural,Climatological,Drought,Drought,,,USA,,1988-04-01,1988-06-01,,,,
Natural,Meteorological,Storm,Tropical cyclone,,Aivu,Australia,"South New Gales, Queensland",1989-03-01,1989-04-01,10.0,,94300.0,222619.0
Natural,Climatological,Wildfire,Forest fire,,,Canada,"Entire country, especillay Labrador",1989-01-01,1989-08-01,1.0,25000.0,4200000.0,9915168.0
Natural,Hydrological,Flood,Coastal flood,,,Australia,"Queensland Coast, Rockhampton",1990-12-01,1991-01-01,6.0,,78200.0,175156.0
Natural,Meteorological,Storm,,,Wiebke,Austria,,1990-02-01,1990-03-01,3.0,,120000.0,268782.0
Natural,Hydrological,Flood,Riverine flood,,,China,Hunan province,1990-06-01,1990-07-01,363.0,26130805.0,592000.0,1325990.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Anhui, Jiangsu, Henan, Guizhou, Sichuan, Hunan, Hubei, Gansu , Guangxi provinces",1991-06-01,1991-07-01,1729.0,210232227.0,7500000.0,16116340.0
Natural,Climatological,Drought,Drought,,,Chile,,1991-01-01,1991-05-01,,,200000.0,429769.0
Natural,Climatological,Drought,Drought,,,China,"Jiangxi, Hunan provinces",1991-02-01,1991-08-01,2000.0,5000000.0,,
Natural,Meteorological,Storm,Convective storm,Hail,,China,Guizhou province,1992-03-01,1992-04-01,35.0,3300362.0,68700.0,143286.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Southern and Western Guizhou, Sichuan, Yunnan Provinces",1992-06-01,1992-08-01,88.0,435300.0,3700.0,7717.0
Natural,Meteorological,Storm,Tropical cyclone,,Polly,China,"Zhejiang, Fujian, Shangdong provinces",1992-08-01,1992-09-01,168.0,5000000.0,412400.0,860132.0
Natural,Climatological,Drought,Drought,,,Australia,Queensland,1992-12-01,1995-12-01,,7000000.0,1500000.0,3128511.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Jiangxi, Fujian, Guangdong, Hunan provinces",1992-03-01,1992-04-01,248.0,210070.0,170000.0,354565.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Jaingxi, Zhejiang, Fujian provinces",1992-06-01,1992-07-01,35.0,5000.0,76000.0,158511.0
Natural,Hydrological,Flood,Riverine flood,,,China,"Leshan city, Leshan prefecture. Emeishan city, Mount Emei area (Sichuan province)",1993-07-01,1993-08-01,41.0,7400.0,27000.0,54699.0
Natural,Hydrological,Flood,Riverine flood,,,Indonesia,"Semarang, Temanggung, Batang, Kendal, Pati, Sragen, Grobongan, Cilacap, Demak, Rembang, Banyumas municipalities (Central Java)",1990-01-01,1990-02-01,169.0,21000.0,4800.0,10751.0
Natural,Hydrological,Flood,Riverine flood,,,Japan,Kyushu,1990-06-01,1990-07-01,27.0,588.0,1700000.0,3807742.0
Natural,Climatological,Wildfire,Forest fire,,,Indonesia,"Borneo, Sumatra Isl., Kalimatan, java, Sulawesi",1991-08-01,1991-10-01,57.0,8.0,13200.0,28365.0
Natural,Meteorological,Storm,Convective storm,Severe storm,,Maldives,,1991-05-01,1991-06-01,,23849.0,30000.0,64465.0
Natural,Hydrological,Flood,Riverine flood,,,Hong Kong SAR,"Tsim Sha Tsui (Mount Davis, Happy Valley)",1992-04-01,1992-05-01,5.0,1628.0,50000.0,104284.0
Natural,Climatological,Drought,Drought,,,New Zealand,,1994-01-01,1994-08-01,,,100000.0,208567.0
Natural,Hydrological,Flood,Flash flood,,,USA,"Vicksburg (Warren county, Mississippi)",1990-05-01,1990-06-01,,200.0,,
Natural,Climatological,Drought,Drought,,,USA,California,1991-01-01,1991-07-01,,,1000000.0,2148845.0
Natural,Hydrological,Flood,,,,USA,Texas,1991-12-01,1992-01-01,15.0,,850000.0,1826519.0
Natural,Hydrological,Flood,Flash flood,,,Thailand,"Surat Thani, Nakhorn Si Thammara, Songkla, Pattani provinces",1993-11-01,1993-12-01,23.0,393809.0,1261000.0,2554631.0
Natural,Hydrological,Flood,Riverine flood,,,USA,"Okhlahoma, Minnesota, Wisconsin, Iowa, Illinois, Missouri, South Dakota, North Dakota, Nebraska and Kansas",1993-06-01,1993-08-01,48.0,31000.0,12000000.0,24310527.0
Natural,Climatological,Wildfire,Forest fire,,,USA,"San Diego, Laguna Beach, Malibu, Los Angeles, Orange (California)",1993-10-01,1993-11-01,3.0,130.0,1000000.0,2025877.0
