Precipitation,Date,Country
39.7,1979-01-01,Korea (ROK)
81.2,1979-02-01,Korea (ROK)
65.1,1979-03-01,Korea (ROK)
120.4,1979-04-01,Korea (ROK)
124.2,1979-05-01,Korea (ROK)
310.7,1979-06-01,Korea (ROK)
188.5,1979-07-01,Korea (ROK)
304.5,1979-08-01,Korea (ROK)
147.6,1979-09-01,Korea (ROK)
22.2,1979-10-01,Korea (ROK)
31.5,1979-11-01,Korea (ROK)
44.6,1979-12-01,Korea (ROK)
36.9,1980-01-01,Korea (ROK)
18.2,1980-02-01,Korea (ROK)
65.6,1980-03-01,Korea (ROK)
171.3,1980-04-01,Korea (ROK)
138.5,1980-05-01,Korea (ROK)
185.1,1980-06-01,Korea (ROK)
334.7,1980-07-01,Korea (ROK)
341.1,1980-08-01,Korea (ROK)
97.1,1980-09-01,Korea (ROK)
102.8,1980-10-01,Korea (ROK)
37.4,1980-11-01,Korea (ROK)
41.3,1980-12-01,Korea (ROK)
29.4,1981-01-01,Korea (ROK)
36.1,1981-02-01,Korea (ROK)
33.8,1981-03-01,Korea (ROK)
70.2,1981-04-01,Korea (ROK)
57.5,1981-05-01,Korea (ROK)
177.6,1981-06-01,Korea (ROK)
305.5,1981-07-01,Korea (ROK)
255.1,1981-08-01,Korea (ROK)
248.6,1981-09-01,Korea (ROK)
60.2,1981-10-01,Korea (ROK)
36.4,1981-11-01,Korea (ROK)
12.8,1981-12-01,Korea (ROK)
26.3,1982-01-01,Korea (ROK)
22.9,1982-02-01,Korea (ROK)
63.8,1982-03-01,Korea (ROK)
67.5,1982-04-01,Korea (ROK)
107.4,1982-05-01,Korea (ROK)
33.0,1982-06-01,Korea (ROK)
214.7,1982-07-01,Korea (ROK)
268.9,1982-08-01,Korea (ROK)
31.5,1982-09-01,Korea (ROK)
44.3,1982-10-01,Korea (ROK)
116.7,1982-11-01,Korea (ROK)
36.1,1982-12-01,Korea (ROK)
24.2,1983-01-01,Korea (ROK)
36.3,1983-02-01,Korea (ROK)
84.0,1983-03-01,Korea (ROK)
