Year,Country,Hotels count,Rooms count
1995,Canada,,279636.0
1996,Canada,,331584.0
1997,Canada,,327383.0
1998,Canada,,330003.0
1999,Canada,,
2000,Canada,,358583.0
2001,Canada,,367271.0
2002,Canada,,
2003,Canada,,363628.0
2004,Canada,,377771.0
2005,Canada,,
2006,Canada,,
2007,Canada,,
2008,Canada,,
2009,Canada,,
2010,Canada,,
2011,Canada,,
2012,Canada,,
2013,Canada,,
2014,Canada,,
2015,Canada,,
2016,Canada,,
2017,Canada,,
2018,Canada,,
2019,Canada,,
2020,Canada,,
2021,Canada,,
1995,Chile,,38740.0
1996,Chile,,40412.0
1997,Chile,,40829.0
1998,Chile,,44720.0
1999,Chile,,46097.0
2000,Chile,2718.0,47204.0
2001,Chile,2762.0,49898.0
2002,Chile,2978.0,51793.0
2003,Chile,2931.0,53274.0
2004,Chile,3275.0,53620.0
2005,Chile,3433.0,53079.0
2006,Chile,3484.0,62212.0
2007,Chile,3528.0,63146.0
2008,Chile,3701.0,66481.0
2009,Chile,4059.0,71295.0
2010,Chile,4126.0,72132.0
2011,Chile,4778.0,76560.0
2012,Chile,4890.0,82088.0
2013,Chile,5576.0,88150.0
2014,Chile,6027.0,95280.0
2015,Chile,6497.0,100203.0
2016,Chile,7010.0,105368.0
2017,Chile,7327.0,112255.0
2018,Chile,8039.0,120487.0
2019,Chile,8565.0,125252.0
2020,Chile,8231.0,120367.0
2021,Chile,,
1995,Mexico,8820.0,370298.0
1996,Mexico,9050.0,381522.0
1997,Mexico,9184.0,382364.0
1998,Mexico,9545.0,396968.0
1999,Mexico,10055.0,419608.0
2000,Mexico,10320.0,421850.0
2001,Mexico,11218.0,458123.0
2002,Mexico,11618.0,469488.0
2003,Mexico,12518.0,496292.0
2004,Mexico,13060.0,515904.0
2005,Mexico,13751.0,535639.0
2006,Mexico,14393.0,556399.0
2007,Mexico,14963.0,583731.0
2008,Mexico,15800.0,604051.0
2009,Mexico,16231.0,623555.0
2010,Mexico,16875.0,638494.0
2011,Mexico,17294.0,651160.0
2012,Mexico,17669.0,660546.0
2013,Mexico,18199.0,672296.0
2014,Mexico,18711.0,692351.0
2015,Mexico,20038.0,736512.0
2016,Mexico,21085.0,769135.0
2017,Mexico,21967.0,794602.0
2018,Mexico,22560.0,808160.0
2019,Mexico,23699.0,836321.0
2020,Mexico,24692.0,853826.0
2021,Mexico,,
1995,Chinese Taipei,,19845.0
1996,Chinese Taipei,,19783.0
1997,Chinese Taipei,,19402.0
1998,Chinese Taipei,,19211.0
1999,Chinese Taipei,,20274.0
