Month,Average CNY/AUD=,Min CNY/AUD=,Max CNY/AUD=,Nb of working days
7/2023,0.207222,0.207080,0.207361,3
6/2023,0.208098,0.204110,0.215694,22
5/2023,0.215403,0.212765,0.219324,23
4/2023,0.216946,0.214881,0.219324,20
3/2023,0.217245,0.214181,0.219286,23
2/2023,0.211810,0.208547,0.214492,20
1/2023,0.212149,0.207164,0.216393,22
12/2022,0.212367,0.207896,0.216130,21
11/2022,0.211252,0.206973,0.217425,22
10/2022,0.218933,0.214548,0.223051,21
9/2022,0.213214,0.209119,0.217334,22
8/2022,0.211224,0.208589,0.213334,23
7/2022,0.216770,0.212733,0.220682,21
6/2022,0.212705,0.207164,0.216865,22
5/2022,0.211718,0.208754,0.214497,22
4/2022,0.210669,0.205981,0.213731,19
3/2022,0.213783,0.208840,0.218061,23
2/2022,0.219922,0.217556,0.221672,20
1/2022,0.219277,0.215449,0.225398,21
12/2021,0.219205,0.215894,0.222738,23
11/2021,0.214158,0.207892,0.219601,22
10/2021,0.210322,0.207483,0.213864,21
9/2021,0.211657,0.208221,0.215039,22
8/2021,0.211424,0.208800,0.215849,22
7/2021,0.208080,0.204233,0.211139,22
6/2021,0.203662,0.201530,0.206633,22
5/2021,0.200402,0.197745,0.204025,21
4/2021,0.199157,0.197724,0.200911,20
3/2021,0.199371,0.198008,0.201366,23
2/2021,0.199724,0.194137,0.203804,20
1/2021,0.200233,0.198662,0.203436,20
12/2020,0.203101,0.198143,0.206946,22
11/2020,0.208133,0.206173,0.212065,21
10/2020,0.208548,0.204410,0.212892,22
9/2020,0.203018,0.198706,0.208279,22
8/2020,0.200515,0.198363,0.201986,21
7/2020,0.202936,0.199203,0.205783,23
6/2020,0.204714,0.201956,0.207849,22
5/2020,0.215871,0.209940,0.222222,20
4/2020,0.224711,0.216500,0.235420,20
3/2020,0.229082,0.217714,0.243320,22
2/2020,0.214357,0.212066,0.220122,20
1/2020,0.210718,0.205347,0.215147,22
12/2019,0.207169,0.204527,0.209211,20
11/2019,0.208593,0.205903,0.210284,21
10/2019,0.207413,0.205462,0.209454,23
9/2019,0.206350,0.204376,0.207712,21
8/2019,0.209106,0.206391,0.212372,22
7/2019,0.208182,0.206082,0.210901,23
6/2019,0.208688,0.207139,0.210993,20
5/2019,0.210030,0.208728,0.212222,22
4/2019,0.209328,0.207680,0.211947,20
3/2019,0.210353,0.208816,0.211872,21
2/2019,0.207824,0.204357,0.209517,20
1/2019,0.206124,0.204305,0.208757,22
12/2018,0.202150,0.196660,0.206903,19
11/2018,0.198791,0.196362,0.201240,22
10/2018,0.203300,0.201581,0.205863,23
9/2018,0.202551,0.200510,0.205160,20
8/2018,0.199293,0.197029,0.202463,23
7/2018,0.201183,0.197111,0.204165,22
6/2018,0.206316,0.203696,0.209924,21
5/2018,0.208449,0.205654,0.210740,22
4/2018,0.206502,0.204245,0.209194,20
3/2018,0.203761,0.200336,0.207002,21
2/2018,0.200912,0.198430,0.203213,20
1/2018,0.195665,0.194489,0.196750,22
12/2017,0.198353,0.196422,0.201018,19
11/2017,0.198061,0.196184,0.200074,22
10/2017,0.193855,0.191728,0.197079,22
9/2017,0.190994,0.188618,0.192466,21
8/2017,0.189486,0.186616,0.192367,23
7/2017,0.189491,0.185469,0.193794,21
6/2017,0.194365,0.191911,0.198746,22
5/2017,0.195434,0.192897,0.196926,22
4/2017,0.192721,0.190839,0.194284,18
3/2017,0.190224,0.187456,0.192616,23
2/2017,0.189852,0.188340,0.191531,20
1/2017,0.194737,0.191943,0.200495,22
12/2016,0.196719,0.192887,0.200758,21
11/2016,0.193983,0.191300,0.196799,22
10/2016,0.195011,0.192282,0.197869,21
9/2016,0.197381,0.194432,0.200577,22
8/2016,0.197084,0.194825,0.199244,23
7/2016,0.198811,0.195521,0.200834,21
6/2016,0.204975,0.200974,0.210704,22
5/2016,0.209328,0.201900,0.212998,22
4/2016,0.201493,0.197157,0.205236,21
3/2016,0.205275,0.201265,0.213337,21
