Month,Average CNY/KHR=,Min CNY/KHR=,Max CNY/KHR=,Nb of working days
7/2023,573.570453,568.789232,579.006879,15
6/2023,575.989835,567.064389,581.651734,22
5/2023,588.592310,579.271175,597.897667,23
4/2023,590.931793,588.571403,595.795852,20
3/2023,588.500613,582.501923,594.779928,23
2/2023,596.799229,581.622799,610.114388,20
1/2023,605.871309,596.010798,612.699699,22
12/2022,590.656334,582.613264,598.063669,21
11/2022,577.195010,566.136405,586.837913,22
10/2022,574.356603,566.111747,581.490151,21
9/2022,585.856220,572.785354,595.152094,22
8/2022,603.861718,593.806735,613.107603,23
7/2022,606.634148,602.668345,609.776890,21
6/2022,607.099807,601.971228,611.504897,22
5/2022,606.114368,596.937360,612.837071,22
4/2022,628.452428,612.656232,636.941338,19
3/2022,638.825699,632.796229,645.628081,23
2/2022,640.919484,636.700787,645.692325,20
1/2022,640.913640,637.211187,643.915006,21
12/2021,639.423554,637.168456,642.046012,23
11/2021,636.989794,634.755427,639.688633,22
10/2021,635.244829,631.157216,639.770069,21
9/2021,632.441868,629.549840,634.361383,22
8/2021,629.624689,627.769856,633.125409,22
7/2021,628.836126,625.253164,632.759086,22
6/2021,633.325288,627.957204,637.317505,22
5/2021,630.414153,623.270198,637.663236,21
4/2021,619.662157,614.270380,624.403154,20
3/2021,620.979109,614.030834,627.479056,23
2/2021,628.322258,626.205642,630.886076,20
1/2021,625.635171,621.461220,630.536472,20
12/2020,616.591028,614.417314,618.906503,22
11/2020,612.795870,605.302583,616.829491,21
10/2020,606.752231,600.994674,613.793532,22
9/2020,599.522067,596.408881,603.591220,22
8/2020,585.693743,581.776945,598.380879,21
7/2020,579.107222,571.665141,583.826446,23
6/2020,573.944907,569.516662,578.365299,22
5/2020,573.700432,569.700537,577.984660,20
4/2020,569.731257,561.407552,575.258332,20
3/2020,573.353543,560.659287,583.701304,22
2/2020,577.431278,572.141535,580.228828,20
1/2020,582.009499,575.885254,589.848824,22
12/2019,573.408660,564.813687,580.878264,20
11/2019,574.685616,569.202882,579.861332,21
10/2019,568.877097,563.903337,573.318760,23
9/2019,568.849635,562.361252,576.857469,21
8/2019,573.575534,564.303401,585.383923,22
7/2019,588.523329,583.854738,593.332864,23
6/2019,586.356110,580.486936,590.941997,20
5/2019,588.287503,579.202646,600.915398,22
4/2019,597.333026,592.270256,602.812688,20
3/2019,590.041850,574.175640,595.529977,21
2/2019,592.883998,574.250211,597.944022,20
1/2019,591.652714,582.238308,598.388447,22
12/2018,584.845786,581.892113,588.747231,19
11/2018,582.682839,578.687040,589.268970,22
10/2018,588.895650,580.466922,596.404732,23
9/2018,598.242230,595.064743,602.187032,20
8/2018,594.319474,588.834901,599.828310,23
7/2018,602.934438,592.729719,612.215034,22
6/2018,628.322002,612.995783,637.884115,21
5/2018,635.572051,628.533304,643.938407,22
4/2018,634.378430,630.476967,636.787693,20
3/2018,631.518807,628.741171,635.553920,21
2/2018,634.945990,628.359847,643.467964,20
1/2018,627.694586,619.761671,641.713315,22
12/2017,613.392785,607.736267,620.644080,19
11/2017,609.892013,606.500002,614.517639,22
10/2017,611.752261,606.843557,618.582062,22
9/2017,618.437692,608.363840,627.374154,21
8/2017,612.657725,600.358963,618.931217,23
7/2017,603.192983,598.866518,607.116662,21
6/2017,597.282260,591.753459,601.436918,22
5/2017,588.177307,584.623785,595.693871,22
4/2017,581.640289,571.855084,589.189022,18
3/2017,580.793256,572.227230,592.763494,23
