Month,Average CNY/CLP=,Min CNY/CLP=,Max CNY/CLP=,Nb of working days
7/2023,110.392119,110.289821,110.525248,3
6/2023,111.514565,110.133568,114.079374,22
5/2023,114.345380,112.742652,116.987604,23
4/2023,116.772164,115.041056,118.713056,20
3/2023,117.133017,114.690068,120.485488,23
2/2023,116.908585,115.188623,120.151180,20
1/2023,121.343714,118.193700,124.493235,22
12/2022,125.045707,121.866922,127.949428,21
11/2022,127.803876,124.730165,131.393010,22
10/2022,132.487397,128.648464,136.076340,21
9/2022,130.449563,124.726228,137.577066,22
8/2022,132.857429,127.436717,138.673658,23
7/2022,143.815258,134.084546,156.328063,21
6/2022,129.373766,121.850623,139.773760,22
5/2022,126.622039,122.695562,130.383755,22
4/2022,126.913797,122.476353,130.158833,19
3/2022,125.928142,122.266262,128.872026,23
2/2022,127.161164,124.277198,130.134592,20
1/2022,128.982137,125.117189,133.696669,21
12/2021,133.276330,130.293985,136.035483,23
11/2021,127.313666,123.746078,131.258769,22
10/2021,126.881182,124.630907,128.660690,21
9/2021,121.683622,119.101451,125.781454,22
8/2021,120.447677,117.240984,122.096880,22
7/2021,116.071122,112.967749,118.584542,22
6/2021,113.157998,111.787426,116.966727,22
5/2021,110.780846,107.270841,114.781940,21
4/2021,108.347687,107.094481,109.611225,20
3/2021,111.502298,109.885724,113.326708,23
2/2021,111.723401,109.199611,114.031294,20
1/2021,112.027152,107.653321,114.619205,20
12/2020,111.765136,108.561449,115.624160,22
11/2020,115.494500,113.296813,117.602445,21
10/2020,117.117113,115.364423,119.182770,22
9/2020,113.437422,111.391305,115.852217,22
8/2020,113.215231,108.562143,115.202999,21
7/2020,111.481046,107.573248,115.799320,23
6/2020,112.101656,107.190043,116.236093,22
5/2020,115.294902,112.196866,119.129388,20
4/2020,120.432823,118.226730,121.851767,20
3/2020,119.620949,116.426685,122.295919,22
2/2020,113.883431,111.182311,116.748933,20
1/2020,111.881091,108.331399,115.170651,22
12/2019,109.731265,106.265470,120.397281,20
11/2019,111.845099,104.739539,121.104014,21
10/2019,101.800318,99.985113,105.027873,23
9/2019,101.033942,99.682166,102.180567,21
8/2019,101.129572,99.900179,102.854223,22
7/2019,99.811737,98.432506,101.788927,23
6/2019,100.118324,98.539142,102.528052,20
5/2019,101.103444,100.363124,102.946146,22
4/2019,99.355842,98.406628,100.956738,20
3/2019,99.680470,97.928569,101.690962,21
2/2019,97.337298,96.605737,98.524449,20
