Month,Average CNY/TWD=,Min CNY/TWD=,Max CNY/TWD=,Nb of working days
7/2023,4.302961,4.294520,4.308376,3
6/2023,4.307268,4.271385,4.335370,22
5/2023,4.395609,4.316273,4.452310,23
4/2023,4.441709,4.426807,4.453310,20
3/2023,4.434035,4.408840,4.456836,23
2/2023,4.417316,4.304088,4.438743,20
1/2023,4.476038,4.443296,4.513905,22
12/2022,4.399316,4.331705,4.455023,21
11/2022,4.379841,4.286393,4.479477,22
10/2022,4.443488,4.408838,4.479561,21
9/2022,4.444073,4.406404,4.482920,22
8/2022,4.427684,4.391890,4.468838,23
7/2022,4.438917,4.426746,4.471962,21
6/2022,4.424848,4.364516,4.462707,22
5/2022,4.416454,4.354576,4.470374,22
4/2022,4.516856,4.465490,4.587185,19
3/2022,4.481882,4.429803,4.526539,23
2/2022,4.393001,4.355321,4.456624,20
1/2022,4.355271,4.323676,4.390763,21
12/2021,4.358246,4.330797,4.379523,23
11/2021,4.352060,4.337285,4.365170,22
10/2021,4.350535,4.315689,4.370133,21
9/2021,4.291969,4.273752,4.305254,22
8/2021,4.302637,4.278494,4.320681,22
7/2021,4.325573,4.297812,4.350259,22
6/2021,4.326812,4.307312,4.341767,22
5/2021,4.339725,4.306117,4.363348,21
4/2021,4.330012,4.288397,4.359861,20
3/2021,4.342152,4.296397,4.379387,23
2/2021,4.327257,4.306346,4.352578,20
1/2021,4.327003,4.313287,4.356696,20
12/2020,4.314749,4.297102,4.355020,22
11/2020,4.322722,4.263252,4.348741,21
10/2020,4.265325,4.213865,4.310994,22
9/2020,4.287241,4.252303,4.316457,22
8/2020,4.243149,4.197413,4.288303,21
7/2020,4.201427,4.163173,4.220003,23
6/2020,4.188608,4.157539,4.217452,22
5/2020,4.215616,4.197780,4.238941,20
4/2020,4.250891,4.216773,4.278764,20
3/2020,4.286913,4.220784,4.327852,22
2/2020,4.311972,4.288497,4.346257,20
1/2020,4.337848,4.299982,4.383401,22
12/2019,4.317093,4.299097,4.340069,20
11/2019,4.341853,4.325369,4.357423,21
10/2019,4.323487,4.304312,4.353969,23
9/2019,4.370083,4.350026,4.396455,21
8/2019,4.442888,4.380339,4.535958,22
7/2019,4.519180,4.507798,4.549696,23
6/2019,4.531868,4.504698,4.563994,20
5/2019,4.556375,4.518428,4.590034,22
4/2019,4.592634,4.577554,4.606991,20
3/2019,4.596731,4.583827,4.609239,21
2/2019,4.570904,4.538330,4.603960,20
1/2019,4.541725,4.475582,4.578816,22
12/2018,4.471243,4.444769,4.500508,19
11/2018,4.441060,4.427680,4.458561,22
10/2018,4.464590,4.438533,4.508507,23
9/2018,4.484489,4.430368,4.521053,20
8/2018,4.485702,4.466723,4.507066,23
7/2018,4.550344,4.473339,4.607774,22
6/2018,4.655630,4.603794,4.691729,21
5/2018,4.687263,4.600181,4.707557,22
4/2018,4.642192,4.614407,4.660594,20
3/2018,4.623747,4.605511,4.643700,21
2/2018,4.627986,4.569550,4.669408,20
1/2018,4.578651,4.539728,4.635832,22
12/2017,4.544128,4.531264,4.569737,19
11/2017,4.544705,4.521945,4.565408,22
10/2017,4.569528,4.542534,4.605377,22
9/2017,4.590552,4.559515,4.648931,21
8/2017,4.534609,4.494312,4.572901,23
7/2017,4.490071,4.468766,4.500910,21
6/2017,4.441053,4.392568,4.490959,22
5/2017,4.375777,4.355353,4.413516,22
4/2017,4.411272,4.374801,4.444570,18
3/2017,4.444659,4.385493,4.499647,23
2/2017,4.494195,4.466324,4.539874,20
1/2017,4.598117,4.534341,4.665296,22
12/2016,4.624528,4.597213,4.666147,21
11/2016,4.641384,4.601937,4.693568,22
10/2016,4.693009,4.658738,4.720721,21
9/2016,4.716023,4.687688,4.754685,22
8/2016,4.746865,4.672509,4.789012,23
7/2016,4.809446,4.776296,4.847084,21
6/2016,4.909819,4.847115,4.987445,22
5/2016,4.985030,4.949240,5.019988,22
4/2016,4.990206,4.967622,5.008583,21
3/2016,5.019224,4.976461,5.055917,21
2/2016,5.075659,5.013389,5.108334,21
1/2016,5.087183,5.050035,5.132256,20
12/2015,5.089491,5.058323,5.135696,22
11/2015,5.124193,5.092509,5.158594,21
10/2015,5.111614,5.045463,5.204673,22
9/2015,5.129597,5.073292,5.209408,22
8/2015,5.078408,5.011183,5.145481,21
7/2015,5.023616,4.980620,5.098235,23
6/2015,4.980454,4.944017,5.023548,22
5/2015,4.934616,4.899583,4.971493,20
4/2015,4.996442,4.915785,5.045836,20
3/2015,5.038819,5.002645,5.080126,22
2/2015,5.047033,5.004726,5.079540,20
1/2015,5.089362,4.981150,5.152248,21
12/2014,5.066235,5.038926,5.112450,21
11/2014,5.017057,4.981196,5.047805,20
10/2014,4.963877,4.950930,4.983183,23
9/2014,4.905927,4.862276,4.959656,22
8/2014,4.869423,4.855026,4.883930,21
7/2014,4.833762,4.810151,4.865666,23
6/2014,4.813402,4.800256,4.835034,21
5/2014,4.829817,4.798661,4.846942,21
4/2014,4.852569,4.820673,4.889748,20
3/2014,4.927682,4.898824,4.945905,21
2/2014,4.984791,4.930957,5.009175,20
1/2014,4.981617,4.943939,5.018482,22
12/2013,4.891268,4.853226,4.946994,20
11/2013,4.845555,4.819740,4.864950,21
10/2013,4.814965,4.794033,4.832630,23
9/2013,4.843970,4.812123,4.874760,21
8/2013,4.892520,4.877114,4.904433,22
7/2013,4.884333,4.852302,4.917296,23
6/2013,4.879718,4.840177,4.925048,20
5/2013,4.857474,4.796335,4.904445,22
4/2013,4.824719,4.784845,4.844325,21
3/2013,4.786753,4.765102,4.829385,20
2/2013,4.758616,4.736520,4.778895,20
1/2013,4.676236,4.642640,4.754830,22
12/2012,4.660480,4.644768,4.671989,19
11/2012,4.667268,4.642001,4.684820,22
10/2012,4.664131,4.625132,4.690019,23
9/2012,4.670360,4.634936,4.711481,20
8/2012,4.711057,4.695479,4.718579,23
