Month,Average CNY/CZK=,Min CNY/CZK=,Max CNY/CZK=,Nb of working days
6/2023,3.069049,3.002942,3.114006,17
5/2023,3.106137,3.065144,3.136499,23
4/2023,3.103700,3.071755,3.132350,20
3/2023,3.209041,3.142196,3.287152,23
2/2023,3.237499,3.189797,3.282283,20
1/2023,3.274385,3.223309,3.338747,22
12/2022,3.285986,3.262202,3.317331,21
11/2022,3.331134,3.232350,3.444861,22
10/2022,3.470661,3.381023,3.536139,21
9/2022,3.535938,3.484042,3.580444,22
8/2022,3.566795,3.494574,3.628738,23
7/2022,3.588600,3.536162,3.640807,21
6/2022,3.494944,3.429964,3.553229,22
5/2022,3.494546,3.426080,3.577927,22
4/2022,3.510747,3.457885,3.546614,19
3/2022,3.577083,3.459938,3.726764,23
2/2022,3.396621,3.326878,3.553774,20
1/2022,3.402479,3.354409,3.449624,21
12/2021,3.506731,3.449675,3.553041,23
11/2021,3.482311,3.405506,3.565318,22
10/2021,3.422313,3.375415,3.470907,21
9/2021,3.340909,3.315581,3.406282,22
8/2021,3.340974,3.316885,3.369499,22
7/2021,3.349578,3.318801,3.372003,22
6/2021,3.289092,3.258231,3.330636,22
5/2021,3.272214,3.237524,3.326421,21
4/2021,3.321539,3.290341,3.379105,20
3/2021,3.379384,3.345774,3.411022,23
2/2021,3.311641,3.278609,3.341838,20
1/2021,3.320380,3.282362,3.341671,20
12/2020,3.305475,3.261423,3.339049,22
11/2020,3.386515,3.323942,3.480029,21
10/2020,3.435146,3.372972,3.486655,22
9/2020,3.329247,3.208505,3.416081,22
8/2020,3.192987,3.166893,3.231769,21
7/2020,3.300791,3.167467,3.380662,23
6/2020,3.346327,3.309189,3.385859,22
5/2020,3.519898,3.388165,3.596765,20
4/2020,3.547205,3.472326,3.612819,20
3/2020,3.422495,3.204020,3.632706,22
2/2020,3.283172,3.241076,3.320363,20
1/2020,3.282001,3.241682,3.303859,22
12/2019,3.269969,3.248897,3.289404,20
11/2019,3.291353,3.252677,3.311422,21
10/2019,3.274768,3.243277,3.312677,23
9/2019,3.302741,3.272697,3.323467,21
8/2019,3.283757,3.246268,3.379235,22
7/2019,3.311511,3.276321,3.343367,23
6/2019,3.285417,3.252471,3.343818,20
5/2019,3.358221,3.333032,3.422608,22
4/2019,3.401501,3.374156,3.429451,20
3/2019,3.384411,3.358474,3.422152,21
2/2019,3.363599,3.325697,3.382847,20
1/2019,3.309736,3.260861,3.361080,22
12/2018,3.295419,3.266383,3.325198,19
11/2018,3.287924,3.258379,3.312385,22
10/2018,3.248601,3.219317,3.283968,23
9/2018,3.204733,3.163739,3.253715,20
8/2018,3.247153,3.218014,3.282970,23
7/2018,3.293389,3.192646,3.371197,22
6/2018,3.414046,3.362992,3.453259,21
5/2018,3.405672,3.350676,3.492733,22
4/2018,3.279479,3.250521,3.335597,20
3/2018,3.260983,3.231041,3.290723,21
2/2018,3.243433,3.200818,3.288866,20
1/2018,3.246602,3.222269,3.280045,22
12/2017,3.284816,3.249354,3.313883,19
11/2017,3.285981,3.222990,3.334332,22
10/2017,3.308038,3.267362,3.337242,22
9/2017,3.332057,3.304834,3.360833,21
8/2017,3.313794,3.256779,3.350541,23
7/2017,3.345194,3.293588,3.388139,21
6/2017,3.435164,3.385281,3.455602,22
5/2017,3.490853,3.419704,3.573203,22
4/2017,3.630271,3.570609,3.687288,18
3/2017,3.667150,3.607851,3.732234,23
2/2017,3.694485,3.633112,3.736776,20
1/2017,3.692149,3.652967,3.737982,22
12/2016,3.703946,3.651761,3.747504,21
11/2016,3.659323,3.603750,3.706216,22
10/2016,3.641980,3.604626,3.670085,21
9/2016,3.611743,3.589723,3.632770,22
8/2016,3.625818,3.586626,3.662294,23
7/2016,3.658807,3.626990,3.687714,21
6/2016,3.655975,3.611397,3.713821,22
5/2016,3.659074,3.604309,3.695581,22
4/2016,3.679720,3.656600,3.703988,21
3/2016,3.746117,3.679707,3.819487,21
2/2016,3.722202,3.628941,3.792098,21
1/2016,3.785765,3.758764,3.856209,20
12/2015,3.851061,3.799814,3.985223,22
11/2015,3.953562,3.875762,3.997131,21
10/2015,3.799796,3.731452,3.903398,22
9/2015,3.790840,3.724991,3.828465,22
8/2015,3.831673,3.674003,4.000740,21
7/2015,3.968926,3.905287,4.017929,23
6/2015,3.924517,3.853163,4.046780,22
5/2015,3.961894,3.877591,4.069619,20
4/2015,4.104586,3.942905,4.178667,20
3/2015,4.050188,3.901442,4.146507,22
2/2015,3.890767,3.842957,3.935935,20
1/2015,3.861143,3.704303,3.990108,21
12/2014,3.621423,3.556503,3.680432,21
11/2014,3.620885,3.600047,3.651352,20
10/2014,3.553690,3.500115,3.627268,23
9/2014,3.484694,3.424206,3.559318,22
8/2014,3.393810,3.333173,3.431809,21
7/2014,3.271395,3.231860,3.336924,23
6/2014,3.240968,3.218182,3.265967,21
5/2014,3.203304,3.153721,3.235090,21
4/2014,3.192538,3.165967,3.222808,20
3/2014,3.210581,3.184252,3.252544,21
2/2014,3.304470,3.221413,3.366149,20
1/2014,3.336884,3.318803,3.366853,22
12/2013,3.306022,3.273458,3.336993,20
11/2013,3.274985,3.131178,3.326446,21
10/2013,3.083478,3.067423,3.111108,23
9/2013,3.157278,3.101646,3.209832,21
8/2013,3.168831,3.132648,3.207745,22
7/2013,3.233923,3.174424,3.298813,23
6/2013,3.184139,3.127138,3.232312,20
5/2013,3.247933,3.158711,3.310521,22
4/2013,3.207651,3.178670,3.260434,21
3/2013,3.183719,3.125177,3.251828,20
2/2013,3.059374,2.993959,3.143214,20
1/2013,3.091384,3.040217,3.144035,22
12/2012,3.082292,3.035412,3.136962,19
11/2012,3.170950,3.115475,3.218803,22
10/2012,3.064215,3.018804,3.107041,23
9/2012,3.045944,2.954556,3.124012,20
8/2012,3.172948,3.102595,3.240379,23
7/2012,3.250740,3.191449,3.308927,22
6/2012,3.218261,3.149773,3.285554,21
5/2012,3.133587,3.021664,3.252731,22
4/2012,2.991927,2.938733,3.025028,19
3/2012,2.961412,2.929835,3.001750,22
2/2012,3.006067,2.936247,3.088393,21
1/2012,3.134597,3.030281,3.215406,22
12/2011,3.054378,2.940655,3.180663,21
11/2011,2.956289,2.845541,3.087644,22
10/2011,2.846210,2.742677,2.970259,21
9/2011,2.791776,2.650267,2.898500,22
8/2011,2.642539,2.604964,2.674237,23
7/2011,2.641881,2.590648,2.686207,21
6/2011,2.607162,2.550362,2.662617,22
5/2011,2.617071,2.505174,2.690215,22
4/2011,2.578122,2.508709,2.647313,19
3/2011,2.654413,2.627366,2.687436,23
2/2011,2.702280,2.654197,2.734283,20
1/2011,2.774507,2.681381,2.877893,21
12/2010,2.865022,2.814195,2.917737,23
11/2010,2.711845,2.571564,2.875095,22
10/2010,2.647430,2.606016,2.674598,21
9/2010,2.798911,2.693794,2.865290,22
8/2010,2.834981,2.759922,2.906089,22
7/2010,2.928094,2.796278,3.087304,22
6/2010,3.097247,3.046984,3.178106,22
5/2010,2.992675,2.830043,3.077005,21
4/2010,2.766105,2.695304,2.828509,20
3/2010,2.757680,2.705276,2.808851,23
2/2010,2.779854,2.726082,2.816358,20
1/2010,2.682495,2.632092,2.750385,20
12/2009,2.616105,2.500388,2.708500,22
11/2009,2.535659,2.472599,2.625668,21
10/2009,2.556780,2.516438,2.623995,22
9/2009,2.549635,2.490634,2.644306,22
8/2009,2.630889,2.591022,2.680270,21
7/2009,2.680215,2.617880,2.742251,23
6/2009,2.771433,2.680822,2.848011,22
5/2009,2.870377,2.786637,2.952417,20
4/2009,2.972063,2.880120,3.061587,20
3/2009,3.057608,2.866912,3.287275,22
2/2009,3.256637,3.127208,3.412799,20
1/2009,3.004839,2.811060,3.212408,21
12/2008,2.836850,2.660990,2.961530,21
11/2008,2.897923,2.757137,2.990620,20
10/2008,2.723221,2.541946,2.949601,23
9/2008,2.493962,2.405400,2.581788,22
8/2008,2.368477,2.249789,2.455964,21
7/2008,2.182558,2.119158,2.249481,23
6/2008,2.266506,2.211271,2.326057,21
5/2008,2.314254,2.288026,2.341292,21
4/2008,2.273809,2.231222,2.321562,22
3/2008,2.295303,2.239680,2.343849,19
2/2008,2.401577,2.331261,2.460939,21
1/2008,2.444592,2.394619,2.511379,22
12/2007,2.450677,2.388578,2.509240,19
11/2007,2.453619,2.404171,2.514280,22
10/2007,2.561088,2.495540,2.604629,23
9/2007,2.638161,2.586889,2.696416,20
8/2007,2.700570,2.681328,2.732671,23
7/2007,2.729592,2.694050,2.786012,22
6/2007,2.787392,2.745727,2.815661,21
5/2007,2.722825,2.682959,2.761537,22
4/2007,2.683493,2.668633,2.712221,19
3/2007,2.738274,2.699199,2.780074,22
2/2007,2.786428,2.763422,2.816915,20
1/2007,2.750329,2.657520,2.808748,22
12/2006,2.687570,2.657195,2.705508,19
11/2006,2.767618,2.705196,2.795544,22
10/2006,2.838968,2.804073,2.865143,22
9/2006,2.810914,2.763021,2.836716,21
8/2006,2.760322,2.730639,2.799623,23
7/2006,2.807099,2.781848,2.849348,21
6/2006,2.802871,2.730373,2.848404,22
5/2006,2.762232,2.732890,2.807299,22
4/2006,2.898001,2.827776,2.955700,18
3/2006,2.966513,2.917672,3.004918,23
2/2006,2.955568,2.912046,2.987028,20
1/2006,2.942283,2.865819,3.041765,22
12/2005,3.026137,2.986492,3.064610,21
11/2005,3.072000,3.025036,3.108661,22
10/2005,3.053393,3.016007,3.081734,21
9/2005,2.956762,2.864212,3.033004,22
8/2005,2.971766,2.921181,3.036757,23
7/2005,3.051931,3.000215,3.111004,21
6/2005,2.985474,2.952723,3.012442,22
5/2005,2.879325,2.792428,2.978308,22
4/2005,2.816387,2.783697,2.859704,21
3/2005,2.727637,2.656594,2.825590,21
2/2005,2.783818,2.712901,2.838194,20
1/2005,2.792884,2.718014,2.839110,21
12/2004,2.763291,2.701656,2.829601,23
11/2004,2.912651,2.818381,2.994755,22
10/2004,3.049409,2.983935,3.102079,21
