Month,Average CNY/USD=,Min CNY/USD=,Max CNY/USD=,Nb of working days
6/2023,0.140039,0.139113,0.141497,17
5/2023,0.143152,0.140703,0.144708,23
4/2023,0.145187,0.144427,0.145946,20
3/2023,0.145050,0.143563,0.146396,23
2/2023,0.146293,0.143831,0.148732,20
1/2023,0.147171,0.144724,0.148689,22
12/2022,0.143366,0.141337,0.144954,21
11/2022,0.139407,0.136660,0.141939,22
10/2022,0.139013,0.136822,0.140529,21
9/2022,0.142482,0.138225,0.144950,22
8/2022,0.147033,0.144632,0.148390,23
7/2022,0.148513,0.147726,0.149406,21
6/2022,0.149371,0.148430,0.150597,22
5/2022,0.149357,0.147232,0.151321,22
4/2022,0.155434,0.151122,0.157187,19
3/2022,0.157604,0.156752,0.158412,23
2/2022,0.157624,0.157057,0.158469,20
1/2022,0.157316,0.156746,0.158178,21
12/2021,0.157013,0.156794,0.157530,23
11/2021,0.156515,0.156177,0.156958,22
10/2021,0.155727,0.155055,0.156737,21
9/2021,0.154858,0.154559,0.155438,22
8/2021,0.154411,0.153861,0.154791,22
7/2021,0.154460,0.153778,0.154875,22
6/2021,0.155661,0.154420,0.156644,22
5/2021,0.155500,0.153847,0.156983,21
4/2021,0.153475,0.152160,0.154632,20
3/2021,0.153604,0.152176,0.154666,23
2/2021,0.154830,0.154550,0.155391,20
1/2021,0.154589,0.153958,0.155496,20
12/2020,0.152881,0.152189,0.153256,22
11/2020,0.151473,0.149457,0.152545,21
10/2020,0.148635,0.146865,0.150255,22
9/2020,0.146796,0.146096,0.147939,22
8/2020,0.144328,0.143175,0.146125,21
7/2020,0.142663,0.141501,0.143374,23
6/2020,0.141151,0.140129,0.141647,22
5/2020,0.140706,0.139689,0.141600,20
4/2020,0.141325,0.140832,0.141864,20
3/2020,0.142424,0.140548,0.144454,22
2/2020,0.142919,0.142151,0.143500,20
1/2020,0.144478,0.143423,0.145801,22
12/2019,0.142527,0.141682,0.143648,20
11/2019,0.142463,0.142007,0.143353,21
