Month,Average CNY/HKD=,Min CNY/HKD=,Max CNY/HKD=,Nb of working days
6/2023,1.096744,1.089036,1.108867,17
5/2023,1.121941,1.102336,1.135689,23
4/2023,1.139673,1.133741,1.145669,20
3/2023,1.138444,1.126954,1.149155,23
2/2023,1.147895,1.128649,1.166558,20
1/2023,1.150922,1.130780,1.161449,22
12/2022,1.116108,1.100128,1.130208,21
11/2022,1.091540,1.072765,1.110929,22
10/2022,1.091209,1.074023,1.103149,21
9/2022,1.118392,1.085045,1.137560,22
8/2022,1.153699,1.135044,1.164351,23
7/2022,1.165692,1.159560,1.172285,21
6/2022,1.172287,1.165173,1.181557,22
5/2022,1.172298,1.155762,1.187674,22
4/2022,1.218736,1.185728,1.231935,19
3/2022,1.232900,1.226892,1.238035,23
2/2022,1.229397,1.224228,1.238347,20
1/2022,1.225852,1.222388,1.231411,21
12/2021,1.224505,1.222388,1.228118,23
11/2021,1.219349,1.215765,1.223855,22
10/2021,1.211514,1.206380,1.218701,21
9/2021,1.204932,1.202517,1.209704,22
8/2021,1.201950,1.198671,1.204290,22
7/2021,1.200239,1.196825,1.203194,22
6/2021,1.208217,1.199165,1.215394,22
5/2021,1.207508,1.195019,1.218317,21
4/2021,1.192328,1.183315,1.200706,20
3/2021,1.192779,1.183127,1.199687,23
2/2021,1.200390,1.198169,1.204547,20
1/2021,1.198552,1.193711,1.205594,20
12/2020,1.185150,1.179745,1.188135,22
11/2020,1.174309,1.158603,1.182650,21
10/2020,1.151979,1.138216,1.164492,22
9/2020,1.137696,1.132309,1.146531,22
8/2020,1.118582,1.109670,1.132479,21
7/2020,1.105789,1.096666,1.111185,23
6/2020,1.093965,1.086200,1.097777,22
5/2020,1.090754,1.082891,1.097871,20
4/2020,1.095453,1.091793,1.099589,20
3/2020,1.105914,1.091088,1.122354,22
2/2020,1.111179,1.106255,1.115937,20
1/2020,1.123019,1.114402,1.132649,22
12/2019,1.112469,1.109080,1.118509,20
11/2019,1.115252,1.111661,1.121883,21
10/2019,1.104911,1.096844,1.112821,23
9/2019,1.100893,1.092660,1.106584,21
8/2019,1.110312,1.095461,1.133767,22
7/2019,1.135929,1.133201,1.141461,23
6/2019,1.134033,1.130428,1.140345,20
5/2019,1.143994,1.134522,1.164901,22
4/2019,1.167893,1.162511,1.172791,20
3/2019,1.169373,1.164905,1.172721,21
2/2019,1.164712,1.155885,1.174872,20
1/2019,1.155192,1.139261,1.170458,22
12/2018,1.135573,1.130637,1.142141,19
11/2018,1.128297,1.124861,1.135672,22
10/2018,1.132483,1.124812,1.140908,23
9/2018,1.143207,1.135667,1.150343,20
8/2018,1.146179,1.135010,1.154529,23
7/2018,1.168310,1.148350,1.186733,22
6/2018,1.213730,1.184783,1.227439,21
5/2018,1.231346,1.222236,1.239626,22
4/2018,1.245670,1.238031,1.250460,20
3/2018,1.240376,1.232540,1.249731,21
2/2018,1.237206,1.230185,1.246034,20
1/2018,1.216766,1.198523,1.243464,22
12/2017,1.184521,1.179169,1.200861,19
11/2017,1.178747,1.174344,1.188069,22
10/2017,1.178101,1.172690,1.186293,22
9/2017,1.189622,1.172638,1.208326,21
8/2017,1.172410,1.162169,1.187121,23
7/2017,1.152965,1.147703,1.160997,21
6/2017,1.145412,1.139964,1.151075,22
5/2017,1.131048,1.127046,1.143521,22
4/2017,1.128180,1.125538,1.130442,18
3/2017,1.126090,1.123146,1.129368,23
2/2017,1.129116,1.127043,1.132100,20
1/2017,1.124904,1.114394,1.134168,22
12/2016,1.120810,1.114804,1.127416,21
11/2016,1.133570,1.120854,1.147809,22
10/2016,1.152728,1.143600,1.162978,21
9/2016,1.162338,1.160968,1.164242,22
8/2016,1.166684,1.161229,1.171615,23
7/2016,1.161657,1.156892,1.166450,21
6/2016,1.177466,1.167109,1.183362,22
5/2016,1.188839,1.180361,1.198232,22
4/2016,1.197276,1.193606,1.200171,21
3/2016,1.192888,1.186643,1.200887,21
2/2016,1.188233,1.182711,1.198744,21
1/2016,1.183710,1.175619,1.189472,20
12/2015,1.201142,1.194260,1.211951,22
11/2015,1.216540,1.211260,1.223165,21
10/2015,1.220433,1.218501,1.225593,22
9/2015,1.216946,1.214277,1.219364,22
8/2015,1.223188,1.208657,1.248683,21
7/2015,1.248533,1.247911,1.250080,23
6/2015,1.249307,1.248353,1.251655,22
5/2015,1.249709,1.247930,1.251406,20
4/2015,1.249574,1.246111,1.251191,20
3/2015,1.243436,1.235665,1.252525,22
2/2015,1.240423,1.236674,1.242962,20
1/2015,1.246708,1.239548,1.251583,21
12/2014,1.252802,1.246298,1.261973,21
11/2014,1.265736,1.262583,1.268240,20
10/2014,1.266299,1.263016,1.268955,23
9/2014,1.262756,1.260635,1.266454,22
8/2014,1.259160,1.254150,1.262340,21
7/2014,1.250125,1.247744,1.255701,23
6/2014,1.244017,1.239685,1.249475,21
5/2014,1.242795,1.238476,1.245010,21
4/2014,1.245690,1.238284,1.251380,20
