Month,Average CNY/IDR=,Min CNY/IDR=,Max CNY/IDR=,Nb of working days
7/2023,2078.690112,2077.360234,2079.859116,3
6/2023,2085.618238,2068.958643,2100.285282,22
5/2023,2122.015737,2109.868620,2130.331035,23
4/2023,2160.276106,2120.572790,2174.087289,20
3/2023,2217.384473,2180.248251,2247.272281,23
2/2023,2216.256037,2193.270934,2236.548314,20
1/2023,2245.121155,2205.752913,2296.738621,22
12/2022,2234.441523,2184.930710,2258.828681,21
11/2022,2183.095846,2147.093797,2215.750916,22
10/2022,2146.460761,2134.761534,2166.741258,21
9/2022,2136.077458,2111.822546,2157.859512,22
8/2022,2181.050775,2148.541880,2210.434934,23
7/2022,2226.227550,2205.888945,2243.684538,21
6/2022,2195.919156,2166.301689,2233.712513,22
5/2022,2177.454279,2154.716152,2203.105152,22
4/2022,2236.466954,2193.979620,2259.603760,19
3/2022,2260.182665,2240.603563,2278.383639,23
2/2022,2261.381566,2249.286498,2278.296307,20
1/2022,2256.242637,2243.497671,2270.252339,21
12/2021,2248.038014,2226.305929,2265.168227,23
11/2021,2234.876721,2221.662513,2252.101900,22
10/2021,2208.081876,2182.151802,2223.169943,21
9/2021,2207.877806,2200.028968,2214.120806,22
8/2021,2220.327096,2207.505395,2229.492365,22
7/2021,2240.549154,2227.831092,2249.135777,22
6/2021,2234.894683,2220.869722,2257.391882,22
5/2021,2226.773035,2202.480620,2248.009610,21
4/2021,2231.115868,2211.053825,2240.321817,20
3/2021,2211.998131,2200.188518,2223.322787,23
2/2021,2175.986820,2152.033652,2213.881482,20
1/2021,2173.534973,2146.679835,2191.094587,20
12/2020,2164.119632,2149.050795,2181.175125,22
11/2020,2152.774846,2124.040099,2188.863805,21
10/2020,2189.809616,2162.116863,2206.401621,22
9/2020,2177.501615,2136.686282,2194.912193,22
8/2020,2123.470186,2096.280856,2145.188794,21
7/2020,2073.137818,2018.521560,2115.945345,23
6/2020,2005.115672,1976.676748,2047.282766,22
5/2020,2090.821783,2047.636428,2138.156056,20
4/2020,2235.079566,2110.226309,2348.860958,20
3/2020,2170.053064,2038.972135,2339.833737,22
2/2020,1970.120793,1951.573489,2054.375049,20
1/2020,1982.972893,1960.934008,2000.610230,22
12/2019,1996.668547,1988.982812,2006.012837,20
11/2019,2004.198000,1993.999235,2008.611431,21
10/2019,1989.173948,1978.596634,2001.036157,23
9/2019,1980.515668,1970.397158,1987.401252,21
8/2019,2015.716787,1983.901506,2051.008835,22
7/2019,2040.836117,2026.658719,2062.518351,23
6/2019,2060.688643,2053.281972,2070.074813,20
5/2019,2097.582875,2074.394185,2116.693733,22
4/2019,2106.160927,2093.950560,2119.508023,20
3/2019,2116.789101,2104.883928,2129.697420,21
2/2019,2083.610770,2064.115810,2105.876109,20
1/2019,2085.727832,2055.907219,2108.886330,22
12/2018,2106.202317,2073.452110,2126.285063,19
