Month,Average CNY/JPY=,Min CNY/JPY=,Max CNY/JPY=,Nb of working days
7/2023,19.979214,19.957359,20.006103,3
6/2023,19.720680,19.512798,19.943436,22
5/2023,19.610923,19.328119,19.883627,23
4/2023,19.363465,19.097854,19.656747,20
3/2023,19.376886,18.943191,19.795320,23
2/2023,19.438689,19.059833,19.715461,20
1/2023,19.207828,18.930047,19.612742,22
12/2022,19.337844,18.902168,19.670818,21
11/2022,19.838263,19.236386,20.479871,22
10/2022,20.474107,20.293388,20.933564,21
9/2022,20.366820,19.938685,20.763253,22
8/2022,19.867821,19.372947,20.119802,23
7/2022,20.306474,19.855906,20.562572,21
6/2022,20.015371,19.372503,20.392998,22
5/2022,19.236889,18.875653,19.662615,22
4/2022,19.626477,19.250188,20.055646,19
3/2022,18.694045,18.187108,19.456929,23
2/2022,18.157958,17.961569,18.303496,20
1/2022,18.076552,17.898196,18.237306,21
12/2021,17.890637,17.696447,18.121673,23
11/2021,17.842988,17.691819,18.054858,22
10/2021,17.612953,17.225014,17.877095,21
9/2021,17.058784,16.899072,17.324676,22
8/2021,16.958331,16.862966,17.064056,22
7/2021,17.031015,16.891963,17.232763,22
6/2021,17.137729,17.019866,17.196976,22
5/2021,16.972483,16.798915,17.262535,21
4/2021,16.718488,16.596016,16.848706,20
3/2021,16.702027,16.497371,16.912722,23
2/2021,16.316570,16.204365,16.442749,20
1/2021,16.043454,15.917544,16.278653,20
12/2020,15.863906,15.766906,15.965125,22
11/2020,15.816605,15.631850,15.927898,21
10/2020,15.637917,15.491614,15.812616,22
9/2020,15.497852,15.339034,15.575110,22
8/2020,15.302042,15.178864,15.477720,21
7/2020,15.232018,15.021872,15.356557,23
6/2020,15.190400,15.080479,15.457939,22
5/2020,15.083079,14.946485,15.163977,20
4/2020,15.219207,15.056763,15.435796,20
3/2020,15.309764,14.713568,15.703243,22
2/2020,15.730886,15.460666,15.947326,20
1/2020,15.796565,15.505644,16.054131,22
12/2019,15.548924,15.406962,15.716303,20
11/2019,15.513447,15.353136,15.654542,21
10/2019,15.234507,14.934329,15.438108,23
9/2019,15.097101,14.780992,15.259694,21
8/2019,15.041201,14.766183,15.776415,22
7/2019,15.736167,15.650618,15.830479,23
6/2019,15.664074,15.567922,15.731759,20
5/2019,16.024091,15.740152,16.559289,22
4/2019,16.616335,16.533616,16.735455,20
3/2019,16.564745,16.398079,16.701981,21
2/2019,16.380135,16.167068,16.569474,20
1/2019,16.044431,15.664133,16.293459,22
12/2018,16.311990,15.980749,16.500398,19
11/2018,16.327231,16.184315,16.403172,22
10/2018,16.308120,16.133044,16.620257,23
9/2018,16.330742,16.186267,16.473350,20
8/2018,16.208586,16.035450,16.450157,23
7/2018,16.590885,16.267274,16.859090,22
6/2018,17.022671,16.634084,17.269866,21
5/2018,17.209068,16.970906,17.422800,22
4/2018,17.086745,16.849462,17.265860,20
3/2018,16.780687,16.611411,16.929571,21
2/2018,17.074688,16.735587,17.469128,20
1/2018,17.252367,17.131648,17.459789,22
12/2017,17.117185,16.953012,17.299216,19
11/2017,17.034682,16.816425,17.273047,22
10/2017,17.044952,16.906079,17.168235,22
9/2017,16.857426,16.618330,17.056575,21
8/2017,16.471258,16.335296,16.757837,23
7/2017,16.608521,16.419068,16.803950,21
6/2017,16.293716,16.096011,16.611120,22
5/2017,16.301246,16.043443,16.501461,22
4/2017,16.008677,15.812524,16.166851,18
3/2017,16.377458,16.013085,16.693029,23
2/2017,16.429469,16.288969,16.664139,20
1/2017,16.688601,16.472577,16.981393,22
12/2016,16.771472,16.532533,17.025546,21
11/2016,15.830533,15.241145,16.457892,22
10/2016,15.428023,15.194365,15.548556,21
9/2016,15.266133,15.037554,15.525439,22
8/2016,15.226254,15.046868,15.476847,23
7/2016,15.593848,15.020740,15.963048,21
6/2016,16.001221,15.292444,16.608615,22
5/2016,16.682104,16.334502,16.893090,22
4/2016,16.918767,16.545177,17.329472,21
3/2016,17.362156,17.190312,17.498976,21
2/2016,17.527803,17.066173,18.433070,21
1/2016,17.974641,17.734924,18.416655,20
12/2015,18.859263,18.557658,19.272626,22
11/2015,19.240457,19.026232,19.408187,21
10/2015,18.900373,18.631084,19.063742,22
9/2015,18.870257,18.744686,18.990224,22
8/2015,19.428603,18.672943,20.111550,21
7/2015,19.875078,19.559088,20.031417,23
6/2015,19.938155,19.751752,20.185340,22
5/2015,19.485315,19.210312,20.033152,20
4/2015,19.284187,19.155359,19.404442,20
3/2015,19.287040,19.085670,19.522226,22
2/2015,18.980916,18.752459,19.188463,20
1/2015,19.019285,18.777633,19.423748,21
12/2014,19.267265,18.781562,19.619116,21
11/2014,18.980089,18.547650,19.297355,20
10/2014,17.627741,17.285548,18.310062,23
9/2014,17.474547,16.977156,17.875540,22
8/2014,16.728234,16.550227,16.923400,21
7/2014,16.407726,16.314498,16.661624,23
6/2014,16.378016,16.305541,16.439185,21
5/2014,16.314072,16.208227,16.427526,21
4/2014,16.470993,16.302589,16.731941,20
3/2014,16.580579,16.390990,16.823494,21
2/2014,16.776469,16.567706,16.894495,20
1/2014,17.175014,16.860955,17.402773,22
12/2013,17.018696,16.752605,17.356232,20
11/2013,16.415225,16.081250,16.792861,21
10/2013,16.019490,15.828066,16.144983,23
9/2013,16.209582,15.945308,16.389194,21
8/2013,15.997310,15.736630,16.284013,22
7/2013,16.252747,15.959288,16.504041,23
6/2013,15.872010,15.347698,16.361529,20
5/2013,16.451751,15.890843,16.818962,22
4/2013,15.829879,15.062972,16.130633,21
3/2013,15.259008,14.897167,15.518249,20
