Month,Average CNY/KRW=,Min CNY/KRW=,Max CNY/KRW=,Nb of working days
6/2023,181.146988,178.020397,185.789972,17
5/2023,190.067584,186.240295,193.996649,23
4/2023,192.131411,189.864178,193.694248,20
3/2023,189.450462,187.188694,191.278392,23
2/2023,186.878528,182.178727,190.304495,20
1/2023,183.323276,181.156924,185.603442,22
12/2022,185.575114,181.691906,189.295824,21
11/2022,189.214412,185.182194,197.153497,22
10/2022,198.568336,195.650732,202.681309,21
9/2022,198.784055,196.138633,201.921635,22
8/2022,194.229093,191.771877,196.358298,23
7/2022,194.347052,193.260154,196.310142,21
6/2022,191.081553,185.991674,194.297043,22
5/2022,189.213081,185.636021,191.768275,22
4/2022,192.171342,190.706906,194.102133,19
3/2022,192.476288,190.542420,195.437832,23
2/2022,188.805455,187.704614,190.889647,20
1/2022,188.212000,186.419431,190.449779,21
12/2021,185.919649,184.457170,187.134974,23
11/2021,185.364597,183.726882,186.960318,22
10/2021,184.057875,182.681723,185.636456,21
9/2021,181.636295,179.145292,183.994929,22
8/2021,179.279124,176.638867,182.015451,22
7/2021,176.970932,174.918163,178.417606,22
6/2021,174.760381,173.672206,176.133304,22
5/2021,174.686246,173.231289,176.690614,21
4/2021,171.420632,170.408623,172.310315,20
3/2021,173.701167,172.393636,175.254736,23
2/2021,172.144629,170.699076,174.408369,20
1/2021,170.034710,167.584671,173.610773,20
12/2020,167.399413,166.012354,169.386165,22
11/2020,168.858074,168.031663,170.076117,21
10/2020,170.024267,167.986641,171.321683,22
9/2020,172.858084,171.213508,174.086037,22
8/2020,171.249843,170.271327,173.264310,21
7/2020,171.018047,169.748868,172.150965,23
6/2020,170.412271,168.379304,172.001967,22
5/2020,172.998687,172.354015,173.991728,20
4/2020,172.903598,171.276332,174.297299,20
3/2020,173.558311,170.742982,179.109522,22
2/2020,170.845467,169.311056,173.346298,20
1/2020,168.699944,166.556334,172.388605,22
12/2019,167.514524,165.446736,169.510005,20
11/2019,166.453728,165.222425,167.911937,21
10/2019,166.821657,165.305133,168.792256,23
9/2019,167.896842,166.181018,169.245857,21
8/2019,171.434703,168.957520,173.158645,22
7/2019,171.133737,169.652279,172.015037,23
6/2019,170.047777,167.749882,171.545582,20
5/2019,172.698252,171.751625,173.723444,22
4/2019,170.147942,168.896885,173.152328,20
3/2019,168.671731,167.966253,169.298513,21
2/2019,166.612011,165.744129,167.879280,20
1/2019,165.348699,163.368230,166.475178,22
12/2018,163.031615,161.441709,164.377247,19
11/2018,162.384969,161.112234,163.182786,22
10/2018,163.575370,161.836427,165.124653,23
9/2018,163.378933,161.400668,164.518404,20
8/2018,163.784656,162.420669,165.084635,23
7/2018,167.270823,163.639338,169.166282,22
6/2018,169.236943,166.881563,172.261085,21
5/2018,168.992235,167.878617,169.982053,22
4/2018,169.746440,167.789686,171.400945,20
3/2018,169.528059,167.679340,171.576151,21
2/2018,170.560634,167.844000,173.009581,20
1/2018,165.935394,163.597488,169.393669,22
12/2017,164.383318,163.635082,165.360419,19
11/2017,166.248898,163.223056,168.584162,22
10/2017,170.880007,168.638325,172.662879,22
9/2017,172.370065,170.794910,174.976260,21
8/2017,169.619433,167.000542,171.800225,23
7/2017,167.421082,165.236193,170.117377,21
6/2017,166.266211,164.368477,168.580474,22
5/2017,163.542939,162.050272,165.373075,22
4/2017,164.517720,162.223009,166.075023,18
3/2017,164.383454,161.285800,167.647301,23
2/2017,166.236010,164.089035,168.016696,20
1/2017,171.402484,168.279032,173.868483,22
12/2016,171.073937,168.829432,174.343778,21
11/2016,170.101149,167.347402,171.367562,22
10/2016,167.529391,165.044956,169.222989,21
9/2016,166.285393,163.559896,168.822402,22
8/2016,167.100208,164.822393,168.926125,23
7/2016,171.022860,168.700276,174.160339,21
6/2016,177.057658,173.341468,181.165474,22
5/2016,179.995277,175.743772,181.878938,22
4/2016,177.042731,174.082756,179.247977,21
3/2016,182.104495,176.140599,188.131405,21
2/2016,185.797551,181.113949,189.756477,21
1/2016,183.145737,181.787903,184.866737,20
12/2015,182.006763,180.109402,184.400029,22
11/2015,181.178728,178.505145,184.045075,21
10/2015,180.260204,176.747999,185.898936,22
9/2015,186.110614,182.664963,188.805423,22
8/2015,186.004334,183.903451,188.664512,21
7/2015,184.682819,181.074997,189.105981,23
6/2015,179.462399,177.301763,180.939715,22
5/2015,176.433800,174.262402,179.473189,20
4/2015,175.048963,172.135209,178.162971,20
3/2015,178.368159,174.986794,181.305508,22
2/2015,176.227559,173.816514,178.119860,20
1/2015,175.181614,172.758948,178.614511,21
12/2014,178.174381,174.442183,181.361548,21
11/2014,179.341935,176.056614,181.836405,20
10/2014,173.281669,171.249454,175.476430,23
9/2014,168.691584,164.875618,172.185550,22
8/2014,166.427266,165.034148,168.202625,21
7/2014,164.684143,162.439099,166.846201,23
6/2014,163.574862,162.761974,164.210050,21
5/2014,164.271164,163.379620,164.992452,21
4/2014,167.631120,164.585067,170.581363,20
3/2014,173.443144,170.951792,174.751063,21
2/2014,176.086802,173.566834,178.932248,20
1/2014,176.516344,173.776046,179.251298,22
12/2013,173.819556,172.880115,174.938774,20
11/2013,174.418290,173.226050,176.141766,21
10/2013,174.794157,173.779389,175.782563,23
9/2013,177.098273,175.382147,179.721164,21
8/2013,182.374810,181.392707,183.492326,22
7/2013,183.648926,181.445659,187.222462,23
6/2013,185.200193,182.034463,189.158739,20
5/2013,181.233156,176.228848,184.789126,22
4/2013,181.331927,178.717570,184.340108,21
3/2013,177.468266,174.264180,180.205886,20
2/2013,174.442371,172.999125,175.830048,20
1/2013,171.416195,169.785393,175.177085,22
12/2012,172.530107,171.059642,174.128285,19
11/2012,174.396027,173.541432,175.008494,22
10/2012,176.356839,174.871978,177.411637,23
9/2012,177.760305,176.707958,179.039569,20
8/2012,178.016730,176.966947,178.772434,23
7/2012,179.353627,177.594789,181.241706,22
6/2012,183.073976,180.100236,185.566463,21
5/2012,183.356393,179.502971,187.017743,22
4/2012,180.340477,178.652678,181.509771,19
3/2012,178.552361,176.590887,180.848039,22
2/2012,178.310291,177.112684,180.043023,21
1/2012,181.074855,177.798663,183.903666,22
12/2011,181.125424,176.738852,185.329102,21
11/2011,178.470251,175.290022,182.824676,22
10/2011,180.833332,173.792445,188.121586,21
9/2011,175.579738,166.314563,186.617852,22
8/2011,167.872581,162.960128,169.953047,23
7/2011,163.946519,163.046841,165.364341,21
6/2011,166.951792,165.195470,168.320707,22
5/2011,166.973262,164.390239,169.702376,22
4/2011,166.277411,164.697893,167.279692,19
3/2011,170.657305,167.086934,172.838749,23
2/2011,169.742085,167.438662,172.629789,20
1/2011,169.645488,168.530755,170.611308,21
12/2010,172.269547,169.922920,174.051968,23
11/2010,169.950816,165.535479,175.829616,22
10/2010,168.384981,166.795688,169.846641,21
9/2010,172.206716,169.802127,173.962861,22
