Month,Average CNY/MOP=,Min CNY/MOP=,Max CNY/MOP=,Nb of working days
7/2023,1.114393,1.112481,1.117329,3
6/2023,1.126225,1.110514,1.142133,22
5/2023,1.155599,1.135407,1.169760,23
4/2023,1.173864,1.167753,1.180039,20
3/2023,1.172598,1.160762,1.183630,23
2/2023,1.182332,1.162508,1.201555,20
1/2023,1.185450,1.164703,1.196292,22
12/2022,1.149592,1.133132,1.164115,21
11/2022,1.124286,1.104948,1.144257,22
10/2022,1.123946,1.106244,1.136243,21
9/2022,1.151943,1.117596,1.171687,22
8/2022,1.188310,1.169096,1.199281,23
7/2022,1.200662,1.194346,1.207454,21
6/2022,1.207456,1.200128,1.217003,22
5/2022,1.207467,1.190435,1.223304,22
4/2022,1.255298,1.221300,1.268893,19
3/2022,1.269887,1.263699,1.275176,23
2/2022,1.266279,1.260954,1.275498,20
1/2022,1.262628,1.259059,1.268354,21
12/2021,1.261240,1.259060,1.264962,23
11/2021,1.255929,1.252238,1.260571,22
10/2021,1.247859,1.242571,1.255262,21
9/2021,1.241080,1.238593,1.245995,22
8/2021,1.238009,1.234631,1.240418,22
7/2021,1.236246,1.232730,1.239290,22
6/2021,1.244463,1.235140,1.251856,22
5/2021,1.243734,1.230870,1.254866,21
4/2021,1.228098,1.218814,1.236728,20
3/2021,1.228562,1.218621,1.235677,23
2/2021,1.236401,1.234114,1.240684,20
1/2021,1.234509,1.229522,1.241762,20
12/2020,1.220704,1.215138,1.223779,22
11/2020,1.209538,1.193361,1.218130,21
10/2020,1.186539,1.172363,1.199427,22
9/2020,1.171827,1.166278,1.180926,22
8/2020,1.152140,1.142960,1.166453,21
7/2020,1.138963,1.129566,1.144521,23
6/2020,1.126784,1.118786,1.130711,22
5/2020,1.123476,1.115377,1.130807,20
4/2020,1.128316,1.124547,1.132577,20
3/2020,1.139092,1.123820,1.156025,22
2/2020,1.144515,1.139443,1.149416,20
1/2020,1.156710,1.147835,1.166629,22
12/2019,1.145979,1.142352,1.152064,20
11/2019,1.148710,1.145011,1.155539,21
10/2019,1.138059,1.129750,1.146206,23
9/2019,1.133920,1.125440,1.139782,21
8/2019,1.143621,1.128325,1.167780,22
7/2019,1.170007,1.167197,1.175705,23
6/2019,1.168054,1.164341,1.174555,20
5/2019,1.178314,1.168558,1.199848,22
4/2019,1.202929,1.197387,1.207975,20
3/2019,1.204455,1.199852,1.207903,21
2/2019,1.199653,1.190561,1.210118,20
1/2019,1.189847,1.173439,1.205572,22
12/2018,1.169641,1.164556,1.176405,19
11/2018,1.162146,1.158607,1.169742,22
10/2018,1.166458,1.158556,1.175136,23
9/2018,1.177504,1.169737,1.184853,20
8/2018,1.180564,1.169060,1.189165,23
7/2018,1.203359,1.182800,1.222335,22
6/2018,1.250142,1.220326,1.264262,21
5/2018,1.268287,1.258903,1.276815,22
4/2018,1.283040,1.275172,1.287974,20
3/2018,1.277587,1.269516,1.287222,21
2/2018,1.274322,1.267091,1.283415,20
1/2018,1.253269,1.234479,1.280768,22
12/2017,1.220056,1.214544,1.236887,19
11/2017,1.214110,1.209575,1.223711,22
10/2017,1.213444,1.207871,1.221882,22
9/2017,1.225310,1.207817,1.244576,21
8/2017,1.207583,1.197034,1.222734,23
7/2017,1.187554,1.182134,1.195827,21
6/2017,1.179717,1.174163,1.185607,22
5/2017,1.164980,1.160858,1.177826,22
4/2017,1.162025,1.159304,1.164355,18
3/2017,1.159872,1.156840,1.163249,23
2/2017,1.162989,1.160854,1.166063,20
1/2017,1.158651,1.147826,1.168193,22
12/2016,1.154434,1.148249,1.161238,21
11/2016,1.167577,1.154480,1.182243,22
10/2016,1.187310,1.177908,1.197868,21
9/2016,1.197208,1.195797,1.199169,22
8/2016,1.201685,1.196066,1.206763,23
7/2016,1.196507,1.191599,1.201444,21
6/2016,1.212790,1.202122,1.218863,22
5/2016,1.224504,1.215772,1.234179,22
4/2016,1.233194,1.229414,1.236176,21
3/2016,1.228675,1.222243,1.236914,21
2/2016,1.223880,1.218192,1.234706,21
1/2016,1.219221,1.210888,1.225156,20
12/2015,1.237176,1.230088,1.248310,22
11/2015,1.253036,1.247598,1.259860,21
10/2015,1.257046,1.255056,1.262361,22
9/2015,1.253455,1.250705,1.255945,22
8/2015,1.259884,1.244917,1.286144,21
7/2015,1.285989,1.285348,1.287582,23
6/2015,1.286786,1.285803,1.289205,22
5/2015,1.287201,1.285368,1.288948,20
4/2015,1.287061,1.283495,1.288727,20
3/2015,1.280739,1.272735,1.290101,22
2/2015,1.277636,1.273775,1.280251,20
1/2015,1.284109,1.276735,1.289130,21
12/2014,1.290386,1.283687,1.299832,21
11/2014,1.303708,1.300460,1.306287,20
10/2014,1.304288,1.300906,1.307024,23
9/2014,1.300639,1.298454,1.304447,22
8/2014,1.296935,1.291774,1.300211,21
7/2014,1.287629,1.285176,1.293372,23
6/2014,1.281337,1.276876,1.286959,21
5/2014,1.280079,1.275630,1.282361,21
4/2014,1.283060,1.275432,1.288921,20
3/2014,1.294996,1.283865,1.306012,21
2/2014,1.314660,1.300478,1.329828,20
1/2014,1.320334,1.318653,1.322527,22
12/2013,1.314642,1.310419,1.319196,20
11/2013,1.310392,1.308575,1.311058,21
10/2013,1.308411,1.304285,1.312723,23
9/2013,1.305056,1.303876,1.305600,21
8/2013,1.304903,1.303094,1.306593,22
7/2013,1.302419,1.301027,1.303762,23
6/2013,1.302998,1.299415,1.304913,20
5/2013,1.302017,1.296070,1.306380,22
4/2013,1.292674,1.287840,1.297117,21
3/2013,1.285446,1.283102,1.287189,20
2/2013,1.281384,1.278845,1.283467,20
1/2013,1.283188,1.280305,1.284724,22
12/2012,1.280173,1.275378,1.282199,19
11/2012,1.280103,1.274594,1.282905,22
10/2012,1.272790,1.260141,1.279820,23
9/2012,1.263343,1.258364,1.270791,20
8/2012,1.256108,1.253221,1.258277,23
7/2012,1.253894,1.250609,1.258396,22
6/2012,1.256439,1.253361,1.263054,21
5/2012,1.265567,1.255823,1.273459,22
4/2012,1.269000,1.265579,1.272679,19
3/2012,1.266672,1.262487,1.270275,22
2/2012,1.267836,1.265278,1.269583,21
1/2012,1.266719,1.262044,1.270854,22
12/2011,1.263402,1.257586,1.268879,21
11/2011,1.261214,1.257133,1.264260,22
10/2011,1.257796,1.254344,1.262743,21
9/2011,1.256368,1.254523,1.258078,22
8/2011,1.254131,1.246967,1.259057,23
7/2011,1.242245,1.239330,1.247023,21
6/2011,1.238526,1.236108,1.241448,22
5/2011,1.232835,1.230667,1.236411,22
4/2011,1.226586,1.223639,1.232581,19
3/2011,1.222646,1.220422,1.226216,23
2/2011,1.218826,1.216722,1.221313,20
1/2011,1.214443,1.206714,1.220224,21
12/2010,1.204699,1.200192,1.214370,23
11/2010,1.200539,1.191489,1.205041,22
10/2010,1.198614,1.193955,1.203178,21
9/2010,1.186163,1.175748,1.195148,22
8/2010,1.179123,1.175872,1.181507,22
7/2010,1.181976,1.180038,1.185535,22
6/2010,1.176565,1.174367,1.182665,22
5/2010,1.174689,1.171465,1.177524,21
4/2010,1.171375,1.170726,1.172216,20
3/2010,1.171118,1.170604,1.171665,23
2/2010,1.171525,1.170673,1.172428,20
1/2010,1.171097,1.169920,1.173188,20
12/2009,1.169558,1.168952,1.170258,22
11/2009,1.169203,1.168733,1.169547,21
10/2009,1.169262,1.168810,1.169899,22
9/2009,1.169083,1.168734,1.169511,22
8/2009,1.168422,1.167739,1.168865,21
7/2009,1.168441,1.167996,1.168715,23
6/2009,1.168199,1.167504,1.169540,22
5/2009,1.169861,1.168877,1.170470,20
4/2009,1.168629,1.167795,1.169941,20
3/2009,1.168365,1.158616,1.169751,22
2/2009,1.168132,1.166333,1.168700,20
1/2009,1.168747,1.168229,1.170051,21
12/2008,1.164310,1.159239,1.169950,21
11/2008,1.169026,1.167423,1.169940,20
10/2008,1.169039,1.165041,1.173458,23
9/2008,1.173127,1.167757,1.177982,22
8/2008,1.173784,1.171158,1.177817,21
7/2008,1.175180,1.169688,1.179316,23
6/2008,1.165729,1.157857,1.171959,21
5/2008,1.152293,1.146155,1.158750,21
4/2008,1.146703,1.143025,1.149774,22
3/2008,1.133117,1.127570,1.143345,19
2/2008,1.120761,1.115945,1.127350,21
1/2008,1.110187,1.103131,1.118327,22
12/2007,1.089629,1.083698,1.100144,19
11/2007,1.079649,1.071800,1.086630,22
10/2007,1.064597,1.060631,1.069626,23
9/2007,1.065645,1.063254,1.068438,20
8/2007,1.063004,1.058043,1.066526,23
7/2007,1.063185,1.058737,1.066204,22
6/2007,1.054530,1.050229,1.057579,21
5/2007,1.049415,1.045113,1.053555,22
4/2007,1.042166,1.040434,1.045566,19
3/2007,1.040020,1.038352,1.041491,22
2/2007,1.038168,1.036046,1.039695,20
1/2007,1.031567,1.026920,1.035088,22
12/2006,1.023511,1.021829,1.026152,19
11/2006,1.019413,1.017046,1.022688,22
10/2006,1.014877,1.013506,1.016964,22
9/2006,1.010667,1.007356,1.016036,21
8/2006,1.004651,1.001412,1.007273,23
7/2006,1.002076,1.000723,1.004612,21
6/2006,0.998736,0.996203,1.000584,22
5/2006,0.996448,0.995135,0.998433,22
4/2006,0.996713,0.995712,0.998262,18
3/2006,0.994692,0.992825,0.996936,23
2/2006,0.992750,0.991262,0.993759,20
1/2006,0.990128,0.989309,0.991239,22
12/2005,0.988910,0.988350,0.989646,21
11/2005,0.988016,0.987391,0.988485,22
10/2005,0.987634,0.987141,0.988188,21
9/2005,0.988043,0.987305,0.988863,22
8/2005,0.988006,0.987150,0.988555,23
7/2005,0.974725,0.967861,0.987837,21
6/2005,0.968501,0.967516,0.969473,22
5/2005,0.970349,0.968736,0.971376,22
4/2005,0.971307,0.970915,0.971424,21
3/2005,0.971418,0.971236,0.971450,21
2/2005,0.971427,0.971344,0.971457,20
1/2005,0.970856,0.968701,0.971444,21
12/2004,0.968533,0.967745,0.969480,23
11/2004,0.968548,0.967934,0.969502,22
10/2004,0.970121,0.968624,0.971281,21
9/2004,0.971369,0.971009,0.971465,22
8/2004,0.971421,0.971274,0.971516,22
7/2004,0.971449,0.971378,0.971717,22
6/2004,0.971137,0.970718,0.971482,22
5/2004,0.971066,0.969082,0.971461,21
4/2004,0.971098,0.969932,0.972251,20
3/2004,0.970516,0.969456,0.971183,23
2/2004,0.968236,0.967500,0.969379,20
1/2004,0.967203,0.966861,0.968303,21
12/2003,0.966985,0.966741,0.967283,21
11/2003,0.966787,0.964669,0.967656,20
10/2003,0.964362,0.959934,0.967234,23
9/2003,0.969501,0.964644,0.971396,22
8/2003,0.971368,0.971270,0.971811,21
7/2003,0.971338,0.971233,0.971549,23
6/2003,0.971299,0.971219,0.971444,21
5/2003,0.971277,0.970473,0.971372,21
4/2003,0.971390,0.971331,0.971425,20
3/2003,0.971332,0.971290,0.971395,21
2/2003,0.971381,0.971307,0.971449,20
1/2003,0.971353,0.971060,0.971442,22
12/2002,0.971512,0.971184,0.975837,20
11/2002,0.971363,0.971275,0.971451,21
10/2002,0.971388,0.971318,0.971456,23
9/2002,0.971434,0.971362,0.971489,21
8/2002,0.971456,0.971440,0.971557,22
7/2002,0.971449,0.971425,0.971463,23
6/2002,0.971447,0.971426,0.971463,20
5/2002,0.971396,0.971297,0.971809,22
4/2002,0.971400,0.971361,0.971429,21
3/2002,0.971404,0.971355,0.971432,20
2/2002,0.971387,0.971345,0.971443,20
1/2002,0.971323,0.971218,0.971398,22
12/2001,0.971319,0.971090,0.971435,19
11/2001,0.971408,0.971273,0.971688,22
10/2001,0.971428,0.971272,0.971469,23
9/2001,0.971425,0.971372,0.971455,20
8/2001,0.971434,0.971308,0.971966,23
7/2001,0.971436,0.971402,0.971457,22
6/2001,0.971389,0.971299,0.971452,21
5/2001,0.971427,0.971360,0.971457,22
4/2001,0.971635,0.971254,0.976807,19
3/2001,0.971410,0.971306,0.971463,22
2/2001,0.971411,0.971296,0.971450,20
1/2001,0.971415,0.971351,0.971450,22
