Month,Average CNY/MVR=,Min CNY/MVR=,Max CNY/MVR=,Nb of working days
7/2023,2.138644,2.114611,2.163103,15
6/2023,2.142441,2.102562,2.161947,22
5/2023,2.194752,2.155776,2.225609,23
4/2023,2.230176,2.211908,2.242142,20
3/2023,2.233066,2.209459,2.257324,23
2/2023,2.244339,2.205817,2.280263,20
1/2023,2.265728,2.229071,2.292245,22
12/2022,2.205228,2.166180,2.238427,21
11/2022,2.147085,2.108783,2.186485,22
10/2022,2.146442,2.103853,2.179497,21
9/2022,2.198707,2.145409,2.230230,22
8/2022,2.260600,2.224537,2.293227,23
7/2022,2.282163,2.265493,2.315737,21
6/2022,2.303442,2.276721,2.351151,22
5/2022,2.306235,2.271077,2.338434,22
4/2022,2.397967,2.334778,2.428646,19
3/2022,2.435970,2.417519,2.453532,23
2/2022,2.432931,2.404293,2.454086,20
1/2022,2.431615,2.412426,2.445201,21
12/2021,2.424581,2.413674,2.434983,23
11/2021,2.416465,2.407046,2.425741,22
10/2021,2.405332,2.387727,2.421536,21
9/2021,2.390305,2.380843,2.398890,22
8/2021,2.386033,2.378964,2.397519,22
7/2021,2.391236,2.369586,2.409505,22
6/2021,2.414203,2.368001,2.438954,22
5/2021,2.414368,2.352151,2.441825,21
4/2021,2.378682,2.322549,2.407617,20
3/2021,2.380376,2.330261,2.408146,23
2/2021,2.404825,2.348395,2.419433,20
1/2021,2.406958,2.397127,2.421073,20
12/2020,2.377789,2.327174,2.386193,22
11/2020,2.355767,2.299332,2.375119,21
10/2020,2.313478,2.286688,2.339477,22
9/2020,2.283129,2.245331,2.303411,22
8/2020,2.247191,2.229229,2.275162,21
7/2020,2.221257,2.203175,2.232334,23
6/2020,2.197343,2.181806,2.205451,22
5/2020,2.188536,2.174956,2.204684,20
4/2020,2.199448,2.180157,2.206706,20
3/2020,2.207868,2.165204,2.249153,22
2/2020,2.224276,2.204217,2.234294,20
1/2020,2.244734,2.191262,2.270123,22
12/2019,2.211595,2.174988,2.236601,20
11/2019,2.215370,2.184062,2.232000,21
10/2019,2.184625,2.155418,2.202333,23
9/2019,2.181939,2.110422,2.203172,21
8/2019,2.199920,2.115540,2.255879,22
7/2019,2.257815,2.190493,2.275529,23
6/2019,2.254129,2.232006,2.271554,20
5/2019,2.261267,2.186175,2.311956,22
4/2019,2.309983,2.292653,2.327653,20
3/2019,2.305484,2.288258,2.323052,21
2/2019,2.304530,2.239121,2.330393,20
1/2019,2.285176,2.240510,2.322661,22
12/2018,2.244592,2.232311,2.256867,19
11/2018,2.228180,2.218813,2.251814,22
10/2018,2.229661,2.215363,2.248074,23
9/2018,2.250828,2.234345,2.265876,20
8/2018,2.251708,2.234579,2.273104,23
7/2018,2.296968,2.252837,2.339215,22
6/2018,2.393927,2.324708,2.435740,21
5/2018,2.324564,2.010108,2.481299,22
4/2018,2.031561,2.019107,2.039317,20
3/2018,2.024923,2.015640,2.038663,21
2/2018,2.024568,2.012330,2.039971,20
1/2018,1.991759,1.961467,2.035354,22
12/2017,1.940533,1.933543,1.966972,19
11/2017,1.933081,1.926978,1.947258,22
10/2017,1.931881,1.923522,1.945671,22
9/2017,1.948826,1.922056,1.980956,21
8/2017,1.918652,1.903131,1.941532,23
7/2017,1.889819,1.881080,1.902576,21
6/2017,1.897224,1.870809,2.263793,22
5/2017,1.859105,1.853252,1.878753,22
4/2017,1.857450,1.854214,1.859659,18
3/2017,1.855881,1.851108,1.860995,23
2/2017,1.862470,1.859172,1.867032,20
1/2017,1.856321,1.838943,1.871621,22
12/2016,1.849001,1.839257,1.860504,21
11/2016,1.870731,1.849752,1.894342,22
10/2016,1.902064,1.887859,1.919013,21
9/2016,1.918172,1.915963,1.921318,22
8/2016,1.925353,1.916363,1.933558,23
7/2016,1.916884,1.909574,1.924641,21
6/2016,1.941649,1.925568,1.951515,22
5/2016,1.960060,1.944775,1.976812,22
4/2016,1.975755,1.969781,1.981052,21
3/2016,1.967206,1.953694,1.982316,21
2/2016,1.954268,1.945289,1.970967,21
1/2016,1.947038,1.940931,1.962908,20
12/2015,1.983612,1.972258,2.000944,22
11/2015,2.009091,2.000490,2.020171,21
10/2015,2.015666,2.012464,2.024200,22
9/2015,2.009889,2.005480,2.013888,22
8/2015,2.019507,1.995999,2.061304,21
7/2015,2.061638,2.060357,2.063976,23
6/2015,2.062607,2.061019,2.065911,22
5/2015,2.063399,2.060371,2.065851,20
4/2015,2.063557,2.057934,2.066489,20
3/2015,2.051479,2.039650,2.066308,22
2/2015,2.047290,2.041172,2.051468,20
1/2015,2.058234,2.046573,2.066811,21
12/2014,2.067876,2.056007,2.083599,21
11/2014,2.089295,2.083946,2.093773,20
10/2014,2.089417,2.084619,2.094417,23
9/2014,2.084879,2.080453,2.089595,22
8/2014,2.079508,2.071375,2.084736,21
7/2014,2.064606,2.060527,2.073906,23
6/2014,2.054158,2.046662,2.063483,21
5/2014,2.052008,2.044826,2.055719,21
4/2014,2.056238,2.044375,2.065624,20
3/2014,2.073477,2.055036,2.091289,21
2/2014,2.104887,2.082967,2.112462,20
1/2014,2.115022,2.111093,2.118222,22
12/2013,2.107029,2.100666,2.114297,20
11/2013,2.100550,2.097739,2.101564,21
10/2013,2.097003,2.090299,2.104011,23
9/2013,2.091494,2.089850,2.092193,21
8/2013,2.090924,2.087954,2.093887,22
7/2013,2.086715,2.084250,2.089533,23
6/2013,2.086583,2.081685,2.089825,20
5/2013,2.084574,2.075689,2.091125,22
4/2013,2.069569,2.061784,2.076233,21
3/2013,2.058766,2.055960,2.060527,20
2/2013,2.053210,2.049449,2.056427,20
1/2013,2.056717,2.052625,2.059292,22
12/2012,2.052691,2.045054,2.056016,19
11/2012,2.052479,2.043759,2.057123,22
10/2012,2.040449,2.019403,2.052176,23
9/2012,2.024671,2.016008,2.036697,20
8/2012,2.012564,2.008152,2.016197,23
7/2012,2.009109,2.003468,2.016481,22
6/2012,2.012358,2.007780,2.023055,21
5/2012,2.025732,2.009880,2.039841,22
4/2012,2.031679,2.026835,2.038411,19
3/2012,2.027833,2.021224,2.033103,22
2/2012,2.031677,2.027689,2.034529,21
