Month,Average CNY/MXN=,Min CNY/MXN=,Max CNY/MXN=,Nb of working days
6/2023,2.422712,2.383205,2.480675,17
5/2023,2.540984,2.480129,2.608379,23
4/2023,2.626835,2.595905,2.661157,20
3/2023,2.672514,2.574128,2.766295,23
2/2023,2.724427,2.640131,2.813960,20
1/2023,2.795838,2.762464,2.826644,22
12/2022,2.810925,2.723883,2.844983,21
11/2022,2.711365,2.666276,2.756769,22
10/2022,2.779908,2.723432,2.824383,21
9/2022,2.858976,2.809710,2.926149,22
8/2022,2.960092,2.889908,3.062444,23
7/2022,3.048927,3.009170,3.099544,21
6/2022,2.986708,2.929680,3.067473,22
5/2022,2.991519,2.913417,3.087911,22
4/2022,3.120574,3.084359,3.165044,19
3/2022,3.239616,3.135270,3.384434,23
2/2022,3.221514,3.196347,3.248608,20
1/2022,3.224357,3.195461,3.272140,21
12/2021,3.280338,3.216785,3.346792,23
11/2021,3.265709,3.180676,3.426294,22
10/2021,3.185341,3.157088,3.223639,21
9/2021,3.100805,3.076690,3.172325,22
8/2021,3.098775,3.066162,3.145692,22
7/2021,3.084847,3.064733,3.119907,22
6/2021,3.114961,3.069342,3.184409,22
5/2021,3.107017,3.072712,3.141110,21
4/2021,3.074993,3.049679,3.101659,20
3/2021,3.194291,3.120923,3.302417,23
2/2021,3.142589,3.085318,3.226115,20
1/2021,3.079979,3.025951,3.159908,20
12/2020,3.051613,3.021297,3.114835,22
11/2020,3.090856,3.044053,3.172405,21
10/2020,3.163334,3.108224,3.221126,22
9/2020,3.179049,3.086168,3.284596,22
8/2020,3.203531,3.166258,3.254756,21
7/2020,3.198781,3.123180,3.254547,23
6/2020,3.145948,3.046495,3.275351,22
5/2020,3.300636,3.092277,3.479288,20
4/2020,3.429921,3.341067,3.540245,20
3/2020,3.184323,2.780079,3.518034,22
2/2020,2.691285,2.656808,2.822389,20
1/2020,2.716745,2.698766,2.736046,22
12/2019,2.727046,2.697154,2.778357,20
11/2019,2.751052,2.717182,2.787370,21
10/2019,2.724007,2.695608,2.770500,23
9/2019,2.749814,2.725546,2.803883,21
8/2019,2.786001,2.755640,2.807916,22
7/2019,2.768776,2.745473,2.794756,23
6/2019,2.794959,2.760703,2.862413,20
5/2019,2.787969,2.749656,2.841482,22
4/2019,2.826486,2.796455,2.870137,20
3/2019,2.865074,2.812174,2.910498,21
2/2019,2.847215,2.811985,2.870867,20
1/2019,2.825427,2.797246,2.864978,22
12/2018,2.919707,2.856103,2.986273,19
11/2018,2.916654,2.849520,2.944859,22
10/2018,2.767487,2.704867,2.901489,23
9/2018,2.776273,2.733810,2.863714,20
8/2018,2.754220,2.698122,2.807140,23
7/2018,2.834706,2.716705,3.007244,22
6/2018,3.141001,2.965103,3.235191,21
5/2018,3.068059,2.979307,3.132216,22
4/2018,2.917002,2.860354,3.013628,20
3/2018,2.948532,2.907639,2.983078,21
2/2018,2.949493,2.916474,2.994603,20
1/2018,2.945327,2.903642,3.006638,22
12/2017,2.899718,2.814343,3.031777,19
11/2017,2.858873,2.804284,2.901833,22
10/2017,2.837824,2.736205,2.894322,22
9/2017,2.714578,2.688113,2.738265,21
8/2017,2.670733,2.646092,2.709670,23
7/2017,2.633255,2.585865,2.701987,21
6/2017,2.665320,2.618361,2.738601,22
5/2017,2.727872,2.678906,2.776107,22
4/2017,2.724110,2.696698,2.753985,18
3/2017,2.800394,2.718218,2.912849,23
2/2017,2.953303,2.867029,3.008011,20
1/2017,3.095675,2.973438,3.200953,22
12/2016,2.962166,2.925972,3.016751,21
11/2016,2.935021,2.734820,3.060217,22
10/2016,2.808322,2.728154,2.900918,21
9/2016,2.874111,2.752575,2.977152,22
8/2016,2.779091,2.712045,2.853100,23
7/2016,2.779840,2.723132,2.845267,21
6/2016,2.829352,2.767674,2.880119,22
5/2016,2.775048,2.644871,2.820303,22
4/2016,2.700784,2.644875,2.747152,21
3/2016,2.713409,2.661737,2.750000,21
2/2016,2.818644,2.756117,2.925925,21
1/2016,2.745737,2.651454,2.822153,20
12/2015,2.642318,2.581996,2.695851,22
11/2015,2.611870,2.586151,2.650513,21
10/2015,2.610121,2.583724,2.652219,22
9/2015,2.642336,2.586303,2.704919,22
8/2015,2.609722,2.539447,2.673624,21
7/2015,2.567805,2.521263,2.638055,23
6/2015,2.492897,2.447913,2.527636,22
5/2015,2.463444,2.422666,2.502896,20
4/2015,2.457164,2.395209,2.490525,20
3/2015,2.439694,2.381855,2.492158,22
2/2015,2.386044,2.354850,2.415841,20
1/2015,2.362964,2.335503,2.401732,21
12/2014,2.340975,2.260457,2.402614,21
11/2014,2.222853,2.206012,2.252540,20
10/2014,2.198919,2.172776,2.225538,23
9/2014,2.155510,2.126841,2.200008,22
8/2014,2.135649,2.120502,2.158210,21
7/2014,2.094809,2.084241,2.134506,23
6/2014,2.084101,2.056995,2.100585,21
5/2014,2.073529,2.056254,2.092331,21
4/2014,2.099087,2.090596,2.111285,20
3/2014,2.138178,2.100742,2.163769,21
2/2014,2.185973,2.157006,2.209790,20
1/2014,2.184881,2.152428,2.228994,22
12/2013,2.141564,2.113213,2.173628,20
11/2013,2.144737,2.117821,2.168824,21
10/2013,2.131728,2.097266,2.155292,23
9/2013,2.136044,2.061324,2.193399,21
8/2013,2.110950,2.058959,2.180610,22
7/2013,2.080303,2.031004,2.140342,23
6/2013,2.110145,2.064923,2.178972,20
5/2013,2.004528,1.955344,2.101643,22
4/2013,1.972346,1.948057,1.994041,21
3/2013,2.013836,1.982603,2.064592,20
2/2013,2.039788,2.027757,2.062344,20
1/2013,2.040704,2.025628,2.054765,22
12/2012,2.061694,2.035822,2.090394,19
11/2012,2.096260,2.072312,2.127389,22
10/2012,2.054491,2.016929,2.093817,23
9/2012,2.047762,2.021101,2.085988,20
8/2012,2.074432,2.052053,2.105463,23
7/2012,2.098205,2.059208,2.137437,22
6/2012,2.190635,2.109147,2.269424,21
5/2012,2.156930,2.060933,2.223905,22
4/2012,2.073093,2.024242,2.096401,19
3/2012,2.019021,1.989253,2.055495,22
2/2012,2.030372,2.012008,2.055234,21
1/2012,2.125743,2.048026,2.210379,22
12/2011,2.168542,2.123580,2.213444,21
11/2011,2.155183,2.096774,2.239921,22
10/2011,2.111595,2.063670,2.204322,21
9/2011,2.039683,1.933214,2.201485,22
8/2011,1.910114,1.810644,1.962680,23
7/2011,1.807371,1.786547,1.829424,21
6/2011,1.824165,1.786803,1.853077,22
5/2011,1.793881,1.776175,1.806497,22
4/2011,1.795011,1.774757,1.814816,19
3/2011,1.829033,1.815774,1.844667,23
2/2011,1.833507,1.817742,1.855187,20
1/2011,1.836907,1.818178,1.868075,21
12/2010,1.864022,1.851182,1.881263,23
11/2010,1.852855,1.832241,1.883150,22
10/2010,1.865308,1.844701,1.883747,21
9/2010,1.899887,1.861801,1.928361,22
8/2010,1.880654,1.845129,1.944206,22
7/2010,1.891035,1.861305,1.937297,22
6/2010,1.866270,1.834285,1.901844,22
5/2010,1.863875,1.800392,1.943793,21
4/2010,1.791795,1.778484,1.807705,20
3/2010,1.841714,1.810458,1.868141,23
2/2010,1.895401,1.868110,1.929678,20
1/2010,1.876419,1.850667,1.907922,20
12/2009,1.882243,1.841002,1.923976,22
11/2009,1.919830,1.883486,1.961326,21
10/2009,1.936560,1.880166,2.016829,22
9/2009,1.963826,1.933447,1.996778,22
8/2009,1.903548,1.873800,1.951521,21
7/2009,1.954939,1.921281,2.006305,23
6/2009,1.950429,1.916424,1.995014,22
5/2009,1.932073,1.892428,2.018754,20
4/2009,1.971486,1.906669,2.061404,20
3/2009,2.147323,2.020424,2.251152,22
2/2009,2.134295,2.066214,2.213362,20
1/2009,2.031142,1.952523,2.102218,21
12/2008,1.960972,1.916517,2.025496,21
11/2008,1.917744,1.842363,2.049439,20
10/2008,1.850029,1.596698,2.077432,23
9/2008,1.555199,1.509394,1.604079,22
8/2008,1.474509,1.444162,1.500288,21
7/2008,1.494419,1.466231,1.517661,23
6/2008,1.497085,1.484204,1.506691,21
5/2008,1.497342,1.486144,1.511848,21
4/2008,1.502630,1.492224,1.517154,22
3/2008,1.517791,1.503180,1.529200,19
2/2008,1.502276,1.493508,1.511152,21
1/2008,1.506566,1.490506,1.516740,22
12/2007,1.471737,1.459734,1.494985,19
11/2007,1.466199,1.431667,1.490107,22
10/2007,1.443129,1.430935,1.458234,23
9/2007,1.465462,1.450516,1.480910,20
8/2007,1.458206,1.442173,1.477940,23
7/2007,1.426882,1.414449,1.454083,22
6/2007,1.419661,1.400593,1.436704,21
5/2007,1.409437,1.403376,1.418437,22
4/2007,1.422061,1.415188,1.428580,19
3/2007,1.436097,1.422458,1.446829,22
2/2007,1.417811,1.405614,1.446642,20
1/2007,1.405596,1.378232,1.424191,22
12/2006,1.387249,1.373636,1.404344,19
11/2006,1.388537,1.363913,1.413461,22
10/2006,1.378767,1.360500,1.402893,22
9/2006,1.383203,1.364247,1.400116,21
8/2006,1.363251,1.344557,1.383203,23
7/2006,1.374498,1.360157,1.395795,21
6/2006,1.422862,1.403006,1.436684,22
5/2006,1.383093,1.351677,1.413151,22
4/2006,1.375489,1.350425,1.392845,18
3/2006,1.337102,1.301490,1.372738,23
2/2006,1.301855,1.295374,1.309725,20
1/2006,1.309039,1.295138,1.331218,22
12/2005,1.315890,1.289557,1.335184,21
11/2005,1.319387,1.306399,1.331819,22
10/2005,1.339336,1.319833,1.352477,21
9/2005,1.331663,1.316689,1.345993,22
8/2005,1.319031,1.305846,1.342402,23
7/2005,1.300913,1.284151,1.327208,21
6/2005,1.308787,1.300231,1.318010,22
5/2005,1.326903,1.316456,1.336559,22
4/2005,1.344608,1.332405,1.358619,21
3/2005,1.348053,1.332042,1.363199,21
2/2005,1.346544,1.336413,1.356379,20
1/2005,1.361434,1.352365,1.373758,21
12/2004,1.354393,1.343009,1.373589,23
11/2004,1.374536,1.359110,1.396132,22
10/2004,1.378679,1.360474,1.394933,21
9/2004,1.388998,1.376313,1.402020,22
8/2004,1.376985,1.371173,1.386254,22
7/2004,1.382086,1.376371,1.389412,22
6/2004,1.377311,1.364705,1.398699,22
5/2004,1.391675,1.375742,1.414166,21
4/2004,1.362572,1.346791,1.380573,20
3/2004,1.329968,1.317717,1.352005,23
2/2004,1.334686,1.318295,1.360389,20
1/2004,1.321049,1.303691,1.353904,21
12/2003,1.360817,1.349953,1.378012,21
