Month,Average CNY/NZD=,Min CNY/NZD=,Max CNY/NZD=,Nb of working days
7/2023,0.223931,0.223229,0.224727,3
6/2023,0.227796,0.224003,0.233679,22
5/2023,0.230389,0.226537,0.235118,23
4/2023,0.233677,0.230506,0.236885,20
3/2023,0.233613,0.231980,0.235177,23
2/2023,0.232318,0.228146,0.234302,20
1/2023,0.230301,0.227342,0.234423,22
12/2022,0.225569,0.222348,0.228613,21
11/2022,0.230036,0.222966,0.237603,22
10/2022,0.244789,0.236239,0.250476,21
9/2022,0.240132,0.234534,0.247621,22
8/2022,0.234568,0.230307,0.236733,23
7/2022,0.239823,0.236231,0.243086,21
6/2022,0.235270,0.229609,0.239932,22
5/2022,0.233184,0.228676,0.236126,22
4/2022,0.229559,0.224367,0.233796,19
3/2022,0.229558,0.225506,0.233942,23
2/2022,0.236007,0.232723,0.238200,20
1/2022,0.233450,0.228711,0.240357,21
12/2021,0.231256,0.229060,0.233410,23
11/2021,0.223016,0.217301,0.229905,22
10/2021,0.220825,0.217692,0.224818,21
9/2021,0.219410,0.216836,0.225233,22
8/2021,0.221316,0.218915,0.225539,22
7/2021,0.221236,0.218212,0.223432,22
6/2021,0.218955,0.215740,0.222778,22
5/2021,0.215306,0.213633,0.217135,21
4/2021,0.215101,0.212877,0.217708,20
3/2021,0.215411,0.212808,0.219919,23
2/2021,0.213764,0.207977,0.216367,20
1/2021,0.214973,0.212371,0.217421,20
12/2020,0.215588,0.211705,0.217658,22
11/2020,0.220562,0.216084,0.225302,21
10/2020,0.223879,0.220934,0.228161,22
9/2020,0.220112,0.216620,0.224414,22
8/2020,0.218794,0.216129,0.221480,21
7/2020,0.216642,0.213798,0.219353,23
6/2020,0.219147,0.216138,0.224690,22
5/2020,0.230929,0.224816,0.236389,20
4/2020,0.235619,0.230940,0.240899,20
3/2020,0.235348,0.226394,0.247941,22
2/2020,0.223639,0.220208,0.229684,20
1/2020,0.218813,0.214482,0.222829,22
12/2019,0.216275,0.212830,0.219246,20
11/2019,0.222585,0.220882,0.225974,21
10/2019,0.222517,0.220293,0.225540,23
9/2019,0.221457,0.217898,0.224775,21
8/2019,0.220197,0.217432,0.221651,22
7/2019,0.217623,0.214376,0.220091,23
6/2019,0.219650,0.216921,0.221936,20
5/2019,0.222292,0.220784,0.224376,22
4/2019,0.221485,0.218247,0.224979,20
3/2019,0.218018,0.215582,0.219923,21
2/2019,0.217100,0.214426,0.219648,20
1/2019,0.217413,0.215647,0.218985,22
12/2018,0.212697,0.209750,0.217184,19
11/2018,0.212710,0.209618,0.217934,22
10/2018,0.221263,0.218634,0.225020,23
9/2018,0.221135,0.218582,0.223563,20
8/2018,0.218931,0.216137,0.221300,23
7/2018,0.219383,0.214685,0.223172,22
6/2018,0.222771,0.221475,0.224848,21
5/2018,0.225736,0.222559,0.227805,22
4/2018,0.219048,0.215617,0.223901,20
3/2018,0.218012,0.215192,0.220710,21
2/2018,0.216391,0.213121,0.219126,20
1/2018,0.214290,0.211855,0.216738,22
12/2017,0.217769,0.215362,0.221143,19
11/2017,0.219266,0.216535,0.222038,22
10/2017,0.214348,0.209066,0.220338,22
9/2017,0.209911,0.206174,0.213854,21
8/2017,0.205329,0.199229,0.212288,23
7/2017,0.200851,0.197346,0.203652,21
6/2017,0.203302,0.200786,0.207752,22
5/2017,0.208936,0.205856,0.211761,22
4/2017,0.208261,0.206545,0.211026,18
3/2017,0.207011,0.204120,0.209527,23
2/2017,0.201443,0.198489,0.203419,20
1/2017,0.203911,0.198851,0.208640,22
12/2016,0.205300,0.200561,0.209427,21
11/2016,0.204420,0.201017,0.206829,22
10/2016,0.207664,0.205258,0.211012,21
9/2016,0.204872,0.201052,0.206551,22
8/2016,0.207835,0.204705,0.210541,23
7/2016,0.209911,0.204571,0.214802,21
6/2016,0.215548,0.210356,0.223713,22
5/2016,0.225122,0.219947,0.227762,22
4/2016,0.224039,0.219798,0.228005,21
3/2016,0.228219,0.222937,0.232876,21
2/2016,0.230300,0.226217,0.234900,21
1/2016,0.233264,0.226744,0.238742,20
12/2015,0.229880,0.224428,0.235404,22
11/2015,0.239281,0.233945,0.242528,21
10/2015,0.235401,0.229847,0.245387,22
9/2015,0.247880,0.243595,0.250881,22
8/2015,0.240790,0.235013,0.246549,21
7/2015,0.242322,0.238458,0.247037,23
6/2015,0.230588,0.224103,0.238561,22
5/2015,0.218535,0.212680,0.226564,20
4/2015,0.212638,0.209218,0.217095,20
3/2015,0.214567,0.209865,0.220515,22
2/2015,0.214706,0.210628,0.221158,20
1/2015,0.210568,0.205257,0.220388,21
12/2014,0.207968,0.205933,0.211945,21
11/2014,0.208461,0.205039,0.212136,20
10/2014,0.207255,0.204294,0.209577,23
9/2014,0.200035,0.194103,0.209793,22
8/2014,0.192564,0.190152,0.194795,21
7/2014,0.185603,0.182768,0.190763,23
6/2014,0.186171,0.183373,0.190174,21
5/2014,0.186299,0.183222,0.188850,21
4/2014,0.186648,0.185045,0.188795,20
3/2014,0.189850,0.185589,0.194422,21
2/2014,0.198253,0.193209,0.203465,20
1/2014,0.199714,0.196677,0.203630,22
12/2013,0.200114,0.197932,0.201855,20
11/2013,0.198576,0.195261,0.201287,21
10/2013,0.196462,0.193040,0.198760,23
9/2013,0.200883,0.194687,0.209127,21
8/2013,0.206556,0.201373,0.210868,22
7/2013,0.206798,0.202072,0.210739,23
6/2013,0.206197,0.201930,0.211018,20
5/2013,0.197907,0.190285,0.203850,22
4/2013,0.190513,0.186251,0.192757,21
