Month,Average CNY/SGD=,Min CNY/SGD=,Max CNY/SGD=,Nb of working days
6/2023,0.188330,0.186912,0.190285,17
5/2023,0.191716,0.190541,0.193242,23
4/2023,0.193342,0.192613,0.193883,20
3/2023,0.194490,0.193068,0.196695,23
2/2023,0.194719,0.193997,0.195557,20
1/2023,0.195203,0.193415,0.196823,22
12/2022,0.193785,0.191915,0.194673,21
11/2022,0.193310,0.190837,0.195940,22
10/2022,0.198128,0.193949,0.201710,21
9/2022,0.201397,0.200090,0.202996,22
8/2022,0.203466,0.202045,0.204402,23
7/2022,0.207350,0.205035,0.209477,21
6/2022,0.206747,0.205347,0.208017,22
5/2022,0.206436,0.204224,0.209711,22
4/2022,0.212281,0.209458,0.214307,19
3/2022,0.214144,0.213107,0.215915,23
2/2022,0.212275,0.210957,0.215098,20
1/2022,0.212530,0.211581,0.213232,21
12/2021,0.213959,0.212239,0.215000,23
11/2021,0.212382,0.210631,0.214452,22
10/2021,0.210373,0.209434,0.211163,21
9/2021,0.208725,0.207881,0.210563,22
8/2021,0.209183,0.207899,0.210037,22
7/2021,0.209298,0.207982,0.211336,22
6/2021,0.207545,0.206831,0.208538,22
5/2021,0.206796,0.205705,0.207977,21
4/2021,0.204672,0.204418,0.205352,20
3/2021,0.206219,0.204980,0.207090,23
2/2021,0.205546,0.204314,0.207001,20
1/2021,0.205002,0.203789,0.206555,20
12/2020,0.203747,0.202156,0.204879,22
11/2020,0.204016,0.203249,0.204925,21
10/2020,0.202071,0.199768,0.204099,22
9/2020,0.200471,0.199097,0.201659,22
8/2020,0.197619,0.197026,0.198688,21
7/2020,0.197969,0.196510,0.199091,23
6/2020,0.196729,0.196077,0.197528,22
5/2020,0.199545,0.197745,0.200589,20
4/2020,0.201332,0.199883,0.202534,20
3/2020,0.201772,0.199008,0.206127,22
2/2020,0.198649,0.194874,0.199799,20
1/2020,0.195276,0.193519,0.196859,22
12/2019,0.193415,0.192883,0.194332,20
11/2019,0.193983,0.192874,0.194591,21
10/2019,0.193128,0.192382,0.193933,23
9/2019,0.193855,0.193411,0.194441,21
8/2019,0.196095,0.193803,0.199246,22
7/2019,0.197901,0.197115,0.199099,23
6/2019,0.197471,0.196702,0.198413,20
5/2019,0.199918,0.198907,0.202452,22
4/2019,0.201870,0.201404,0.202393,20
3/2019,0.201752,0.201092,0.202428,21
2/2019,0.200889,0.200102,0.201727,20
1/2019,0.199818,0.198046,0.201141,22
12/2018,0.198927,0.197978,0.199939,19
11/2018,0.198136,0.197349,0.199283,22
10/2018,0.199336,0.198597,0.201055,23
9/2018,0.200004,0.198336,0.201762,20
8/2018,0.199855,0.199189,0.200404,23
7/2018,0.202955,0.199257,0.205823,22
6/2018,0.208417,0.205987,0.209791,21
5/2018,0.210109,0.208750,0.211154,22
4/2018,0.208873,0.207991,0.210246,20
3/2018,0.208026,0.207296,0.208953,21
2/2018,0.208728,0.206583,0.210969,20
1/2018,0.205645,0.204534,0.207914,22
12/2017,0.204142,0.203596,0.205320,19
11/2017,0.204720,0.203574,0.205922,22
10/2017,0.205309,0.204804,0.206175,22
9/2017,0.205531,0.203959,0.207776,21
8/2017,0.204031,0.201826,0.206177,23
7/2017,0.202534,0.201396,0.203694,21
6/2017,0.203259,0.202793,0.203651,22
5/2017,0.202601,0.201157,0.204324,22
4/2017,0.202943,0.202300,0.203774,18
3/2017,0.203733,0.202270,0.205535,23
2/2017,0.205826,0.203779,0.207002,20
1/2017,0.207339,0.205502,0.208846,22
12/2016,0.207408,0.206105,0.208706,21
11/2016,0.206172,0.204846,0.207349,22
10/2016,0.205619,0.204450,0.206257,21
9/2016,0.203700,0.201993,0.204649,22
8/2016,0.202661,0.201768,0.204290,23
7/2016,0.202257,0.200839,0.203719,21
6/2016,0.205410,0.202793,0.209189,22
5/2016,0.209766,0.207074,0.210997,22
4/2016,0.208384,0.207065,0.210306,21
3/2016,0.211141,0.208178,0.214074,21
2/2016,0.214666,0.211470,0.217351,21
1/2016,0.217958,0.216544,0.218915,20
12/2015,0.218284,0.216810,0.220431,22
11/2015,0.221950,0.220201,0.223862,21
10/2015,0.220500,0.217021,0.225470,22
9/2015,0.222204,0.218593,0.224476,22
8/2015,0.220540,0.217982,0.223207,21
7/2015,0.219309,0.217056,0.221462,23
6/2015,0.216875,0.214534,0.218901,22
5/2015,0.215182,0.212577,0.218168,20
4/2015,0.217473,0.212857,0.221061,20
3/2015,0.220571,0.217199,0.223904,22
2/2015,0.216767,0.214958,0.217868,20
1/2015,0.215110,0.213477,0.216564,21
12/2014,0.212414,0.210141,0.214227,21
11/2014,0.211661,0.210521,0.213101,20
10/2014,0.208083,0.206787,0.210439,23
9/2014,0.205739,0.203324,0.207903,22
8/2014,0.202799,0.201739,0.203453,21
7/2014,0.200440,0.199748,0.201898,23
6/2014,0.200806,0.200301,0.201409,21
5/2014,0.200668,0.200162,0.201078,21
4/2014,0.201731,0.200736,0.203574,20
3/2014,0.205236,0.202510,0.207027,21
2/2014,0.208311,0.206015,0.211998,20
1/2014,0.210362,0.208844,0.211508,22
12/2013,0.207139,0.205676,0.209215,20
11/2013,0.204731,0.203510,0.206101,21
10/2013,0.203730,0.202970,0.204548,23
9/2013,0.206406,0.203373,0.208922,21
8/2013,0.207924,0.205558,0.209857,22
7/2013,0.206835,0.205234,0.208962,23
6/2013,0.205345,0.202636,0.208245,20
5/2013,0.203485,0.199738,0.206641,22
4/2013,0.200096,0.199362,0.200953,21
3/2013,0.200553,0.199239,0.201368,20
