Month,Average CNY/THB=,Min CNY/THB=,Max CNY/THB=,Nb of working days
7/2023,4.836336,4.819792,4.853114,3
6/2023,4.874500,4.830951,4.918878,22
5/2023,4.895158,4.853265,4.944914,23
4/2023,4.967952,4.920215,5.004839,20
3/2023,5.001259,4.951654,5.052966,23
2/2023,4.981379,4.876959,5.088715,20
1/2023,4.898196,4.828737,5.008955,22
12/2022,4.984855,4.938282,5.022592,21
11/2022,5.069490,4.940974,5.205800,22
10/2022,5.275102,5.215253,5.351247,21
9/2022,5.275732,5.230675,5.337243,22
8/2022,5.270649,5.216599,5.370187,23
7/2022,5.402678,5.322170,5.457145,21
6/2022,5.220940,5.140810,5.300945,22
5/2022,5.138173,5.080112,5.216101,22
4/2022,5.252442,5.188001,5.284315,19
3/2022,5.241687,5.152152,5.300020,23
2/2022,5.143967,5.070358,5.218569,20
1/2022,5.228823,5.187806,5.283653,21
12/2021,5.268692,5.219980,5.317856,23
11/2021,5.179632,5.113299,5.287934,22
10/2021,5.209749,5.158336,5.257032,21
9/2021,5.120779,4.999149,5.242027,22
8/2021,5.109880,4.986464,5.163884,22
7/2021,5.041561,4.956664,5.088368,22
6/2021,4.893862,4.858938,4.968626,22
5/2021,4.863889,4.796125,4.908682,21
4/2021,4.811030,4.758080,4.847599,20
3/2021,4.728954,4.673079,4.772431,23
2/2021,4.646600,4.623572,4.694648,20
1/2021,4.639597,4.620804,4.663129,20
12/2020,4.599112,4.561176,4.623503,22
11/2020,4.611646,4.565844,4.662905,21
10/2020,4.644583,4.593002,4.694025,22
9/2020,4.605650,4.557188,4.651154,22
8/2020,4.503968,4.455859,4.560583,21
7/2020,4.481762,4.385163,4.547455,23
6/2020,4.399227,4.360929,4.443359,22
5/2020,4.511460,4.455104,4.587137,20
4/2020,4.611800,4.565363,4.655186,20
3/2020,4.570495,4.511581,4.641863,22
2/2020,4.477398,4.421802,4.541393,20
1/2020,4.401322,4.323438,4.497150,22
12/2019,4.304192,4.272745,4.329782,20
11/2019,4.308614,4.286461,4.351438,21
10/2019,4.277839,4.256181,4.299251,23
