Month,Average CNY/TRY=,Min CNY/TRY=,Max CNY/TRY=,Nb of working days
7/2023,3.602916,3.597466,3.609313,3
6/2023,3.315969,2.925354,3.611122,22
5/2023,2.829001,2.811408,2.914943,23
4/2023,2.808473,2.789261,2.827550,20
3/2023,2.756970,2.720887,2.790578,23
2/2023,2.757634,2.716400,2.798749,20
1/2023,2.764810,2.711472,2.793879,22
12/2022,2.675547,2.633381,2.713286,21
11/2022,2.594784,2.544621,2.641346,22
10/2022,2.584164,2.546176,2.611920,21
9/2022,2.610698,2.562335,2.639190,22
8/2022,2.652281,2.630279,2.665725,23
7/2022,2.595683,2.499041,2.655877,21
6/2022,2.539182,2.461696,2.594512,22
5/2022,2.334738,2.238253,2.462354,22
4/2022,2.288817,2.239259,2.318411,19
3/2022,2.306070,2.206991,2.365585,23
2/2022,2.152932,2.103232,2.273693,20
1/2022,2.134569,2.089076,2.181599,21
12/2021,2.172015,1.755926,2.788375,23
11/2021,1.679780,1.487668,2.062877,22
10/2021,1.433794,1.370642,1.513744,21
9/2021,1.324930,1.280237,1.375887,22
8/2021,1.308945,1.285686,1.335162,22
7/2021,1.327294,1.301244,1.344408,22
6/2021,1.341551,1.308112,1.358404,22
5/2021,1.303990,1.281228,1.348428,21
4/2021,1.254725,1.237151,1.284921,20
3/2021,1.178735,1.115497,1.267595,23
2/2021,1.097887,1.074234,1.150322,20
1/2021,1.143913,1.133452,1.158751,20
12/2020,1.178671,1.126227,1.205225,22
11/2020,1.209421,1.146881,1.293381,21
10/2020,1.182873,1.135342,1.253103,22
9/2020,1.109077,1.078995,1.148815,22
8/2020,1.051155,0.997967,1.074152,21
7/2020,0.981148,0.970007,0.999492,23
6/2020,0.963298,0.947568,0.970955,22
5/2020,0.974962,0.945636,1.017860,20
4/2020,0.970876,0.938982,0.991052,20
3/2020,0.903489,0.877016,0.929711,22
2/2020,0.867563,0.852474,0.891550,20
1/2020,0.856519,0.848333,0.862426,22
12/2019,0.833903,0.812746,0.854715,20
11/2019,0.817586,0.809474,0.823843,21
