Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,1660,0.308221,0,0,32.00939688,31082,5.195E+11,16713989,,,0,27.4,49.9,0,0,0,1512,1.75143E+12,-25.274398,133.775136,7447.679203,Australia,0.29661495,20.55687831,7.548503539,7.638526943
01/02/1989,3090,0.314071,0,0,32.00939688,31076.5,5.20046E+11,16734540,,,0,27.5,52.9,0,0,0,1504.666667,1.74512E+12,-25.274398,133.775136,7447.679203,Australia,0.298057153,20.65888002,7.384675444,7.46929672
01/03/1989,2570,0.328089,0,0,32.00939688,31071,5.20593E+11,16755091,,,0,25.3,105.7,0,0,0,1497.333333,1.73882E+12,-25.274398,133.775136,7447.679203,Australia,0.299499355,20.76088174,7.220847349,7.300066497
01/04/1989,1580,0.333576,0,0,32.00939688,31065.5,5.21139E+11,16775642,,,0,22.3,72.3,0,0,0,1490,1.73251E+12,-25.274398,133.775136,7447.679203,Australia,0.300941558,20.86288345,7.057019253,7.130836275
01/05/1989,1850,0.347097,0,0,32.00939688,31060,5.21686E+11,16796193,,,0,19,51.5,0,0,0,1482.666667,1.72621E+12,-25.274398,133.775136,7447.679203,Australia,0.302383761,20.96488516,6.893191158,6.961606052
01/06/1989,1920,0.354518,0,0,32.00939688,31054.5,5.22232E+11,16816744,,,0,14.3,40.8,0,0,0,1475.333333,1.7199E+12,-25.274398,133.775136,7447.679203,Australia,0.303825964,21.06688688,6.729363063,6.79237583
01/07/1989,1100,0.354053,0,0,32.00939688,31049,5.22779E+11,16837294,,,0,14,26.3,0,0,0,1468,1.71359E+12,-25.274398,133.775136,7447.679203,Australia,0.305268166,21.16888859,6.565534968,6.623145607
01/08/1989,1220,0.351046,0,0,32.00939688,31043.5,5.23325E+11,16857845,,,0,14.8,13.8,0,0,0,1460.666667,1.70729E+12,-25.274398,133.775136,7447.679203,Australia,0.306710369,21.27089031,6.401706873,6.453915385
01/09/1989,1100,0.347167,0,0,32.00939688,31038,5.23871E+11,16878396,,,0,19.5,8.1,0,0,0,1453.333333,1.70098E+12,-25.274398,133.775136,7447.679203,Australia,0.308152572,21.37289202,6.237878778,6.284685162
01/10/1989,1250,0.346009,0,0,32.00939688,31032.5,5.24418E+11,16898947,,,0,22.9,24.2,0,0,0,1446,1.69468E+12,-25.274398,133.775136,7447.679203,Australia,0.309594774,21.47489373,6.074050683,6.11545494
01/11/1989,2380,0.342432,0,0,32.00939688,31027,5.24964E+11,16919498,,,0,24.8,44.7,0,0,0,1438.666667,1.68837E+12,-25.274398,133.775136,7447.679203,Australia,0.311036977,21.57689545,5.910222587,5.946224717
01/12/1989,9330,0.306735,0,0,32.00939688,31021.5,5.25511E+11,16940049,,,0,27,45.1,0,0,0,1431.333333,1.68207E+12,-25.274398,133.775136,7447.679203,Australia,0.31247918,21.67889716,5.746394492,5.776994494
01/01/1990,4420,0.270163,0,0,31.13110861,31016,5.26057E+11,16960600,,,0,28.2,73,0,0,0,1424,1.67576E+12,-25.274398,133.775136,7447.679203,Australia,0.313921383,21.78089888,5.582566397,5.607764272
01/02/1990,2450,0.278529,0,0,31.13110861,30973.25,5.25912E+11,16979653,,,0,26.7,49.9,0,0,0,1433.25,1.68868E+12,-25.274398,133.775136,7447.679203,Australia,0.311627519,21.62179574,4.319058621,4.353039844
01/03/1990,1510,0.279653,0,0,31.13110861,30930.5,5.25767E+11,16998706,,,0,26.4,71.7,0,0,0,1442.5,1.70159E+12,-25.274398,133.775136,7447.679203,Australia,0.309333655,21.4626926,3.055550844,3.098315417
01/04/1990,3720,0.276484,0,0,31.13110861,30887.75,5.25622E+11,17017759,,,0,22.1,60.6,0,0,0,1451.75,1.71451E+12,-25.274398,133.775136,7447.679203,Australia,0.307039792,21.30358947,1.792043068,1.843590989
01/05/1990,3030,0.277385,0,0,31.13110861,30845,5.25477E+11,17036812,,,0,18.9,52.7,0,0,0,1461,1.72742E+12,-25.274398,133.775136,7447.679203,Australia,0.304745928,21.14448633,0.528535291,0.588866561
01/06/1990,1500,0.27146,0,0,31.13110861,30802.25,5.25332E+11,17055865,,,0,14.8,26.7,0,0,0,1470.25,1.74034E+12,-25.274398,133.775136,7447.679203,Australia,0.302452064,20.98538319,-0.734972486,-0.665857866
01/07/1990,1050,0.266657,0,0,31.13110861,30759.5,5.25187E+11,17074918,,,0,14.9,26.7,0,0,0,1479.5,1.75325E+12,-25.274398,133.775136,7447.679203,Australia,0.300158201,20.82628006,-1.998480262,-1.920582294
01/08/1990,1190,0.261384,0,0,31.13110861,30716.75,5.25042E+11,17093970,,,0,15.7,22.6,0,0,0,1488.75,1.76617E+12,-25.274398,133.775136,7447.679203,Australia,0.297864337,20.66717692,-3.261988039,-3.175306722
01/09/1990,1170,0.255964,0,0,31.13110861,30674,5.24897E+11,17113023,,,0,19.2,13.3,0,0,0,1498,1.77908E+12,-25.274398,133.775136,7447.679203,Australia,0.295570473,20.50807378,-4.525495815,-4.430031149
01/10/1990,1080,0.263482,0,0,31.13110861,30631.25,5.24752E+11,17132076,,,0,23,18.3,0,0,0,1507.25,1.792E+12,-25.274398,133.775136,7447.679203,Australia,0.29327661,20.34897065,-5.789003592,-5.684755577
01/11/1990,1300,0.261079,0,0,31.13110861,30588.5,5.24607E+11,17151129,,,0,26.6,15.3,0,0,0,1516.5,1.80491E+12,-25.274398,133.775136,7447.679203,Australia,0.290982746,20.18986751,-7.052511368,-6.939480005
