Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,0.239173,0,0,33.5886296,36109,2.7755E+11,7686564,,,0,-1,25.8,0,0,0,1512,1.75143E+12,47.516231,14.550072,7154.855428,Austria,0.158470868,23.88161376,8.167625382,9.509396562
01/02/1989,,0.241942,0,0,33.5886296,36224.5,2.78555E+11,7689680,,,0,1.4,57.6,0,0,0,1504.666667,1.74512E+12,47.516231,14.550072,7154.855428,Austria,0.159666696,24.08570915,8.208992503,9.521820521
01/03/1989,,0.243606,0,0,33.5886296,36340,2.7956E+11,7692796,,,0,5.3,47,0,0,0,1497.333333,1.73882E+12,47.516231,14.550072,7154.855428,Austria,0.160862524,24.28980454,8.250359623,9.534244479
01/04/1989,,0.244129,0,0,33.5886296,36455.5,2.80564E+11,7695912,,,0,6.8,126.6,0,0,0,1490,1.73251E+12,47.516231,14.550072,7154.855428,Austria,0.162058353,24.49389992,8.291726744,9.546668438
01/05/1989,,0.253504,0,0,33.5886296,36571,2.81569E+11,7699027,,,0,10.9,92.1,0,0,0,1482.666667,1.72621E+12,47.516231,14.550072,7154.855428,Austria,0.163254181,24.69799531,8.333093864,9.559092396
01/06/1989,,0.258558,0,0,33.5886296,36686.5,2.82574E+11,7702143,,,0,12.5,130.2,0,0,0,1475.333333,1.7199E+12,47.516231,14.550072,7154.855428,Austria,0.164450009,24.9020907,8.374460985,9.571516355
01/07/1989,,0.247257,0,0,33.5886296,36802,2.83578E+11,7705259,,,0,16.2,181.6,0,0,0,1468,1.71359E+12,47.516231,14.550072,7154.855428,Austria,0.165645837,25.10618609,8.415828106,9.583940313
01/08/1989,,0.250921,0,0,33.5886296,36917.5,2.84583E+11,7708375,,,0,15.7,130.3,0,0,0,1460.666667,1.70729E+12,47.516231,14.550072,7154.855428,Austria,0.166841666,25.31028148,8.457195226,9.596364271
01/09/1989,,0.254403,0,0,33.5886296,37033,2.85588E+11,7711491,,,0,12.3,111.7,0,0,0,1453.333333,1.70098E+12,47.516231,14.550072,7154.855428,Austria,0.168037494,25.51437687,8.498562347,9.60878823
01/10/1989,,0.244608,0,0,33.5886296,37148.5,2.86592E+11,7714606,,,0,8.1,46.1,0,0,0,1446,1.69468E+12,47.516231,14.550072,7154.855428,Austria,0.169233322,25.71847226,8.539929467,9.621212188
01/11/1989,,0.24001,0,0,33.5886296,37264,2.87597E+11,7717722,,,0,0.7,47.2,0,0,0,1438.666667,1.68837E+12,47.516231,14.550072,7154.855428,Austria,0.17042915,25.92256765,8.581296588,9.633636147
01/12/1989,,0.206245,0,0,33.5886296,37379.5,2.88602E+11,7720838,,,0,-0.5,38.8,0,0,0,1431.333333,1.68207E+12,47.516231,14.550072,7154.855428,Austria,0.171624978,26.12666304,8.622663708,9.646060105
01/01/1990,,0.175666,0,0,33.81073619,37495,2.89606E+11,7723954,,,0,-1.9,20.2,0,0,0,1424,1.67576E+12,47.516231,14.550072,7154.855428,Austria,0.172820807,26.33075843,8.664030829,9.658484064
01/02/1990,,0.173641,0,0,33.81073619,37570.41667,2.90345E+11,7728016,,,0,2.7,104.9,0,0,0,1433.25,1.68868E+12,47.516231,14.550072,7154.855428,Austria,0.172005024,26.22121911,7.42633136,8.40516967
01/03/1990,,0.176038,0,0,33.81073619,37645.83333,2.91083E+11,7732078,,,0,5.2,60.9,0,0,0,1442.5,1.70159E+12,47.516231,14.550072,7154.855428,Austria,0.171189242,26.1116798,6.18863189,7.151855275
01/04/1990,,0.173729,0,0,33.81073619,37721.25,2.91822E+11,7736140,,,0,5.3,105,0,0,0,1451.75,1.71451E+12,47.516231,14.550072,7154.855428,Austria,0.170373459,26.00214048,4.950932421,5.898540881
01/05/1990,,0.1712,0,0,33.81073619,37796.66667,2.92561E+11,7740202,,,0,12.1,67.1,0,0,0,1461,1.72742E+12,47.516231,14.550072,7154.855428,Austria,0.169557676,25.89260117,3.713232952,4.645226487
01/06/1990,,0.173005,0,0,33.81073619,37872.08333,2.93299E+11,7744264,,,0,13.8,149.5,0,0,0,1470.25,1.74034E+12,47.516231,14.550072,7154.855428,Austria,0.168741894,25.78306185,2.475533482,3.391912093
01/07/1990,,0.168185,0,0,33.81073619,37947.5,2.94038E+11,7748326,,,0,15.6,126.5,0,0,0,1479.5,1.75325E+12,47.516231,14.550072,7154.855428,Austria,0.167926111,25.67352254,1.237834013,2.138597699
01/08/1990,,0.161341,0,0,33.81073619,38022.91667,2.94776E+11,7752388,,,0,16.6,73.5,0,0,0,1488.75,1.76617E+12,47.516231,14.550072,7154.855428,Austria,0.167110329,25.56398322,0.000134543,0.885283305
01/09/1990,,0.1614,0,0,33.81073619,38098.33333,2.95515E+11,7756450,,,0,10.5,109,0,0,0,1498,1.77908E+12,47.516231,14.550072,7154.855428,Austria,0.166294546,25.45444391,-1.237564926,-0.36803109
01/10/1990,,0.156948,0,0,33.81073619,38173.75,2.96253E+11,7760512,,,0,8.6,103.3,0,0,0,1507.25,1.792E+12,47.516231,14.550072,7154.855428,Austria,0.165478763,25.34490459,-2.475264395,-1.621345484
01/11/1990,,0.146775,0,0,33.81073619,38249.16667,2.96992E+11,7764574,,,0,2.2,108.1,0,0,0,1516.5,1.80491E+12,47.516231,14.550072,7154.855428,Austria,0.164662981,25.23536528,-3.712963865,-2.874659878
01/12/1990,,0.140355,0,0,33.81073619,38324.58333,2.97731E+11,7768636,,,0,-2.8,55.5,0,0,0,1525.75,1.81783E+12,47.516231,14.550072,7154.855428,Austria,0.163847198,25.12582596,-4.950663334,-4.127974272
01/01/1991,,0.141176,0,0,33.74561986,38400,2.98469E+11,7772698,,,0,-1.9,27.3,0,0,0,1535,1.83075E+12,47.516231,14.550072,7154.855428,Austria,0.163031416,25.01628664,-6.188362803,-5.381288666
01/02/1991,,0.138335,0,0,33.74561986,38431.16667,2.989E+11,7777551,,,0,-4.5,28.3,0,0,0,1551.416667,1.85232E+12,47.516231,14.550072,7154.855428,Austria,0.161554606,24.79716576,-6.7065945,-5.921174435
01/03/1991,,0.150018,0,0,33.74561986,38462.33333,2.99331E+11,7782405,,,0,4.8,50.2,0,0,0,1567.833333,1.87389E+12,47.516231,14.550072,7154.855428,Austria,0.160077796,24.57804488,-7.224826197,-6.461060203
01/04/1991,,0.157493,0,0,33.74561986,38493.5,2.99762E+11,7787258,,,0,5.1,46.6,0,0,0,1584.25,1.89546E+12,47.516231,14.550072,7154.855428,Austria,0.158600986,24.35892399,-7.743057894,-7.000945972
01/05/1991,,0.157209,0,0,33.74561986,38524.66667,3.00193E+11,7792111,,,0,7.4,149,0,0,0,1600.666667,1.91703E+12,47.516231,14.550072,7154.855428,Austria,0.157124176,24.13980311,-8.261289591,-7.54083174
01/06/1991,,0.162375,0,0,33.74561986,38555.83333,3.00624E+11,7796965,,,0,13.5,150.9,0,0,0,1617.083333,1.93861E+12,47.516231,14.550072,7154.855428,Austria,0.155647366,23.92068222,-8.779521288,-8.080717509
