Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
1989-01-01,,73.320847,0.0,0.0,48.90090854738951,9724.0,126986392451.0,13058758.0,,,0.0,13.2,58.8,0.0,0.0,0.0,1512.0,1751429011497.0,-35.675147,-71.542969,19640.1134547544,Chile,0.0725044472927057,6.431216931216931,13.171501246770914,13.117186602618542
1989-02-01,,74.181798,0.0,0.0,48.90090854738951,9734.5,127300052427.83331,13076746.0,,,0.0,13.9,61.8,0.0,0.0,0.0,1504.6666666666667,1745123291812.8333,-35.675147,-71.542969,19640.1134547544,Chile,0.0729644490379938,6.471710089570577,12.680911812158945,12.617076792448229
1989-03-01,,74.823001,0.0,0.0,48.90090854738951,9745.0,127613712404.66669,13094734.0,,,0.0,11.3,61.3,0.0,0.0,0.0,1497.3333333333333,1738817572128.6667,-35.675147,-71.542969,19640.1134547544,Chile,0.0734244507832818,6.512203247924222,12.190322377546972,12.116966982277912
1989-04-01,,75.045202,0.0,0.0,48.90090854738951,9755.5,127927372381.5,13112723.0,,,0.0,9.3,81.9,0.0,0.0,0.0,1490.0,1732511852444.5,-35.675147,-71.542969,19640.1134547544,Chile,0.0738844525285699,6.552696406277867,11.699732942935,11.616857172107595
1989-05-01,,77.957804,0.0,0.0,48.90090854738951,9766.0,128241032358.33331,13130711.0,,,0.0,6.8,63.4,0.0,0.0,0.0,1482.6666666666667,1726206132760.3333,-35.675147,-71.542969,19640.1134547544,Chile,0.0743444542738579,6.593189564631512,11.209143508323027,11.116747361937282
1989-06-01,,79.800636,0.0,0.0,48.90090854738951,9776.5,128554692335.16669,13148699.0,,,0.0,6.1,128.2,0.0,0.0,0.0,1475.3333333333333,1719900413076.1667,-35.675147,-71.542969,19640.1134547544,Chile,0.074804456019146,6.633682722985157,10.718554073711058,10.616637551766969
1989-07-01,,76.314342,0.0,0.0,48.90090854738951,9787.0,128868352312.0,13166688.0,,,0.0,5.2,100.5,0.0,0.0,0.0,1468.0,1713594693392.0,-35.675147,-71.542969,19640.1134547544,Chile,0.075264457764434,6.674175881338803,10.227964639099088,10.116527741596652
1989-08-01,,77.453559,0.0,0.0,48.90090854738951,9797.5,129182012288.83331,13184676.0,,,0.0,5.7,119.7,0.0,0.0,0.0,1460.6666666666667,1707288973707.8333,-35.675147,-71.542969,19640.1134547544,Chile,0.075724459509722,6.714669039692448,9.737375204487115,9.616417931426335
1989-09-01,,78.538202,0.0,0.0,48.90090854738951,9808.0,129495672265.66669,13202664.0,,,0.0,6.6,46.3,0.0,0.0,0.0,1453.3333333333333,1700983254023.6667,-35.675147,-71.542969,19640.1134547544,Chile,0.0761844612550101,6.755162198046094,9.246785769875144,9.116308121256022
1989-10-01,,75.741209,0.0,0.0,48.90090854738951,9818.5,129809332242.5,13220652.0,,,0.0,9.4,40.3,0.0,0.0,0.0,1446.0,1694677534339.5,-35.675147,-71.542969,19640.1134547544,Chile,0.0766444630002981,6.795655356399738,8.756196335263173,8.616198311085707
1989-11-01,,74.543949,0.0,0.0,48.90090854738951,9829.0,130122992219.33331,13238640.0,,,0.0,11.3,42.4,0.0,0.0,0.0,1438.6666666666667,1688371814655.3333,-35.675147,-71.542969,19640.1134547544,Chile,0.0771044647455862,6.836148514753384,8.265606900651202,8.116088500915392
1989-12-01,,64.278459,0.0,0.0,48.90090854738951,9839.5,130436652196.16669,13256629.0,,,0.0,12.4,121.6,0.0,0.0,0.0,1431.3333333333333,1682066094971.1667,-35.675147,-71.542969,19640.1134547544,Chile,0.0775644664908742,6.876641673107029,7.77501746603923,7.615978690745077
1990-01-01,,64.072884,0.0,0.0,48.50102575208131,9850.0,130750312173.0,13274617.0,,,0.0,13.0,46.1,0.0,0.0,0.0,1424.0,1675760375287.0,-35.675147,-71.542969,19640.1134547544,Chile,0.0780244682361623,6.917134831460674,7.284428031427259,7.115868880574762
1990-02-01,,63.237985,0.0,0.0,48.50102575208131,9899.583333333334,131600667768.58331,13293004.0,,,0.0,13.5,48.9,0.0,0.0,0.0,1433.25,1688675822298.9167,-35.675147,-71.542969,19640.1134547544,Chile,0.0779385113027856,6.907753617221145,6.557036787505946,6.376685250262792
1990-03-01,,64.314957,0.0,0.0,48.50102575208131,9949.166666666666,132451023364.16669,13311390.0,,,0.0,11.3,119.0,0.0,0.0,0.0,1442.5,1701591269310.8333,-35.675147,-71.542969,19640.1134547544,Chile,0.077852554369409,6.898372402981615,5.829645543584633,5.637501619950822
1990-04-01,,63.516275,0.0,0.0,48.50102575208131,9998.75,133301378959.75,13329776.0,,,0.0,8.5,83.3,0.0,0.0,0.0,1451.75,1714506716322.75,-35.675147,-71.542969,19640.1134547544,Chile,0.0777665974360323,6.888991188742086,5.10225429966332,4.898317989638851
1990-05-01,,62.532221,0.0,0.0,48.50102575208131,10048.333333333334,134151734555.33331,13348163.0,,,0.0,7.2,128.5,0.0,0.0,0.0,1461.0,1727422163334.6667,-35.675147,-71.542969,19640.1134547544,Chile,0.0776806405026556,6.879609974502556,4.374863055742006,4.159134359326881
1990-06-01,,62.995701,0.0,0.0,48.50102575208131,10097.916666666666,135002090150.91669,13366550.0,,,0.0,5.5,113.8,0.0,0.0,0.0,1470.25,1740337610346.5833,-35.675147,-71.542969,19640.1134547544,Chile,0.077594683569279,6.870228760263027,3.647471811820693,3.4199507290149107
1990-07-01,,61.058196,0.0,0.0,48.50102575208131,10147.5,135852445746.5,13384936.0,,,0.0,5.2,96.1,0.0,0.0,0.0,1479.5,1753253057358.5,-35.675147,-71.542969,19640.1134547544,Chile,0.0775087266359023,6.860847546023496,2.9200805678993804,2.6807670987029404
1990-08-01,,58.520776,0.0,0.0,48.50102575208131,10197.083333333334,136702801342.08331,13403322.0,,,0.0,6.4,114.3,0.0,0.0,0.0,1488.75,1766168504370.4167,-35.675147,-71.542969,19640.1134547544,Chile,0.0774227697025256,6.851466331783967,2.192689323978067,1.94158346839097
1990-09-01,,58.598752,0.0,0.0,48.50102575208131,10246.666666666666,137553156937.66666,13421709.0,,,0.0,6.8,111.7,0.0,0.0,0.0,1498.0,1779083951382.3333,-35.675147,-71.542969,19640.1134547544,Chile,0.077336812769149,6.842085117544437,1.465298080056754,1.2023998380789995
1990-10-01,,56.956241,0.0,0.0,48.50102575208131,10296.25,138403512533.25,13440096.0,,,0.0,9.2,75.1,0.0,0.0,0.0,1507.25,1791999398394.25,-35.675147,-71.542969,19640.1134547544,Chile,0.0772508558357723,6.832703903304908,0.7379068361354406,0.4632162077670294
1990-11-01,,53.346578,0.0,0.0,48.50102575208131,10345.833333333334,139253868128.83334,13458482.0,,,0.0,10.3,76.7,0.0,0.0,0.0,1516.5,1804914845406.1667,-35.675147,-71.542969,19640.1134547544,Chile,0.0771648989023957,6.823322689065378,0.0105155922141273,-0.2759674225449409
1990-12-01,,51.073048,0.0,0.0,48.50102575208131,10395.416666666666,140104223724.41666,13476868.0,,,0.0,12.0,63.8,0.0,0.0,0.0,1525.75,1817830292418.0835,-35.675147,-71.542969,19640.1134547544,Chile,0.077078941969019,6.813941474825849,-0.7168756517071859,-1.0151510528569112
1991-01-01,,67.019217,0.0,0.0,48.067234150985634,10445.0,140954579320.0,13495255.0,,,0.0,12.9,51.1,0.0,0.0,0.0,1535.0,1830745739430.0,-35.675147,-71.542969,19640.1134547544,Chile,0.0769929850356423,6.804560260586319,-1.4442668956284983,-1.7543346831688806
1991-02-01,,65.70046,0.0,0.0,48.067234150985634,10526.333333333334,142266244812.5,13513969.0,,,0.0,13.0,71.1,0.0,0.0,0.0,1551.4166666666667,1852317780390.8333,-35.675147,-71.542969,19640.1134547544,Chile,0.076825858013956,6.787022810079415,-1.571672221043345,-1.898947826362207
1991-03-01,,71.196693,0.0,0.0,48.067234150985634,10607.666666666666,143577910305.0,13532682.0,,,0.0,11.9,93.9,0.0,0.0,0.0,1567.8333333333333,1873889821351.6667,-35.675147,-71.542969,19640.1134547544,Chile,0.0766587309922696,6.76948535957251,-1.6990775464581915,-2.043560969555533
1991-04-01,,74.645385,0.0,0.0,48.067234150985634,10689.0,144889575797.5,13551396.0,,,0.0,9.7,92.7,0.0,0.0,0.0,1584.25,1895461862312.5,-35.675147,-71.542969,19640.1134547544,Chile,0.0764916039705832,6.751947909065605,-1.826482871873038,-2.18817411274886
1991-05-01,,74.551242,0.0,0.0,48.067234150985634,10770.333333333334,146201241290.0,13570109.0,,,0.0,7.7,118.4,0.0,0.0,0.0,1600.6666666666667,1917033903273.3333,-35.675147,-71.542969,19640.1134547544,Chile,0.0763244769488969,6.734410458558701,-1.9538881972878848,-2.3327872559421863
