Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,7.465791,0,0,77.24151718,17673,3.58162E+11,20266424,,,0,14.92,113.86,0,0,0,1512,1.75143E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.20449726,11.68849206,11.75534749,12.27829219
01/02/1989,,7.426573,0,0,77.24151718,17734.75,3.5974E+11,20284098,,,0,14.51,73.32,0,0,0,1504.666667,1.74512E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.206208423,11.79204937,11.57634944,12.08951304
01/03/1989,,7.395488,0,0,77.24151718,17796.5,3.61318E+11,20301773,,,0,15.64,174.67,0,0,0,1497.333333,1.73882E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.207919586,11.89560668,11.3973514,11.90073389
01/04/1989,,7.238442,0,0,77.24151718,17858.25,3.62896E+11,20319447,,,0,20.08,220.38,0,0,0,1490,1.73251E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.20963075,11.99916399,11.21835336,11.71195473
01/05/1989,,6.921602,0,0,77.24151718,17920,3.64474E+11,20337121,,,0,21.92,351.43,0,0,0,1482.666667,1.72621E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.211341913,12.1027213,11.03935532,11.52317558
01/06/1989,,6.989926,0,0,77.24151718,17981.75,3.66052E+11,20354796,,,0,24.16,169.76,0,0,0,1475.333333,1.7199E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.213053076,12.20627861,10.86035728,11.33439643
01/07/1989,,6.921657,0,0,77.24151718,18043.5,3.6763E+11,20372470,,,0,24.86,313.3,0,0,0,1468,1.71359E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.214764239,12.30983592,10.68135924,11.14561727
01/08/1989,,6.888555,0,0,77.24151718,18105.25,3.69208E+11,20390144,,,0,24.8,245.35,0,0,0,1460.666667,1.70729E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.216475402,12.41339323,10.5023612,10.95683812
01/09/1989,,6.896388,0,0,77.24151718,18167,3.70786E+11,20407819,,,0,23.7,628.82,0,0,0,1453.333333,1.70098E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.218186566,12.51695054,10.32336316,10.76805896
01/10/1989,,6.888378,0,0,77.24151718,18228.75,3.72364E+11,20425493,,,0,20.94,126.17,0,0,0,1446,1.69468E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.219897729,12.62050785,10.14436511,10.57927981
01/11/1989,,6.976908,0,0,77.24151718,18290.5,3.73942E+11,20443167,,,0,17.79,127.02,0,0,0,1438.666667,1.68837E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.221608892,12.72406516,9.965367074,10.39050066
01/12/1989,,6.294048,0,0,77.24151718,18352.25,3.7552E+11,20460842,,,0,14.56,138.63,0,0,0,1431.333333,1.68207E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.223320055,12.82762247,9.786369032,10.2017215
01/01/1990,,5.511288,0,0,77.21215088,18414,3.77098E+11,20478516,,,0,14.56,199.7,0,0,0,1424,1.67576E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.225031218,12.93117978,9.607370991,10.01294235
01/02/1990,,5.518276,0,0,77.21215088,18520,3.79597E+11,20495229,,,0,16.13,164.35,0,0,0,1433.25,1.68868E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.224808634,12.9223111,8.698695925,9.104600799
01/03/1990,,5.566048,0,0,77.21215088,18626,3.82096E+11,20511942,,,0,16.7,151.11,0,0,0,1442.5,1.70159E+12,23.69781,120.960515,2102.853395,Chinese Taipei,0.224586049,12.91344243,7.790020859,8.196259247
