Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,,0,0,45.12462288,23100,2.38756E+11,10335875,,,0,0.1,16.4,0,0,0,1512,1.75143E+12,49.817492,15.472962,6984.887422,Czech,0.136320547,15.27777778,6.167881292,7.838181998
01/02/1989,,,0,0,45.12462288,23140.41667,2.39184E+11,10336292,,,0,2.5,23.3,0,0,0,1504.666667,1.74512E+12,49.817492,15.472962,6984.887422,Czech,0.137088899,15.38483796,6.193176238,7.844972908
01/03/1989,,,0,0,45.12462288,23180.83333,2.39612E+11,10336709,,,0,5.8,30.2,0,0,0,1497.333333,1.73882E+12,49.817492,15.472962,6984.887422,Czech,0.137857251,15.49189815,6.218471184,7.851763818
01/04/1989,,,0,0,45.12462288,23221.25,2.4004E+11,10337126,,,0,8,75.4,0,0,0,1490,1.73251E+12,49.817492,15.472962,6984.887422,Czech,0.138625604,15.59895833,6.243766129,7.858554728
01/05/1989,,,0,0,45.12462288,23261.66667,2.40468E+11,10337542,,,0,13,45,0,0,0,1482.666667,1.72621E+12,49.817492,15.472962,6984.887422,Czech,0.139393956,15.70601852,6.269061075,7.865345638
01/06/1989,,,0,0,45.12462288,23302.08333,2.40896E+11,10337959,,,0,14.5,86.8,0,0,0,1475.333333,1.7199E+12,49.817492,15.472962,6984.887422,Czech,0.140162308,15.8130787,6.294356021,7.872136549
01/07/1989,,,0,0,45.12462288,23342.5,2.41324E+11,10338376,,,0,17.5,77.7,0,0,0,1468,1.71359E+12,49.817492,15.472962,6984.887422,Czech,0.14093066,15.92013889,6.319650967,7.878927459
01/08/1989,,,0,0,45.12462288,23382.91667,2.41752E+11,10338793,,,0,16.7,59.1,0,0,0,1460.666667,1.70729E+12,49.817492,15.472962,6984.887422,Czech,0.141699012,16.02719907,6.344945913,7.885718369
01/09/1989,,,0,0,45.12462288,23423.33333,2.4218E+11,10339210,,,0,13.8,50.6,0,0,0,1453.333333,1.70098E+12,49.817492,15.472962,6984.887422,Czech,0.142467365,16.13425926,6.370240859,7.892509279
01/10/1989,,,0,0,45.12462288,23463.75,2.42608E+11,10339626,,,0,9.4,30,0,0,0,1446,1.69468E+12,49.817492,15.472962,6984.887422,Czech,0.143235717,16.24131944,6.395535805,7.899300189
01/11/1989,,,0,0,45.12462288,23504.16667,2.43036E+11,10340043,,,0,1.2,39.4,0,0,0,1438.666667,1.68837E+12,49.817492,15.472962,6984.887422,Czech,0.144004069,16.34837963,6.420830751,7.906091099
01/12/1989,,,0,0,45.12462288,23544.58333,2.43463E+11,10340460,,,0,0.3,30,0,0,0,1431.333333,1.68207E+12,49.817492,15.472962,6984.887422,Czech,0.144772421,16.45543981,6.446125697,7.91288201
01/01/1990,,,0,0,44.49950744,23585,2.43891E+11,10340877,,,0,-0.1,13.2,0,0,0,1424,1.67576E+12,49.817492,15.472962,6984.887422,Czech,0.145540773,16.5625,6.471420643,7.91967292
01/02/1990,,,0,0,44.49950744,23360.91667,2.41584E+11,10341342,,,0,3.9,50.2,0,0,0,1433.25,1.68868E+12,49.817492,15.472962,6984.887422,Czech,0.143253463,16.31671078,4.21518986,5.660011992
01/03/1990,,,0,0,44.49950744,23136.83333,2.39276E+11,10341807,,,0,6.3,25,0,0,0,1442.5,1.70159E+12,49.817492,15.472962,6984.887422,Czech,0.140966152,16.07092155,1.958959076,3.400351064
01/04/1990,,,0,0,44.49950744,22912.75,2.36968E+11,10342272,,,0,6.9,67.4,0,0,0,1451.75,1.71451E+12,49.817492,15.472962,6984.887422,Czech,0.138678842,15.82513233,-0.297271708,1.140690136
01/05/1990,,,0,0,44.49950744,22688.66667,2.3466E+11,10342737,,,0,13.5,45.1,0,0,0,1461,1.72742E+12,49.817492,15.472962,6984.887422,Czech,0.136391531,15.57934311,-2.553502491,-1.118970792
01/06/1990,,,0,0,44.49950744,22464.58333,2.32353E+11,10343202,,,0,15.5,81.4,0,0,0,1470.25,1.74034E+12,49.817492,15.472962,6984.887422,Czech,0.134104221,15.33355388,-4.809733275,-3.37863172
01/07/1990,,,0,0,44.49950744,22240.5,2.30045E+11,10343668,,,0,16.5,33.4,0,0,0,1479.5,1.75325E+12,49.817492,15.472962,6984.887422,Czech,0.13181691,15.08776466,-7.065964059,-5.638292648
01/08/1990,,,0,0,44.49950744,22016.41667,2.27737E+11,10344133,,,0,18.1,46.3,0,0,0,1488.75,1.76617E+12,49.817492,15.472962,6984.887422,Czech,0.1295296,14.84197543,-9.322194843,-7.897953576
01/09/1990,,,0,0,44.49950744,21792.33333,2.25429E+11,10344598,,,0,11.1,65.5,0,0,0,1498,1.77908E+12,49.817492,15.472962,6984.887422,Czech,0.127242289,14.59618621,-11.57842563,-10.1576145
01/10/1990,,,0,0,44.49950744,21568.25,2.23122E+11,10345063,,,0,8.8,37.2,0,0,0,1507.25,1.792E+12,49.817492,15.472962,6984.887422,Czech,0.124954978,14.35039699,-13.83465641,-12.41727543
