Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,532,0.267982,0,0,44.0057087,20897,22873605436,1094588,,,0,21.2,193.1,0,0,0,1512,1.75143E+12,19.898682,-155.665857,9607.159006,Hawaii,,13.8207672,,15.27774302
01/02/1989,1550,0.267937,0,0,44.0057087,21025,23046832331,1096163,,,0,20.6,410.7,0,0,0,1504.666667,1.74512E+12,19.898682,-155.665857,9607.159006,Hawaii,,13.9818292,,15.1021347
01/03/1989,822,0.267996,0,0,44.0057087,21153,23220462491,1097738,,,0,21.2,254,0,0,0,1497.333333,1.73882E+12,19.898682,-155.665857,9607.159006,Hawaii,,14.1428912,,14.92652638
01/04/1989,1010,0.267996,0,0,44.0057087,21281,23394495914,1099314,,,0,20.6,420.1,0,0,0,1490,1.73251E+12,19.898682,-155.665857,9607.159006,Hawaii,,14.30395321,,14.75091806
01/05/1989,1383,0.267731,0,0,44.0057087,21409,23568932601,1100889,,,0,22.3,136.3,0,0,0,1482.666667,1.72621E+12,19.898682,-155.665857,9607.159006,Hawaii,,14.46501521,,14.57530974
01/06/1989,1698,0.267995,0,0,44.0057087,21537,23743772552,1102464,,,0,23.5,70.2,0,0,0,1475.333333,1.7199E+12,19.898682,-155.665857,9607.159006,Hawaii,,14.62607721,,14.39970142
01/07/1989,1959,0.268081,0,0,44.0057087,21665,23919015768,1104040,,,0,23.9,354.4,0,0,0,1468,1.71359E+12,19.898682,-155.665857,9607.159006,Hawaii,,14.78713922,,14.2240931
01/08/1989,1451,0.267996,0,0,44.0057087,21793,24094662247,1105615,,,0,23.8,207.9,0,0,0,1460.666667,1.70729E+12,19.898682,-155.665857,9607.159006,Hawaii,,14.94820122,,14.04848479
01/09/1989,1124,0.267937,0,0,44.0057087,21921,24270711990,1107190,,,0,23.8,84.1,0,0,0,1453.333333,1.70098E+12,19.898682,-155.665857,9607.159006,Hawaii,,15.10926322,,13.87287647
01/10/1989,1048,0.268042,0,0,44.0057087,22049,24447164997,1108765,,,0,23.1,318.5,0,0,0,1446,1.69468E+12,19.898682,-155.665857,9607.159006,Hawaii,,15.27032523,,13.69726815
