Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,2.212141,0,0,76.24657106,28319,1.59896E+11,5646276,,,0,15.5,28.3,0,0,0,1512,1.75143E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.091294633,18.72949735,5.706833136,5.81391984
01/02/1989,,2.211971,0,0,76.24657106,28358.91667,1.60318E+11,5653082,,,0,16,2.5,0,0,0,1504.666667,1.74512E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.091889785,18.85398213,5.855000711,5.955388997
01/03/1989,,2.213151,0,0,76.24657106,28398.83333,1.60739E+11,5659887,,,0,18.3,56.5,0,0,0,1497.333333,1.73882E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.092484936,18.9784669,6.003168285,6.096858154
01/04/1989,,2.208777,0,0,76.24657106,28438.75,1.61161E+11,5666692,,,0,22.3,225.6,0,0,0,1490,1.73251E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.093080087,19.10295167,6.15133586,6.238327312
01/05/1989,,2.199792,0,0,76.24657106,28478.66667,1.61583E+11,5673498,,,0,25.3,575,0,0,0,1482.666667,1.72621E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.093675239,19.22743644,6.299503434,6.379796469
01/06/1989,,2.211494,0,0,76.24657106,28518.58333,1.62004E+11,5680304,,,0,27.8,157.9,0,0,0,1475.333333,1.7199E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.09427039,19.35192121,6.447671009,6.521265626
01/07/1989,,2.213457,0,0,76.24657106,28558.5,1.62426E+11,5687109,,,0,28.8,286.3,0,0,0,1468,1.71359E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.094865541,19.47640598,6.595838583,6.662734783
01/08/1989,,2.214497,0,0,76.24657106,28598.41667,1.62848E+11,5693914,,,0,28.8,234.4,0,0,0,1460.666667,1.70729E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.095460692,19.60089075,6.744006157,6.804203941
01/09/1989,,2.174002,0,0,76.24657106,28638.33333,1.63269E+11,5700720,,,0,27.9,204.6,0,0,0,1453.333333,1.70098E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.096055844,19.72537552,6.892173732,6.945673098
01/10/1989,,2.088345,0,0,76.24657106,28678.25,1.63691E+11,5707526,,,0,25.1,24.8,0,0,0,1446,1.69468E+12,22.396428,114.109497,1774.699774,Hong Kong SAR,0.096650995,19.84986029,7.040341306,7.087142255
