Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,34.042108,0,0,43.88902995,31523,3.91064E+12,124058517,,,0,2.7,131.2,0,0,0,1512,1.75143E+12,36.204824,138.252924,3053.706424,Japan,2.232829191,20.84854497,7.978238005,9.299900484
01/02/1989,,34.215966,0,0,43.88902995,31641.58333,3.92658E+12,124095744,,,0,2.6,132.6,0,0,0,1504.666667,1.74512E+12,36.204824,138.252924,3053.706424,Japan,2.250744483,21.03918589,8.081078157,9.38609795
01/03/1989,,34.920539,0,0,43.88902995,31760.16667,3.94253E+12,124132971,,,0,5.1,110.6,0,0,0,1497.333333,1.73882E+12,36.204824,138.252924,3053.706424,Japan,2.268659775,21.2298268,8.183918308,9.472295417
01/04/1989,,35.394164,0,0,43.88902995,31878.75,3.95847E+12,124170198,,,0,10.4,121.1,0,0,0,1490,1.73251E+12,36.204824,138.252924,3053.706424,Japan,2.286575067,21.42046772,8.28675846,9.558492883
01/05/1989,,36.901598,0,0,43.88902995,31997.33333,3.97441E+12,124207426,,,0,14,166,0,0,0,1482.666667,1.72621E+12,36.204824,138.252924,3053.706424,Japan,2.304490358,21.61110863,8.389598612,9.644690349
01/06/1989,,38.593725,0,0,43.88902995,32115.91667,3.99035E+12,124244653,,,0,17.4,183.7,0,0,0,1475.333333,1.7199E+12,36.204824,138.252924,3053.706424,Japan,2.32240565,21.80174955,8.492438764,9.730887816
01/07/1989,,37.674601,0,0,43.88902995,32234.5,4.00629E+12,124281880,,,0,22.1,180.1,0,0,0,1468,1.71359E+12,36.204824,138.252924,3053.706424,Japan,2.340320942,21.99239046,8.595278916,9.817085282
01/08/1989,,37.854352,0,0,43.88902995,32353.08333,4.02224E+12,124319107,,,0,24,229.6,0,0,0,1460.666667,1.70729E+12,36.204824,138.252924,3053.706424,Japan,2.358236234,22.18303138,8.698119067,9.903282749
01/09/1989,,38.897496,0,0,43.88902995,32471.66667,4.03818E+12,124356334,,,0,20.5,333.4,0,0,0,1453.333333,1.70098E+12,36.204824,138.252924,3053.706424,Japan,2.376151525,22.37367229,8.800959219,9.989480215
01/10/1989,,38.094362,0,0,43.88902995,32590.25,4.05412E+12,124393562,,,0,13.9,104.4,0,0,0,1446,1.69468E+12,36.204824,138.252924,3053.706424,Japan,2.394066817,22.56431321,8.903799371,10.07567768
01/11/1989,,38.479126,0,0,43.88902995,32708.83333,4.07006E+12,124430789,,,0,9.5,112.8,0,0,0,1438.666667,1.68837E+12,36.204824,138.252924,3053.706424,Japan,2.411982109,22.75495412,9.006639523,10.16187515
01/12/1989,,34.614737,0,0,43.88902995,32827.41667,4.08601E+12,124468016,,,0,3.8,68.9,0,0,0,1431.333333,1.68207E+12,36.204824,138.252924,3053.706424,Japan,2.429897401,22.94559504,9.109479674,10.24807261
01/01/1990,,30.618776,0,0,42.81429152,32946,4.10195E+12,124505243,,,0,0,96.8,0,0,0,1424,1.67576E+12,36.204824,138.252924,3053.706424,Japan,2.447812692,23.13623596,9.212319826,10.33427008
01/02/1990,,30.769422,0,0,42.81429152,33028.66667,4.11344E+12,124540620,,,0,3.6,125.4,0,0,0,1433.25,1.68868E+12,36.204824,138.252924,3053.706424,Japan,2.436823776,23.05067015,7.954178719,9.074417896
01/03/1990,,32.361914,0,0,42.81429152,33111.33333,4.12494E+12,124575996,,,0,5.6,98.1,0,0,0,1442.5,1.70159E+12,36.204824,138.252924,3053.706424,Japan,2.425834861,22.96510434,6.696037612,7.81456571
01/04/1990,,33.459207,0,0,42.81429152,33194,4.13644E+12,124611373,,,0,10.2,148,0,0,0,1451.75,1.71451E+12,36.204824,138.252924,3053.706424,Japan,2.414845945,22.87953853,5.437896505,6.554713525
01/05/1990,,32.492989,0,0,42.81429152,33276.66667,4.14793E+12,124646750,,,0,14.8,126.5,0,0,0,1461,1.72742E+12,36.204824,138.252924,3053.706424,Japan,2.403857029,22.79397272,4.179755398,5.29486134
01/06/1990,,32.486108,0,0,42.81429152,33359.33333,4.15943E+12,124682127,,,0,19.5,193.4,0,0,0,1470.25,1.74034E+12,36.204824,138.252924,3053.706424,Japan,2.392868113,22.70840691,2.921614291,4.035009154
01/07/1990,,31.516964,0,0,42.81429152,33442,4.17093E+12,124717504,,,0,23.2,151.9,0,0,0,1479.5,1.75325E+12,36.204824,138.252924,3053.706424,Japan,2.381879197,22.6228411,1.663473184,2.775156969
01/08/1990,,31.162465,0,0,42.81429152,33524.66667,4.18242E+12,124752880,,,0,24.9,143.2,0,0,0,1488.75,1.76617E+12,36.204824,138.252924,3053.706424,Japan,2.370890281,22.5372753,0.405332077,1.515304783
01/09/1990,,29.283993,0,0,42.81429152,33607.33333,4.19392E+12,124788257,,,0,21,318.6,0,0,0,1498,1.77908E+12,36.204824,138.252924,3053.706424,Japan,2.359901366,22.45170949,-0.85280903,0.255452598
01/10/1990,,27.422972,0,0,42.81429152,33690,4.20542E+12,124823634,,,0,15.1,169.2,0,0,0,1507.25,1.792E+12,36.204824,138.252924,3053.706424,Japan,2.34891245,22.36614368,-2.110950137,-1.004399587
01/11/1990,,26.067172,0,0,42.81429152,33772.66667,4.21691E+12,124859010,,,0,10.6,175.8,0,0,0,1516.5,1.80491E+12,36.204824,138.252924,3053.706424,Japan,2.337923534,22.28057787,-3.369091244,-2.264251773
01/12/1990,,25.568408,0,0,42.81429152,33855.33333,4.22841E+12,124894387,,,0,4.8,78.2,0,0,0,1525.75,1.81783E+12,36.204824,138.252924,3053.706424,Japan,2.326934618,22.19501206,-4.627232352,-3.524103958
01/01/1991,,25.552643,0,0,41.63913993,33938,4.23991E+12,124929764,,,0,1.5,73.9,0,0,0,1535,1.83075E+12,36.204824,138.252924,3053.706424,Japan,2.315945702,22.10944625,-5.885373459,-4.783956143
01/02/1991,,24.896721,0,0,41.63913993,33951.41667,4.24272E+12,124963225,,,0,0.8,105,0,0,0,1551.416667,1.85232E+12,36.204824,138.252924,3053.706424,Japan,2.293385319,21.90762943,-6.506799101,-5.415249943
