Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,2.206563,0,0,79.21420062,28845.8749,9730752055,337336,,,0,14.6,32.2,0,0,0,1512,1.75143E+12,22.198745,113.543873,1764.825687,"Macao, China",0.005555893,19.07795959,8.389631513,6.105976855
01/02/1989,,2.232473,0,0,79.21420062,28942.15219,9795458641,338410,,,0,15.3,1.7,0,0,0,1504.666667,1.74512E+12,22.198745,113.543873,1764.825687,"Macao, China",0.005615412,19.24381796,8.715498441,6.415918755
01/03/1989,,2.25177,0,0,79.21420062,29038.42947,9860165228,339484,,,0,18.2,63.5,0,0,0,1497.333333,1.73882E+12,22.198745,113.543873,1764.825687,"Macao, China",0.005674932,19.40967634,9.041365369,6.725860654
01/04/1989,,2.258457,0,0,79.21420062,29134.70676,9924871814,340559,,,0,22.3,220.5,0,0,0,1490,1.73251E+12,22.198745,113.543873,1764.825687,"Macao, China",0.005734452,19.57553471,9.367232297,7.035802554
01/05/1989,,2.34611,0,0,79.21420062,29230.98404,9989578400,341633,,,0,25.3,510.1,0,0,0,1482.666667,1.72621E+12,22.198745,113.543873,1764.825687,"Macao, China",0.005793971,19.74139308,9.693099226,7.345744453
01/06/1989,,2.40157,0,0,79.21420062,29327.26133,10054284986,342707,,,0,27.8,111,0,0,0,1475.333333,1.7199E+12,22.198745,113.543873,1764.825687,"Macao, China",0.005853491,19.90725145,10.01896615,7.655686353
01/07/1989,,2.296651,0,0,79.21420062,29423.53862,10118991572,343782,,,0,28.8,152.5,0,0,0,1468,1.71359E+12,22.198745,113.543873,1764.825687,"Macao, China",0.00591301,20.07310983,10.34483308,7.965628252
01/08/1989,,2.330935,0,0,79.21420062,29519.8159,10183698158,344856,,,0,28.9,250.5,0,0,0,1460.666667,1.70729E+12,22.198745,113.543873,1764.825687,"Macao, China",0.00597253,20.2389682,10.67070001,8.275570152
01/09/1989,,2.363577,0,0,79.21420062,29616.09319,10248404745,345930,,,0,27.9,159.6,0,0,0,1453.333333,1.70098E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006032049,20.40482657,10.99656694,8.585512051
01/10/1989,,2.279403,0,0,79.21420062,29712.37047,10313111331,347004,,,0,24.9,18.5,0,0,0,1446,1.69468E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006091569,20.57068495,11.32243387,8.895453951
01/11/1989,,2.243372,0,0,79.21420062,29808.64776,10377817917,348078,,,0,20.7,17.6,0,0,0,1438.666667,1.68837E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006151088,20.73654332,11.64830079,9.20539585
01/12/1989,,1.934436,0,0,79.21420062,29904.92505,10442524503,349153,,,0,16.9,27.7,0,0,0,1431.333333,1.68207E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006210608,20.90240169,11.97416772,9.51533775
01/01/1990,,1.685544,0,0,79.2633185,30001.20233,10507231089,350227,,,0,15.3,47,0,0,0,1424,1.67576E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006270127,21.06826006,12.30003465,9.825279649
01/02/1990,,1.663581,0,0,79.2633185,30005.70948,10539273155,351241,,,0,15.8,172.7,0,0,0,1433.25,1.68868E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006243395,20.94423775,10.80926269,8.371950933
01/03/1990,,1.691912,0,0,79.2633185,30010.21664,10571315220,352254,,,0,18.7,40.4,0,0,0,1442.5,1.70159E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006216663,20.82021544,9.318490728,6.918622216
01/04/1990,,1.670902,0,0,79.2633185,30014.72379,10603357286,353268,,,0,21.6,179.4,0,0,0,1451.75,1.71451E+12,22.198745,113.543873,1764.825687,"Macao, China",0.006189932,20.69619312,7.827718767,5.465293499
01/05/1990,,1.645015,0,0,79.2633185,30019.23094,10635399352,354281,,,0,24.9,76.6,0,0,0,1461,1.72742E+12,22.198745,113.543873,1764.825687,"Macao, China",0.0061632,20.57217081,6.336946805,4.011964782
