Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,2.483129,0,0,76.69359811,7819,1692843634,216502,,,0,27.6,154.7,0,0,0,1512,1.75143E+12,3.202778,73.22068,4818.111217,Maldives,0.00096655,5.171296296,12.37486411,10.7183583
01/02/1989,,2.512286,0,0,76.69359811,7900.75,1715417159,217057,,,0,27.4,48.1,0,0,0,1504.666667,1.74512E+12,3.202778,73.22068,4818.111217,Maldives,0.000983658,5.255336212,13.0371261,11.35570071
01/03/1989,,2.534002,0,0,76.69359811,7982.5,1737990684,217612,,,0,28,38.6,0,0,0,1497.333333,1.73882E+12,3.202778,73.22068,4818.111217,Maldives,0.001000765,5.339376127,13.6993881,11.99304312
01/04/1989,,2.541527,0,0,76.69359811,8064.25,1760564210,218166,,,0,28.8,132.9,0,0,0,1490,1.73251E+12,3.202778,73.22068,4818.111217,Maldives,0.001017873,5.423416042,14.36165009,12.63038554
01/05/1989,,2.640167,0,0,76.69359811,8146,1783137735,218721,,,0,28.5,208.1,0,0,0,1482.666667,1.72621E+12,3.202778,73.22068,4818.111217,Maldives,0.001034981,5.507455958,15.02391208,13.26772795
01/06/1989,,2.702577,0,0,76.69359811,8227.75,1805711260,219276,,,0,27.4,326.9,0,0,0,1475.333333,1.7199E+12,3.202778,73.22068,4818.111217,Maldives,0.001052088,5.591495873,15.68617407,13.90507036
01/07/1989,,2.584508,0,0,76.69359811,8309.5,1828284785,219830,,,0,27.3,119.8,0,0,0,1468,1.71359E+12,3.202778,73.22068,4818.111217,Maldives,0.001069196,5.675535789,16.34843606,14.54241277
01/08/1989,,2.62309,0,0,76.69359811,8391.25,1850858310,220385,,,0,27.5,214.7,0,0,0,1460.666667,1.70729E+12,3.202778,73.22068,4818.111217,Maldives,0.001086303,5.759575704,17.01069806,15.17975519
01/09/1989,,2.659823,0,0,76.69359811,8473,1873431835,220940,,,0,27.3,181.8,0,0,0,1453.333333,1.70098E+12,3.202778,73.22068,4818.111217,Maldives,0.001103411,5.843615619,17.67296005,15.8170976
01/10/1989,,2.565098,0,0,76.69359811,8554.75,1896005361,221495,,,0,27.5,313.9,0,0,0,1446,1.69468E+12,3.202778,73.22068,4818.111217,Maldives,0.001120519,5.927655535,18.33522204,16.45444001
01/11/1989,,2.524551,0,0,76.69359811,8636.5,1918578886,222050,,,0,27.9,130.8,0,0,0,1438.666667,1.68837E+12,3.202778,73.22068,4818.111217,Maldives,0.001137626,6.01169545,18.99748403,17.09178242
01/12/1989,,2.176894,0,0,76.69359811,8718.25,1941152411,222604,,,0,27.9,129.8,0,0,0,1431.333333,1.68207E+12,3.202778,73.22068,4818.111217,Maldives,0.001154734,6.095735366,19.65974602,17.72912484
