Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
01/01/1989,,0.429202,0,0,34.48865726,28368,95343939178,3360956,,,0,16.3,162.2,0,0,0,1512,1.75143E+12,-40.900557,174.885971,11147.02297,New Zealand,0.054437798,18.76190476,4.929318253,5.798346785
01/02/1989,,0.434895,0,0,34.48865726,28344.58333,95352272879,3364058,,,0,15.7,81.6,0,0,0,1504.666667,1.74512E+12,-40.900557,174.885971,11147.02297,New Zealand,0.054647615,18.84208077,4.887315248,5.717613977
01/03/1989,,0.435435,0,0,34.48865726,28321.16667,95360606580,3367159,,,0,14.6,119.4,0,0,0,1497.333333,1.73882E+12,-40.900557,174.885971,11147.02297,New Zealand,0.054857432,18.92225678,4.845312243,5.636881168
01/04/1989,,0.438143,0,0,34.48865726,28297.75,95368940281,3370261,,,0,11.8,90.9,0,0,0,1490,1.73251E+12,-40.900557,174.885971,11147.02297,New Zealand,0.05506725,19.00243278,4.803309238,5.55614836
01/05/1989,,0.442048,0,0,34.48865726,28274.33333,95377273982,3373362,,,0,9,168.7,0,0,0,1482.666667,1.72621E+12,-40.900557,174.885971,11147.02297,New Zealand,0.055277067,19.08260879,4.761306234,5.475415552
01/06/1989,,0.467191,0,0,34.48865726,28250.91667,95385607683,3376464,,,0,7.1,176.6,0,0,0,1475.333333,1.7199E+12,-40.900557,174.885971,11147.02297,New Zealand,0.055486884,19.1627848,4.719303229,5.394682743
01/07/1989,,0.465951,0,0,34.48865726,28227.5,95393941385,3379566,,,0,5.2,113.7,0,0,0,1468,1.71359E+12,-40.900557,174.885971,11147.02297,New Zealand,0.055696701,19.24296081,4.677300224,5.313949935
01/08/1989,,0.452593,0,0,34.48865726,28204.08333,95402275086,3382667,,,0,7.3,119.8,0,0,0,1460.666667,1.70729E+12,-40.900557,174.885971,11147.02297,New Zealand,0.055906518,19.32313682,4.635297219,5.233217127
01/09/1989,,0.45301,0,0,34.48865726,28180.66667,95410608787,3385769,,,0,9.6,119.4,0,0,0,1453.333333,1.70098E+12,-40.900557,174.885971,11147.02297,New Zealand,0.056116335,19.40331282,4.593294215,5.152484318
01/10/1989,,0.456412,0,0,34.48865726,28157.25,95418942488,3388870,,,0,11.6,195.4,0,0,0,1446,1.69468E+12,-40.900557,174.885971,11147.02297,New Zealand,0.056326152,19.48348883,4.55129121,5.07175151
01/11/1989,,0.456153,0,0,34.48865726,28133.83333,95427276189,3391972,,,0,13.1,128.5,0,0,0,1438.666667,1.68837E+12,-40.900557,174.885971,11147.02297,New Zealand,0.056535969,19.56366484,4.509288205,4.991018701
01/12/1989,,0.405321,0,0,34.48865726,28110.41667,95435609890,3395073,,,0,13.9,149.4,0,0,0,1431.333333,1.68207E+12,-40.900557,174.885971,11147.02297,New Zealand,0.056745786,19.64384085,4.4672852,4.910285893
01/01/1990,,0.350467,0,0,33.6233457,28087,95443943591,3398175,,,0,15.7,90.8,0,0,0,1424,1.67576E+12,-40.900557,174.885971,11147.02297,New Zealand,0.056955604,19.72401685,4.425282195,4.829553085
01/02/1990,,0.356835,0,0,33.6233457,27952,95091005170,3402175,,,0,17.2,53.7,0,0,0,1433.25,1.68868E+12,-40.900557,174.885971,11147.02297,New Zealand,0.056361012,19.51721089,2.916001006,3.296862265
01/03/1990,,0.361427,0,0,33.6233457,27817,94738066750,3406174,,,0,15,149.2,0,0,0,1442.5,1.70159E+12,-40.900557,174.885971,11147.02297,New Zealand,0.055766421,19.31040492,1.406719816,1.764171446
01/04/1990,,0.36404,0,0,33.6233457,27682,94385128329,3410174,,,0,12.2,146.7,0,0,0,1451.75,1.71451E+12,-40.900557,174.885971,11147.02297,New Zealand,0.05517183,19.10359896,-0.102561374,0.231480626
01/05/1990,,0.368497,0,0,33.6233457,27547,94032189908,3414174,,,0,9.3,148.7,0,0,0,1461,1.72742E+12,-40.900557,174.885971,11147.02297,New Zealand,0.054577238,18.89679299,-1.611842564,-1.301210193
01/06/1990,,0.363142,0,0,33.6233457,27412,93679251487,3418173,,,0,6.5,137.6,0,0,0,1470.25,1.74034E+12,-40.900557,174.885971,11147.02297,New Zealand,0.053982647,18.68998703,-3.121123753,-2.833901013
01/07/1990,,0.357598,0,0,33.6233457,27277,93326313067,3422173,,,0,6.2,142.8,0,0,0,1479.5,1.75325E+12,-40.900557,174.885971,11147.02297,New Zealand,0.053388056,18.48318107,-4.630404943,-4.366591832
01/08/1990,,0.345335,0,0,33.6233457,27142,92973374646,3426173,,,0,7.2,192.6,0,0,0,1488.75,1.76617E+12,-40.900557,174.885971,11147.02297,New Zealand,0.052793464,18.2763751,-6.139686133,-5.899282652
01/09/1990,,0.341566,0,0,33.6233457,27007,92620436225,3430172,,,0,7.9,101.9,0,0,0,1498,1.77908E+12,-40.900557,174.885971,11147.02297,New Zealand,0.052198873,18.06956914,-7.648967323,-7.431973471
01/10/1990,,0.346293,0,0,33.6233457,26872,92267497804,3434172,,,0,10.7,137.5,0,0,0,1507.25,1.792E+12,-40.900557,174.885971,11147.02297,New Zealand,0.051604282,17.86276317,-9.158248512,-8.964664291
01/11/1990,,0.332236,0,0,33.6233457,26737,91914559384,3438172,,,0,12.6,151.6,0,0,0,1516.5,1.80491E+12,-40.900557,174.885971,11147.02297,New Zealand,0.05100969,17.65595721,-10.6675297,-10.49735511
01/12/1990,,0.322248,0,0,33.6233457,26602,91561620963,3442171,,,0,14.6,105.7,0,0,0,1525.75,1.81783E+12,-40.900557,174.885971,11147.02297,New Zealand,0.050415099,17.44915124,-12.17681089,-12.03004593
01/01/1991,,0.323101,0,0,32.77361704,26467,91208682542,3446171,,,0,15.5,181,0,0,0,1535,1.83075E+12,-40.900557,174.885971,11147.02297,New Zealand,0.049820508,17.24234528,-13.68609208,-13.56273675
01/02/1991,,0.318894,0,0,32.77361704,26468,91338060722,3450923,,,0,15.4,128,0,0,0,1551.416667,1.85232E+12,-40.900557,174.885971,11147.02297,New Zealand,0.049368102,17.07949202,-13.58205575,-13.49822008
01/03/1991,,0.322376,0,0,32.77361704,26469,91467438902,3455675,,,0,14.1,83.3,0,0,0,1567.833333,1.87389E+12,-40.900557,174.885971,11147.02297,New Zealand,0.048915696,16.91663877,-13.47801942,-13.43370341
01/04/1991,,0.322323,0,0,32.77361704,26470,91596817082,3460427,,,0,10.7,210.5,0,0,0,1584.25,1.89546E+12,-40.900557,174.885971,11147.02297,New Zealand,0.04846329,16.75378552,-13.37398309,-13.36918675
01/05/1991,,0.320296,0,0,32.77361704,26471,91726195262,3465179,,,0,8.5,118.6,0,0,0,1600.666667,1.91703E+12,-40.900557,174.885971,11147.02297,New Zealand,0.048010885,16.59093226,-13.26994676,-13.30467008
01/06/1991,,0.323386,0,0,32.77361704,26472,91855573442,3469931,,,0,5.5,133.9,0,0,0,1617.083333,1.93861E+12,-40.900557,174.885971,11147.02297,New Zealand,0.047558479,16.42807901,-13.16591043,-13.24015341
01/07/1991,,0.32831,0,0,32.77361704,26473,91984951622,3474682,,,0,5.1,115.8,0,0,0,1633.5,1.96018E+12,-40.900557,174.885971,11147.02297,New Zealand,0.047106073,16.26522576,-13.0618741,-13.17563675
01/08/1991,,0.324578,0,0,32.77361704,26474,92114329802,3479434,,,0,7.6,152.4,0,0,0,1649.916667,1.98175E+12,-40.900557,174.885971,11147.02297,New Zealand,0.046653667,16.1023725,-12.95783777,-13.11112008
01/09/1991,,0.320451,0,0,32.77361704,26475,92243707982,3484186,,,0,8.9,130.9,0,0,0,1666.333333,2.00332E+12,-40.900557,174.885971,11147.02297,New Zealand,0.046201261,15.93951925,-12.85380144,-13.04660341
01/10/1991,,0.329036,0,0,32.77361704,26476,92373086162,3488938,,,0,10.1,107.7,0,0,0,1682.75,2.02489E+12,-40.900557,174.885971,11147.02297,New Zealand,0.045748855,15.776666,-12.74976511,-12.98208674
