Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
1989-01-01,,,0.0,0.0,78.86298248791194,11647.0,617210815801.0,52992479.0,,,0.0,-2.4,26.8,0.0,0.0,0.0,1512.0,1751429011497.0,38.963745,35.243322,5963.768286979181,Turkey,0.3524041292849494,7.703042328042328,5.538785635127388,5.446658731259904
1989-02-01,,,0.0,0.0,78.86298248791194,11728.833333333334,622526837700.1666,53069919.0,,,0.0,0.4,17.0,0.0,0.0,0.0,1504.6666666666667,1745123291812.8333,38.963745,35.243322,5963.768286979181,Turkey,0.356902495319347,7.800178781978876,6.298550602557218,6.180392298156876
1989-03-01,,,0.0,0.0,78.86298248791194,11810.666666666666,627842859599.3334,53147359.0,,,0.0,6.8,45.0,0.0,0.0,0.0,1497.3333333333333,1738817572128.6667,38.963745,35.243322,5963.768286979181,Turkey,0.3614008613537446,7.897315235915423,7.058315569987048,6.914125865053848
1989-04-01,,,0.0,0.0,78.86298248791194,11892.5,633158881498.5,53224799.0,,,0.0,13.2,19.6,0.0,0.0,0.0,1490.0,1732511852444.5,38.963745,35.243322,5963.768286979181,Turkey,0.3658992273881422,7.994451689851971,7.818080537416879,7.64785943195082
1989-05-01,,,0.0,0.0,78.86298248791194,11974.333333333334,638474903397.6666,53302239.0,,,0.0,15.0,43.4,0.0,0.0,0.0,1482.6666666666667,1726206132760.3333,38.963745,35.243322,5963.768286979181,Turkey,0.3703975934225398,8.091588143788519,8.577845504846708,8.381592998847793
1989-06-01,,,0.0,0.0,78.86298248791194,12056.166666666666,643790925296.8334,53379679.0,,,0.0,18.4,30.6,0.0,0.0,0.0,1475.3333333333333,1719900413076.1667,38.963745,35.243322,5963.768286979181,Turkey,0.3748959594569374,8.188724597725066,9.33761047227654,9.115326565744764
1989-07-01,,,0.0,0.0,78.86298248791194,12138.0,649106947196.0,53457118.0,,,0.0,22.2,12.7,0.0,0.0,0.0,1468.0,1713594693392.0,38.963745,35.243322,5963.768286979181,Turkey,0.3793943254913349,8.285861051661614,10.097375439706369,9.849060132641736
1989-08-01,,,0.0,0.0,78.86298248791194,12219.833333333334,654422969095.1666,53534558.0,,,0.0,22.5,10.3,0.0,0.0,0.0,1460.6666666666667,1707288973707.8333,38.963745,35.243322,5963.768286979181,Turkey,0.3838926915257325,8.382997505598162,10.8571404071362,10.582793699538708
1989-09-01,,,0.0,0.0,78.86298248791194,12301.666666666666,659738990994.3334,53611998.0,,,0.0,18.0,19.8,0.0,0.0,0.0,1453.3333333333333,1700983254023.6667,38.963745,35.243322,5963.768286979181,Turkey,0.3883910575601301,8.480133959534708,11.61690537456603,11.31652726643568
1989-10-01,,,0.0,0.0,78.86298248791194,12383.5,665055012893.5,53689438.0,,,0.0,11.7,78.6,0.0,0.0,0.0,1446.0,1694677534339.5,38.963745,35.243322,5963.768286979181,Turkey,0.3928894235945277,8.577270413471256,12.37667034199586,12.050260833332652
1989-11-01,,,0.0,0.0,78.86298248791194,12465.333333333334,670371034792.6666,53766878.0,,,0.0,6.6,115.3,0.0,0.0,0.0,1438.6666666666667,1688371814655.3333,38.963745,35.243322,5963.768286979181,Turkey,0.3973877896289253,8.674406867407804,13.13643530942569,12.783994400229624
1989-12-01,,,0.0,0.0,78.86298248791194,12547.166666666666,675687056691.8334,53844318.0,,,0.0,1.1,68.4,0.0,0.0,0.0,1431.3333333333333,1682066094971.1667,38.963745,35.243322,5963.768286979181,Turkey,0.4018861556633228,8.771543321344351,13.89620027685552,13.517727967126596
1990-01-01,,,0.0,0.0,78.80375085077875,12629.0,681003078591.0,53921758.0,,,0.0,-2.3,35.8,0.0,0.0,0.0,1424.0,1675760375287.0,38.963745,35.243322,5963.768286979181,Turkey,0.4063845216977204,8.8686797752809,14.655965244285351,14.251461534023568
1990-02-01,,,0.0,0.0,78.80375085077875,12618.833333333334,681411838791.5,53998328.0,,,0.0,1.2,53.6,0.0,0.0,0.0,1433.25,1688675822298.9167,38.963745,35.243322,5963.768286979181,Turkey,0.4037408571780057,8.808613355353854,12.723936470043515,12.333758540788413
1990-03-01,,,0.0,0.0,78.80375085077875,12608.666666666666,681820598992.0,54074898.0,,,0.0,5.4,25.3,0.0,0.0,0.0,1442.5,1701591269310.8333,38.963745,35.243322,5963.768286979181,Turkey,0.4010971926582909,8.748546935426807,10.79190769580168,10.416055547553253
1990-04-01,,,0.0,0.0,78.80375085077875,12598.5,682229359192.5,54151467.0,,,0.0,9.9,71.2,0.0,0.0,0.0,1451.75,1714506716322.75,38.963745,35.243322,5963.768286979181,Turkey,0.3984535281385762,8.688480515499762,8.859878921559845,8.498352554318096
1990-05-01,,,0.0,0.0,78.80375085077875,12588.333333333334,682638119393.0,54228037.0,,,0.0,14.0,54.2,0.0,0.0,0.0,1461.0,1727422163334.6667,38.963745,35.243322,5963.768286979181,Turkey,0.3958098636188615,8.628414095572717,6.9278501473180105,6.5806495610829385
1990-06-01,,,0.0,0.0,78.80375085077875,12578.166666666666,683046879593.5,54304607.0,,,0.0,18.4,35.2,0.0,0.0,0.0,1470.25,1740337610346.5833,38.963745,35.243322,5963.768286979181,Turkey,0.3931661990991467,8.56834767564567,4.995821373076176,4.662946567847781
1990-07-01,,,0.0,0.0,78.80375085077875,12568.0,683455639794.0,54381176.0,,,0.0,22.4,15.8,0.0,0.0,0.0,1479.5,1753253057358.5,38.963745,35.243322,5963.768286979181,Turkey,0.390522534579432,8.508281255718625,3.06379259883434,2.7452435746126245
1990-08-01,,,0.0,0.0,78.80375085077875,12557.833333333334,683864399994.5,54457746.0,,,0.0,21.2,11.9,0.0,0.0,0.0,1488.75,1766168504370.4167,38.963745,35.243322,5963.768286979181,Turkey,0.3878788700597173,8.44821483579158,1.1317638245925057,0.8275405813774661
1990-09-01,,,0.0,0.0,78.80375085077875,12547.666666666666,684273160195.0,54534316.0,,,0.0,17.6,30.8,0.0,0.0,0.0,1498.0,1779083951382.3333,38.963745,35.243322,5963.768286979181,Turkey,0.3852352055400025,8.388148415864533,-0.8002649496493301,-1.0901624118576905
1990-10-01,,,0.0,0.0,78.80375085077875,12537.5,684681920395.5,54610886.0,,,0.0,13.0,39.4,0.0,0.0,0.0,1507.25,1791999398394.25,38.963745,35.243322,5963.768286979181,Turkey,0.3825915410202878,8.328081995937488,-2.732293723891164,-3.007865405092849
1990-11-01,,,0.0,0.0,78.80375085077875,12527.333333333334,685090680596.0,54687456.0,,,0.0,8.6,50.6,0.0,0.0,0.0,1516.5,1804914845406.1667,38.963745,35.243322,5963.768286979181,Turkey,0.3799478765005731,8.268015576010443,-4.664322498133,-4.925568398328005
1990-12-01,,,0.0,0.0,78.80375085077875,12517.166666666666,685499440796.5,54764025.0,,,0.0,3.3,85.8,0.0,0.0,0.0,1525.75,1817830292418.0835,38.963745,35.243322,5963.768286979181,Turkey,0.3773042119808584,8.207949156083396,-6.596351272374836,-6.843271391563162
1991-01-01,,,0.0,0.0,78.7607648830893,12507.0,685908200997.0,54840595.0,,,0.0,-0.2,51.9,0.0,0.0,0.0,1535.0,1830745739430.0,38.963745,35.243322,5963.768286979181,Turkey,0.3746605474611436,8.147882736156351,-8.528380046616672,-8.760974384798319
1991-02-01,,,0.0,0.0,78.7607648830893,12541.666666666666,688786520415.25,54916291.0,,,0.0,-0.1,60.0,0.0,0.0,0.0,1551.4166666666667,1852317780390.8333,38.963745,35.243322,5963.768286979181,Turkey,0.3721701915177774,8.090668874579041,-8.576365342343369,-8.823204757600266
1991-03-01,,,0.0,0.0,78.7607648830893,12576.333333333334,691664839833.5,54991987.0,,,0.0,5.6,61.7,0.0,0.0,0.0,1567.8333333333333,1873889821351.6667,38.963745,35.243322,5963.768286979181,Turkey,0.3696798355744112,8.033455013001731,-8.624350638070064,-8.885435130402215
1991-04-01,,,0.0,0.0,78.7607648830893,12611.0,694543159251.75,55067683.0,,,0.0,10.2,70.0,0.0,0.0,0.0,1584.25,1895461862312.5,38.963745,35.243322,5963.768286979181,Turkey,0.3671894796310451,7.976241151424423,-8.67233593379676,-8.947665503204163
1991-05-01,,,0.0,0.0,78.7607648830893,12645.666666666666,697421478670.0,55143379.0,,,0.0,12.9,87.5,0.0,0.0,0.0,1600.6666666666667,1917033903273.3333,38.963745,35.243322,5963.768286979181,Turkey,0.3646991236876788,7.919027289847113,-8.720321229523456,-9.00989587600611
1991-06-01,,,0.0,0.0,78.7607648830893,12680.333333333334,700299798088.25,55219075.0,,,0.0,18.8,31.2,0.0,0.0,0.0,1617.0833333333333,1938605944234.1667,38.963745,35.243322,5963.768286979181,Turkey,0.3622087677443126,7.861813428269803,-8.768306525250154,-9.072126248808058
1991-07-01,,,0.0,0.0,78.7607648830893,12715.0,703178117506.5,55294770.0,,,0.0,21.9,19.5,0.0,0.0,0.0,1633.5,1960177985195.0,38.963745,35.243322,5963.768286979181,Turkey,0.3597184118009465,7.804599566692494,-8.816291820976849,-9.134356621610006
