Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
1989-01-01,,0.429202,0.0,0.0,,28368.0,95343939178.0,3360956.0,,,0.0,16.3,162.2,0.0,0.0,0.0,1512.0,1751429011497.0,-40.900557,174.885971,11147.022967001967,New Zealand,0.05443779825053064,18.761904761904763,4.9293182525866595,5.798346785184972
1989-02-01,,0.434895,0.0,0.0,,28344.583333333332,95352272879.08333,3364058.0,,,0.0,15.7,81.6,0.0,0.0,0.0,1504.6666666666667,1745123291812.8333,-40.900557,174.885971,11147.022967001967,New Zealand,0.054647615359384394,18.842080769573748,4.887315247825976,5.7176139768053265
1989-03-01,,0.435435,0.0,0.0,,28321.166666666668,95360606580.16667,3367159.0,,,0.0,14.6,119.4,0.0,0.0,0.0,1497.3333333333333,1738817572128.6667,-40.900557,174.885971,11147.022967001967,New Zealand,0.05485743246823815,18.922256777242733,4.845312243065293,5.636881168425681
1989-04-01,,0.438143,0.0,0.0,,28297.75,95368940281.25,3370261.0,,,0.0,11.8,90.9,0.0,0.0,0.0,1490.0,1732511852444.5,-40.900557,174.885971,11147.022967001967,New Zealand,0.0550672495770919,19.00243278491172,4.80330923830461,5.556148360046035
1989-05-01,,0.442048,0.0,0.0,,28274.333333333332,95377273982.33333,3373362.0,,,0.0,9.0,168.7,0.0,0.0,0.0,1482.6666666666667,1726206132760.3333,-40.900557,174.885971,11147.022967001967,New Zealand,0.055277066685945654,19.082608792580704,4.761306233543927,5.47541555166639
1989-06-01,,0.467191,0.0,0.0,,28250.916666666668,95385607683.41667,3376464.0,,,0.0,7.1,176.6,0.0,0.0,0.0,1475.3333333333333,1719900413076.1667,-40.900557,174.885971,11147.022967001967,New Zealand,0.05548688379479941,19.16278480024969,4.719303228783243,5.394682743286745
1989-07-01,,0.465951,0.0,0.0,,28227.5,95393941384.5,3379566.0,,,0.0,5.2,113.7,0.0,0.0,0.0,1468.0,1713594693392.0,-40.900557,174.885971,11147.022967001967,New Zealand,0.055696700903653154,19.242960807918674,4.67730022402256,5.313949934907098
1989-08-01,,0.452593,0.0,0.0,,28204.083333333332,95402275085.58333,3382667.0,,,0.0,7.3,119.8,0.0,0.0,0.0,1460.6666666666667,1707288973707.8333,-40.900557,174.885971,11147.022967001967,New Zealand,0.05590651801250691,19.32313681558766,4.6352972192618775,5.233217126527453
1989-09-01,,0.45301,0.0,0.0,,28180.666666666668,95410608786.66667,3385769.0,,,0.0,9.6,119.4,0.0,0.0,0.0,1453.3333333333333,1700983254023.6667,-40.900557,174.885971,11147.022967001967,New Zealand,0.05611633512136066,19.403312823256645,4.593294214501194,5.152484318147808
1989-10-01,,0.456412,0.0,0.0,,28157.25,95418942487.75,3388870.0,,,0.0,11.6,195.4,0.0,0.0,0.0,1446.0,1694677534339.5,-40.900557,174.885971,11147.022967001967,New Zealand,0.056326152230214414,19.48348883092563,4.55129120974051,5.071751509768163
1989-11-01,,0.456153,0.0,0.0,,28133.833333333332,95427276188.83333,3391972.0,,,0.0,13.1,128.5,0.0,0.0,0.0,1438.6666666666667,1688371814655.3333,-40.900557,174.885971,11147.022967001967,New Zealand,0.05653596933906817,19.563664838594615,4.5092882049798275,4.991018701388517
1989-12-01,,0.405321,0.0,0.0,,28110.416666666668,95435609889.91667,3395073.0,,,0.0,13.9,149.4,0.0,0.0,0.0,1431.3333333333333,1682066094971.1667,-40.900557,174.885971,11147.022967001967,New Zealand,0.05674578644792192,19.6438408462636,4.467285200219145,4.910285893008871
1990-01-01,,0.350467,0.0,0.0,,28087.0,95443943591.0,3398175.0,,,0.0,15.7,90.8,0.0,0.0,0.0,1424.0,1675760375287.0,-40.900557,174.885971,11147.022967001967,New Zealand,0.056955603556775675,19.724016853932586,4.425282195458461,4.829553084629226
1990-02-01,,0.356835,0.0,0.0,,27952.0,95091005170.25,3402175.0,,,0.0,17.2,53.7,0.0,0.0,0.0,1433.25,1688675822298.9167,-40.900557,174.885971,11147.022967001967,New Zealand,0.056361012250580315,19.51721088917762,2.9160010056986474,3.2968622651319714
1990-03-01,,0.361427,0.0,0.0,,27817.0,94738066749.5,3406174.0,,,0.0,15.0,149.2,0.0,0.0,0.0,1442.5,1701591269310.8333,-40.900557,174.885971,11147.022967001967,New Zealand,0.05576642094438496,19.31040492442265,1.4067198159388332,1.7641714456347168
1990-04-01,,0.36404,0.0,0.0,,27682.0,94385128328.75,3410174.0,,,0.0,12.2,146.7,0.0,0.0,0.0,1451.75,1714506716322.75,-40.900557,174.885971,11147.022967001967,New Zealand,0.055171829638189604,19.10359895966768,-0.10256137382098096,0.23148062613746223
1990-05-01,,0.368497,0.0,0.0,,27547.0,94032189908.0,3414174.0,,,0.0,9.3,148.7,0.0,0.0,0.0,1461.0,1727422163334.6667,-40.900557,174.885971,11147.022967001967,New Zealand,0.054577238331994245,18.896792994912712,-1.6118425635807947,-1.3012101933597924
1990-06-01,,0.363142,0.0,0.0,,27412.0,93679251487.25,3418173.0,,,0.0,6.5,137.6,0.0,0.0,0.0,1470.25,1740337610346.5833,-40.900557,174.885971,11147.022967001967,New Zealand,0.05398264702579889,18.689987030157745,-3.1211237533406084,-2.833901012857047
1990-07-01,,0.357598,0.0,0.0,,27277.0,93326313066.5,3422173.0,,,0.0,6.2,142.8,0.0,0.0,0.0,1479.5,1753253057358.5,-40.900557,174.885971,11147.022967001967,New Zealand,0.05338805571960353,18.483181065402775,-4.630404943100423,-4.366591832354302
1990-08-01,,0.345335,0.0,0.0,,27142.0,92973374645.75,3426173.0,,,0.0,7.2,192.6,0.0,0.0,0.0,1488.75,1766168504370.4167,-40.900557,174.885971,11147.022967001967,New Zealand,0.052793464413408174,18.276375100647805,-6.139686132860236,-5.899282651851556
1990-09-01,,0.341566,0.0,0.0,,27007.0,92620436225.0,3430172.0,,,0.0,7.9,101.9,0.0,0.0,0.0,1498.0,1779083951382.3333,-40.900557,174.885971,11147.022967001967,New Zealand,0.05219887310721282,18.069569135892838,-7.6489673226200505,-7.431973471348811
1990-10-01,,0.346293,0.0,0.0,,26872.0,92267497804.25,3434172.0,,,0.0,10.7,137.5,0.0,0.0,0.0,1507.25,1791999398394.25,-40.900557,174.885971,11147.022967001967,New Zealand,0.05160428180101746,17.86276317113787,-9.158248512379865,-8.964664290846066
1990-11-01,,0.332236,0.0,0.0,,26737.0,91914559383.5,3438172.0,,,0.0,12.6,151.6,0.0,0.0,0.0,1516.5,1804914845406.1667,-40.900557,174.885971,11147.022967001967,New Zealand,0.0510096904948221,17.6559572063829,-10.667529702139678,-10.497355110343321
1990-12-01,,0.322248,0.0,0.0,,26602.0,91561620962.75,3442171.0,,,0.0,14.6,105.7,0.0,0.0,0.0,1525.75,1817830292418.0833,-40.900557,174.885971,11147.022967001967,New Zealand,0.05041509918862675,17.44915124162793,-12.176810891899493,-12.030045929840576
1991-01-01,,0.323101,0.0,0.0,,26467.0,91208682542.0,3446171.0,,,0.0,15.5,181.0,0.0,0.0,0.0,1535.0,1830745739430.0,-40.900557,174.885971,11147.022967001967,New Zealand,0.04982050788243139,17.242345276872964,-13.686092081659305,-13.56273674933783
1991-02-01,,0.318894,0.0,0.0,,26468.0,91338060722.0,3450923.0,,,0.0,15.4,128.0,0.0,0.0,0.0,1551.4166666666667,1852317780390.8333,-40.900557,174.885971,11147.022967001967,New Zealand,0.049368102049648394,17.079492023430703,-13.582055751027248,-13.498220082071905
