Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,ChinaConfinementPolicy,ChinaMovementPolicy,ChinaGDPPerCap,ChinaGDP,Latitude,Longitude,DistFromChina,Country,GDPRatioChina,GDPPerCapRatioChina,GDPGrowthDiffChina,GDPPerCapGrowthDiffChina
1989-01-01,,6.784561,0.0,0.0,,6522.0,363747807890.0,55772169.0,,,0.0,24.9,20.6,0.0,0.0,0.0,1512.0,1751429011497.0,15.870032,100.992541,2237.67362037567,Thailand,0.20768629816123327,4.313492063492063,14.977803023449995,14.938207106825054
1989-02-01,,6.802541,0.0,0.0,,6570.333333333333,366908781415.0833,55837671.0,,,0.0,25.6,6.7,0.0,0.0,0.0,1504.6666666666667,1745123291812.8333,15.870032,100.992541,2237.67362037567,Thailand,0.21035409313327078,4.369647687414541,14.958687010757078,14.919446800784181
1989-03-01,,6.830051,0.0,0.0,,6618.666666666667,370069754940.1667,55903174.0,,,0.0,27.1,52.5,0.0,0.0,0.0,1497.3333333333333,1738817572128.6667,15.870032,100.992541,2237.67362037567,Thailand,0.21302188810530825,4.4258033113370185,14.93957099806416,14.900686494743308
1989-04-01,,6.840328,0.0,0.0,,6667.0,373230728465.25,55968676.0,,,0.0,29.8,66.0,0.0,0.0,0.0,1490.0,1732511852444.5,15.870032,100.992541,2237.67362037567,Thailand,0.21568968307734576,4.481958935259497,14.920454985371242,14.881926188702437
1989-05-01,,6.901245,0.0,0.0,,6715.333333333333,376391701990.3333,56034178.0,,,0.0,28.7,205.7,0.0,0.0,0.0,1482.6666666666667,1726206132760.3333,15.870032,100.992541,2237.67362037567,Thailand,0.21835747804938327,4.538114559181975,14.901338972678325,14.863165882661564
1989-06-01,,6.943375,0.0,0.0,,6763.666666666667,379552675515.4167,56099680.0,,,0.0,27.8,183.4,0.0,0.0,0.0,1475.3333333333333,1719900413076.1667,15.870032,100.992541,2237.67362037567,Thailand,0.22102527302142075,4.594270183104452,14.882222959985407,14.84440557662069
1989-07-01,,6.920931,0.0,0.0,,6812.0,382713649040.5,56165182.0,,,0.0,27.9,214.1,0.0,0.0,0.0,1468.0,1713594693392.0,15.870032,100.992541,2237.67362037567,Thailand,0.22369306799345826,4.650425807026931,14.86310694729249,14.82564527057982
1989-08-01,,6.932705,0.0,0.0,,6860.333333333333,385874622565.5833,56230685.0,,,0.0,27.6,240.2,0.0,0.0,0.0,1460.6666666666667,1707288973707.8333,15.870032,100.992541,2237.67362037567,Thailand,0.22636086296549576,4.7065814309494085,14.84399093459957,14.806884964538947
1989-09-01,,6.97121,0.0,0.0,,6908.666666666667,389035596090.6667,56296187.0,,,0.0,27.4,220.2,0.0,0.0,0.0,1453.3333333333333,1700983254023.6667,15.870032,100.992541,2237.67362037567,Thailand,0.22902865793753324,4.762737054871886,14.824874921906654,14.788124658498074
1989-10-01,,6.932811,0.0,0.0,,6957.0,392196569615.75,56361689.0,,,0.0,26.5,207.8,0.0,0.0,0.0,1446.0,1694677534339.5,15.870032,100.992541,2237.67362037567,Thailand,0.23169645290957075,4.818892678794364,14.805758909213736,14.7693643524572
