Date,VisitorArrivals,FXAgainstChina,CovidCases,CovidDeaths,FSI,GDPPerCap,GDP,Population,HotelsCount,RoomsCount,TravelPolicy,Temperature,Precipitation,GlobalCovidTrend,Latitude,Longitude,DistFromChina,Country
1989-01-01,,0.267982,0.0,0.0,,40274.0,10057555844537.0,249725809.0,,,0.0,-3.2,54.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-02-01,,0.267937,0.0,0.0,,40287.583333333336,10069007289942.0,249925351.0,,,0.0,-3.4,48.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-03-01,,0.267996,0.0,0.0,,40301.166666666664,10080458735347.0,250124892.0,,,0.0,2.5,64.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-04-01,,0.267996,0.0,0.0,,40314.75,10091910180752.0,250324434.0,,,0.0,9.0,44.3,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-05-01,,0.267731,0.0,0.0,,40328.333333333336,10103361626157.0,250523976.0,,,0.0,13.5,76.8,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-06-01,,0.267995,0.0,0.0,,40341.916666666664,10114813071562.0,250723517.0,,,0.0,18.1,88.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-07-01,,0.268081,0.0,0.0,,40355.5,10126264516967.0,250923059.0,,,0.0,21.3,73.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-08-01,,0.267996,0.0,0.0,,40369.083333333336,10137715962372.0,251122601.0,,,0.0,19.9,73.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-09-01,,0.267937,0.0,0.0,,40382.666666666664,10149167407777.0,251322142.0,,,0.0,15.8,73.7,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-10-01,,0.268042,0.0,0.0,,40396.25,10160618853182.0,251521684.0,,,0.0,9.7,54.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-11-01,,0.267998,0.0,0.0,,40409.833333333336,10172070298587.0,251721226.0,,,0.0,2.3,50.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1989-12-01,,0.24097,0.0,0.0,,40423.416666666664,10183521743992.0,251920767.0,,,0.0,-4.1,43.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-01-01,,0.21125,0.0,0.0,,40437.0,10194973189397.0,252120309.0,,,0.0,-1.1,70.7,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-02-01,,0.211357,0.0,0.0,,40388.666666666664,10190823207261.0,252321898.0,,,0.0,-2.1,66.3,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-03-01,,0.211242,0.0,0.0,,40340.333333333336,10186673225125.0,252523486.0,,,0.0,4.0,64.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-04-01,,0.211244,0.0,0.0,,40292.0,10182523242989.0,252725074.0,,,0.0,9.0,56.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-05-01,,0.211253,0.0,0.0,,40243.666666666664,10178373260853.0,252926663.0,,,0.0,13.3,85.3,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-06-01,,0.211243,0.0,0.0,,40195.333333333336,10174223278717.0,253128252.0,,,0.0,19.1,61.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-07-01,,0.211302,0.0,0.0,,40147.0,10170073296581.0,253329840.0,,,0.0,21.0,73.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-08-01,,0.211242,0.0,0.0,,40098.666666666664,10165923314445.0,253531428.0,,,0.0,20.3,72.2,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-09-01,,0.21111,0.0,0.0,,40050.333333333336,10161773332309.0,253733017.0,,,0.0,17.0,60.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-10-01,,0.211274,0.0,0.0,,40002.0,10157623350173.0,253934606.0,,,0.0,9.5,72.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-11-01,,0.202081,0.0,0.0,,39953.666666666664,10153473368037.0,254136194.0,,,0.0,3.2,55.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1990-12-01,,0.191015,0.0,0.0,,39905.333333333336,10149323385901.0,254337782.0,,,0.0,-3.4,70.1,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-01-01,,0.191096,0.0,0.0,,39857.0,10145173403765.0,254539371.0,,,0.0,-4.0,57.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-02-01,,0.190965,0.0,0.0,,39926.666666666664,10171211095380.166,254743641.0,,,0.0,0.7,43.7,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-03-01,,0.190655,0.0,0.0,,39996.333333333336,10197248786995.334,254947910.0,,,0.0,3.0,77.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-04-01,,0.189658,0.0,0.0,,40066.0,10223286478610.5,255152180.0,,,0.0,8.9,74.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-05-01,,0.187766,0.0,0.0,,40135.666666666664,10249324170225.666,255356450.0,,,0.0,14.6,82.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-06-01,,0.18632,0.0,0.0,,40205.333333333336,10275361861840.834,255560720.0,,,0.0,18.7,67.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-07-01,,0.186243,0.0,0.0,,40275.0,10301399553456.0,255764990.0,,,0.0,21.0,70.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-08-01,,0.186135,0.0,0.0,,40344.666666666664,10327437245071.166,255969259.0,,,0.0,20.3,70.2,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-09-01,,0.185689,0.0,0.0,,40414.333333333336,10353474936686.334,256173529.0,,,0.0,16.2,67.2,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-10-01,,0.185438,0.0,0.0,,40484.0,10379512628301.5,256377799.0,,,0.0,9.9,57.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-11-01,,0.185487,0.0,0.0,,40553.666666666664,10405550319916.666,256582068.0,,,0.0,1.5,64.2,0.0,37.09024,-95.712891,11671.172680808118,USA
1991-12-01,,0.184386,0.0,0.0,,40623.333333333336,10431588011531.834,256786338.0,,,0.0,-0.9,68.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-01-01,,0.183284,0.0,0.0,,40693.0,10457625703147.0,256990608.0,,,0.0,-1.9,58.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-02-01,,0.182556,0.0,0.0,,40740.666666666664,10478615601011.5,257202402.0,,,0.0,0.4,58.1,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-03-01,,0.182245,0.0,0.0,,40788.333333333336,10499605498876.0,257414195.0,,,0.0,3.7,59.7,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-04-01,,0.181499,0.0,0.0,,40836.0,10520595396740.5,257625988.0,,,0.0,8.3,49.7,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-05-01,,0.18125,0.0,0.0,,40883.666666666664,10541585294605.0,257837782.0,,,0.0,13.5,53.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-06-01,,0.182173,0.0,0.0,,40931.333333333336,10562575192469.5,258049576.0,,,0.0,17.8,81.1,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-07-01,,0.183274,0.0,0.0,,40979.0,10583565090334.0,258261369.0,,,0.0,20.0,87.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-08-01,,0.183802,0.0,0.0,,41026.666666666664,10604554988198.5,258473162.0,,,0.0,19.0,78.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-09-01,,0.181817,0.0,0.0,,41074.333333333336,10625544886063.0,258684956.0,,,0.0,15.2,62.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-10-01,,0.18014,0.0,0.0,,41122.0,10646534783927.5,258896750.0,,,0.0,9.3,46.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-11-01,,0.177599,0.0,0.0,,41169.666666666664,10667524681792.0,259108543.0,,,0.0,2.1,81.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1992-12-01,,0.171933,0.0,0.0,,41217.333333333336,10688514579656.5,259320336.0,,,0.0,-2.9,69.3,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-01-01,,0.173047,0.0,0.0,,41265.0,10709504477521.0,259532130.0,,,0.0,-3.6,82.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-02-01,,0.172595,0.0,0.0,,41359.916666666664,10743717159821.334,259757886.0,,,0.0,-2.7,54.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-03-01,,0.174051,0.0,0.0,,41454.833333333336,10777929842121.666,259983642.0,,,0.0,2.6,65.8,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-04-01,,0.174433,0.0,0.0,,41549.75,10812142524422.0,260209398.0,,,0.0,7.9,65.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-05-01,,0.174268,0.0,0.0,,41644.666666666664,10846355206722.334,260435155.0,,,0.0,14.2,67.5,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-06-01,,0.173686,0.0,0.0,,41739.583333333336,10880567889022.666,260660911.0,,,0.0,17.9,81.8,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-07-01,,0.173128,0.0,0.0,,41834.5,10914780571323.0,260886667.0,,,0.0,20.7,70.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-08-01,,0.172694,0.0,0.0,,41929.416666666664,10948993253623.334,261112423.0,,,0.0,20.0,74.2,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-09-01,,0.172507,0.0,0.0,,42024.333333333336,10983205935923.666,261338179.0,,,0.0,15.2,72.9,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-10-01,,0.172404,0.0,0.0,,42119.25,11017418618224.0,261563936.0,,,0.0,9.5,61.1,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-11-01,,0.172147,0.0,0.0,,42214.166666666664,11051631300524.334,261789692.0,,,0.0,1.8,58.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1993-12-01,,0.171792,0.0,0.0,,42309.083333333336,11085843982824.666,262015448.0,,,0.0,-1.0,52.8,0.0,37.09024,-95.712891,11671.172680808118,USA
1994-01-01,,0.114659,0.0,0.0,,42404.0,11120056665125.0,262241204.0,,,0.0,-3.7,58.7,0.0,37.09024,-95.712891,11671.172680808118,USA
1994-02-01,,0.114594,0.0,0.0,,42455.916666666664,11144145788673.416,262484749.0,,,0.0,-3.0,51.3,0.0,37.09024,-95.712891,11671.172680808118,USA
1994-03-01,,0.114625,0.0,0.0,,42507.833333333336,11168234912221.834,262728294.0,,,0.0,3.3,61.0,0.0,37.09024,-95.712891,11671.172680808118,USA
1994-04-01,,0.114606,0.0,0.0,,42559.75,11192324035770.25,262971838.0,,,0.0,8.9,63.6,0.0,37.09024,-95.712891,11671.172680808118,USA
1994-05-01,,0.115139,0.0,0.0,,42611.666666666664,11216413159318.666,263215383.0,,,0.0,14.0,57.4,0.0,37.09024,-95.712891,11671.172680808118,USA
1994-06-01,,0.11516,0.0,0.0,,42663.583333333336,11240502282867.084,263458928.0,,,0.0,19.4,69.6,0.0,37.09024,-95.712891,11671.172680808118,USA
